episode,return,steps,epsilon,mean_td_error
0,-30.59999999999999,23,1.0,1.2853642861827002
1,-122.70000000000007,69,0.9981,1.5826381870812596
2,-6.7,5,0.9962,1.2713725490196077
3,-44.40000000000001,31,0.9943,1.1778784545766317
4,-2.2,3,0.9924,0.7330065359477125
5,-268.8999999999995,171,0.9905,1.2720967044191935
6,-14.399999999999997,13,0.9886,0.9535462759777823
7,-133.30000000000007,94,0.9867,1.1293790891377087
8,-1.2,2,0.9848,0.6295825151541022
9,-88.40000000000006,56,0.9829,1.459957667525497
10,-11.299999999999999,9,0.981,1.1131499951713708
11,-48.00000000000002,34,0.9791,1.260516110474994
12,-114.10000000000011,69,0.9772,1.2869585945613111
13,-188.19999999999976,126,0.9753000000000001,1.2089920203838196
14,-75.60000000000007,59,0.9734,0.9737097052773978
15,-64.90000000000005,43,0.9715,1.0938630987308453
16,-98.00000000000007,66,0.9696,1.1707609521006948
17,-2.4,3,0.9677,0.7281879650340528
18,-85.10000000000007,61,0.9658,1.003212602798364
19,-12.399999999999999,12,0.9639,0.8456016486185534
20,-138.30000000000004,102,0.962,1.0101813966627453
21,-54.100000000000016,42,0.9601,1.0054933381807765
22,-55.10000000000003,39,0.9582,1.0351316963612271
23,-159.29999999999995,101,0.9563,1.1073785768509423
24,-63.50000000000004,45,0.9544,1.0087331320053208
25,-44.600000000000016,27,0.9525,0.9241790157013112
26,-54.80000000000002,32,0.9506,1.1814359459560981
27,-64.60000000000002,45,0.9487,1.0209811907203707
28,-29.699999999999992,20,0.9468,1.0137014184672273
29,-115.50000000000016,94,0.9449,0.89753004932571
30,-26.3,18,0.9430000000000001,0.8077537147866289
31,-89.80000000000005,62,0.9411,1.0335968050588091
32,-319.0999999999993,210,0.9392,0.9910057055417295
33,-115.90000000000008,79,0.9373,1.0174934512313263
34,-136.20000000000005,95,0.9354,0.8798640868715348
35,-95.40000000000006,67,0.9335,0.9513681175464662
36,-19.999999999999996,14,0.9316,1.0184681617001294
37,-62.90000000000002,45,0.9297,1.103926181630972
38,-24.599999999999994,18,0.9278,0.8773157159532162
39,-64.00000000000003,45,0.9259,0.7612000214235738
40,-95.00000000000009,63,0.924,0.8357410399686235
41,-8.0,8,0.9221,1.112368625914838
42,-66.30000000000005,52,0.9202,0.9825946661291677
43,-187.29999999999978,128,0.9183,0.9599889820874524
44,-39.5,29,0.9164,0.7859804105411881
45,-13.7,11,0.9145,0.8594382545239431
46,-49.70000000000002,42,0.9126,0.9283912551913115
47,-220.79999999999967,160,0.9107000000000001,0.9616841350110376
48,-3.4000000000000004,4,0.9088,1.250126812646727
49,-24.299999999999994,20,0.9069,0.8904137823113203
50,-12.599999999999998,12,0.905,1.0000531911007475
51,-55.80000000000001,37,0.9031,0.9753478913219983
52,-21.999999999999993,20,0.9012,0.8275812998369287
53,-3.5,2,0.8993,2.084365491964995
54,-56.00000000000004,45,0.8974,0.9805852070555231
55,-26.799999999999994,24,0.8955,0.7125394479393931
56,-41.900000000000006,31,0.8936,0.9389557624844912
57,-78.30000000000004,50,0.8917,0.9284878681788037
58,-19.499999999999996,16,0.8898,0.805258798934254
59,-44.500000000000014,29,0.8879,0.9237609268445011
60,-9.2,9,0.886,0.664092184092307
61,-241.2999999999995,166,0.8841,0.9753529191564401
62,-48.600000000000016,35,0.8822,0.963365305698576
63,-21.39999999999999,19,0.8803,0.6055112050797299
64,-54.80000000000003,40,0.8784,0.7975525299752833
65,-49.30000000000002,38,0.8765000000000001,0.8696484702469838
66,-46.70000000000001,35,0.8746,0.9295425635523827
67,-16.4,11,0.8727,0.8622349804597135
68,-12.999999999999996,12,0.8708,0.7427150061035707
69,-5.800000000000001,6,0.8689,1.0628018974460094
70,0.0,1,0.867,0.40284304131635806
71,-33.8,26,0.8651,0.7130091823644314
72,-10.399999999999999,10,0.8632,0.7899399866436914
73,-11.499999999999998,9,0.8613,0.9775607522031817
74,-10.499999999999998,8,0.8594,0.46805997956340323
75,-84.20000000000006,53,0.8575,0.9761734161372604
76,-22.099999999999998,14,0.8556,0.9251131236785939
77,-63.100000000000044,45,0.8537,1.0171967825049988
78,-22.699999999999996,19,0.8518,0.8423174388097641
79,-45.70000000000002,35,0.8499,0.7606164163923864
80,-43.60000000000001,31,0.848,0.947310239772664
81,-26.799999999999994,16,0.8461,0.8694382972518733
82,-2.4,3,0.8442000000000001,0.5090383898411616
83,-44.20000000000002,35,0.8423,0.9402099881711674
84,-18.599999999999998,13,0.8404,0.7019021250824682
85,-55.80000000000004,41,0.8385,0.857900312036675
86,-12.7,10,0.8366,0.942375860312654
87,-22.999999999999993,21,0.8347,0.6056702098345679
88,-33.29999999999999,28,0.8328,0.8444198145857126
89,-74.60000000000007,53,0.8309,0.9182188527975732
90,-3.5999999999999996,4,0.829,0.9701254015199569
91,-52.300000000000026,36,0.8271,0.7450173436524703
92,-12.799999999999999,8,0.8252,0.6833527689635129
93,-136.0000000000001,94,0.8233,0.846370712377792
94,-9.399999999999999,9,0.8214,0.4017455184509934
95,-20.199999999999996,14,0.8195,0.5437519782071368
96,-42.20000000000001,29,0.8176,0.8389891633663552
97,-28.89999999999999,20,0.8157,0.9642447407355725
98,-8.2,4,0.8138,0.767666754290407
99,-30.29999999999999,25,0.8119000000000001,0.47797880811243126
100,-14.999999999999996,14,0.81,0.5783094960532039
101,-69.90000000000003,44,0.8081,0.9658421510232085
102,-20.499999999999996,17,0.8062,0.7366479615133709
103,-36.400000000000006,29,0.8043,0.6775692040855149
104,-23.39999999999999,21,0.8024,0.724901186989753
105,-2.4,3,0.8005,0.2254367479230568
106,-9.100000000000001,7,0.7986,1.1221202141372788
107,-25.59999999999999,23,0.7967,0.8069292640247615
108,-1.2,2,0.7948,0.16558151728044734
109,-29.899999999999995,21,0.7929,0.8753381054012838
110,-43.100000000000016,36,0.791,0.7857533449291916
111,-2.4,3,0.7891,0.1709351129908029
112,-1.2,2,0.7872,0.10159987097548326
113,-29.499999999999996,21,0.7853,0.8531428722654348
114,-48.30000000000001,33,0.7834,0.6550432628421329
115,-51.10000000000004,39,0.7815,0.6563142117104644
116,-3.4000000000000004,4,0.7796,0.7602221810744119
117,-5.800000000000001,6,0.7777000000000001,0.28744198166547275
118,-33.8,22,0.7758,0.6493861821172329
119,-25.399999999999995,19,0.7739,0.91977646147693
120,-60.00000000000003,41,0.772,1.018066978414329
121,0.0,1,0.7701,0.6872173135678675
122,-9.5,7,0.7682,0.34521040172802087
123,-206.59999999999974,148,0.7663,0.8016951814570179
124,-18.7,11,0.7644,0.7296709960842608
125,-18.299999999999997,15,0.7625,0.8003676585757947
126,-6.6000000000000005,7,0.7605999999999999,0.7387933961475289
127,-24.499999999999996,16,0.7587,0.9675047391482339
128,-48.600000000000016,35,0.7568,1.0226021430197159
129,-33.99999999999999,26,0.7549,0.8504240557003688
130,-34.99999999999999,31,0.753,0.8495290512066367
131,0.0,1,0.7511,0.5585039747719602
132,-4.6,5,0.7492,0.5183300845643677
133,0.0,1,0.7473000000000001,0.6086060432179294
134,-93.30000000000008,72,0.7454000000000001,0.7607782606846862
135,-5.4,6,0.7435,0.7274243283932803
136,-53.40000000000003,43,0.7416,0.7903662827733342
137,-37.800000000000004,26,0.7397,0.9820565681385086
138,-21.799999999999997,20,0.7378,0.744825140321982
139,-41.90000000000002,27,0.7359,0.8982555925315154
140,-64.60000000000004,44,0.734,0.7540548329941541
141,0.0,1,0.7321,0.659258070958842
142,-3.4,4,0.7302,0.5245239306895589
143,-24.099999999999998,16,0.7283000000000001,0.8530956725194092
144,-28.799999999999994,22,0.7264,0.469499159525929
145,0.0,1,0.7245,0.6056820018313329
146,-11.599999999999998,11,0.7226,0.4268757612218888
147,-13.7,11,0.7207,0.6141143695399642
148,-18.799999999999997,9,0.7188000000000001,0.9116493640898926
149,-5.800000000000001,6,0.7169000000000001,0.35009845695109715
150,-19.199999999999996,18,0.7150000000000001,0.7214471178038921
151,-58.30000000000002,41,0.7131000000000001,0.8150730490962822
152,-70.50000000000003,48,0.7112,0.8949548803390592
153,-24.59999999999999,22,0.7093,0.77260247337302
154,-24.199999999999996,18,0.7074,0.9401634051520004
155,-2.2,3,0.7055,0.3587482762101037
156,-46.90000000000001,27,0.7036,0.6526426875876498
157,-21.199999999999992,19,0.7017,0.5681046106686066
158,-24.199999999999996,18,0.6998,1.038782206074085
159,-33.89999999999999,29,0.6979,0.7377478492606081
160,-18.2,13,0.696,0.9489010800945837
161,-2.4,3,0.6940999999999999,0.5447266676795756
162,-26.799999999999994,20,0.6921999999999999,0.8184700406260926
163,-20.299999999999997,17,0.6903,0.645816519122371
164,-4.5,3,0.6884,1.6063373078184853
165,-54.50000000000003,42,0.6865,1.0294360661921798
166,-3.5999999999999996,4,0.6846,0.3132869934979486
167,-12.599999999999998,12,0.6827,0.5405683607084736
168,-21.699999999999996,18,0.6808000000000001,0.5639150521856439
169,-34.8,27,0.6789000000000001,0.6748183265973966
170,-1.2,2,0.677,0.4893587833641018
171,0.0,1,0.6751,4.258264724176903
172,-32.39999999999999,25,0.6732,0.5574840978555824
173,-29.699999999999992,25,0.6713,0.8631969699067361
174,-19.599999999999998,14,0.6694,0.9481782644666253
175,-98.90000000000008,68,0.6675,0.8577693434055025
176,-16.599999999999994,15,0.6656,0.3861688337295481
177,-10.5,8,0.6637,0.65443933702459
178,-3.5999999999999996,4,0.6618,0.6717915685667655
179,0.0,1,0.6599,4.100803600365971
180,-8.0,8,0.658,0.45308454048676594
181,-11.2,11,0.6561,0.4796570147555629
182,-24.999999999999996,23,0.6542,0.7469021777893938
183,-6.6000000000000005,7,0.6523000000000001,0.6037505470393221
184,-47.100000000000016,35,0.6504000000000001,1.0350700810402793
185,-26.59999999999999,24,0.6485000000000001,0.6368451337665754
186,-12.2,12,0.6466000000000001,0.8616290819722644
187,-10.5,8,0.6447,1.0506157070702735
188,-70.30000000000004,56,0.6428,0.8757244412144585
189,-11.399999999999999,7,0.6409,1.0662918476754673
190,-15.5,13,0.639,0.7416668861584303
191,-24.899999999999995,21,0.6371,0.8579035637589886
192,-23.899999999999995,16,0.6352,0.7874559481585462
193,-29.29999999999999,24,0.6333,0.7120226314630315
194,-17.199999999999996,12,0.6314,0.9739143315662163
195,-6.0,6,0.6295,0.4589372084457459
196,-7.800000000000001,8,0.6275999999999999,0.5707946511040274
197,-18.099999999999998,15,0.6256999999999999,0.8525037128164663
198,0.0,1,0.6238,0.7370138920616002
199,-14.999999999999996,14,0.6219,0.5348982110794916
200,-34.6,23,0.62,0.9968205076708503
201,-38.0,30,0.6181,0.9137026193410577
202,-15.999999999999996,15,0.6162,0.5268822163621855
203,-2.2,3,0.6143000000000001,0.43150027873158586
204,-54.60000000000004,44,0.6124,0.7666535588209785
205,-18.2,13,0.6105,0.9291710867071843
206,-16.499999999999996,13,0.6086,0.5586691982864044
207,-66.90000000000005,44,0.6067,0.8080476817374844
208,0.0,1,0.6048,0.7551409114541409
209,-30.79999999999999,23,0.6029,0.714790011933191
210,-12.599999999999998,12,0.601,0.5791168063738149
211,-8.4,8,0.5991,0.404525807820965
212,-7.1000000000000005,5,0.5972,1.0199930790674419
213,-18.099999999999998,15,0.5953,1.0608522782116465
214,-23.199999999999992,21,0.5934,0.6249601742904195
215,-5.800000000000001,6,0.5915,0.50060384690077
216,-26.499999999999993,22,0.5896,0.9112763077205991
217,-9.1,7,0.5877,0.41585086408979394
218,-1.2,2,0.5858000000000001,0.6051554924959064
219,-11.499999999999998,9,0.5839000000000001,0.5514540383189942
220,-3.5999999999999996,4,0.5820000000000001,0.4345580485321554
221,-5.4,6,0.5801000000000001,0.4368181194170337
222,-3.5999999999999996,4,0.5782,0.35694195300209763
223,-12.899999999999999,10,0.5763,0.95448240120195
224,-26.899999999999995,23,0.5744,0.8268919197384944
225,-25.799999999999997,15,0.5725,0.567607710668537
226,-2.2,3,0.5706,0.3796905919951701
227,-31.799999999999994,25,0.5687,0.7820259050948303
228,-1.0,2,0.5668,0.49938847140391035
229,-8.0,8,0.5649,0.5030028479883376
230,-18.499999999999996,15,0.563,0.6708320240620291
231,-46.90000000000001,40,0.5610999999999999,1.0712116642313034
232,-10.3,8,0.5591999999999999,0.8769121315168225
233,-33.099999999999994,23,0.5573,0.7651586470157143
234,-41.60000000000001,33,0.5554,0.677884037415826
235,-4.6000000000000005,5,0.5535000000000001,0.28299214863792665
236,-2.4,3,0.5516000000000001,1.200635232263244
237,-44.70000000000002,38,0.5497000000000001,0.8200543449198672
238,-10.399999999999999,10,0.5478000000000001,0.37334111843536993
239,-5.9,4,0.5459,0.47959851107318
240,-6.6000000000000005,7,0.544,0.47080101320309636
241,-16.2,11,0.5421,1.1354018582653869
242,-32.3,23,0.5402,1.0507896146010247
243,-14.299999999999999,12,0.5383,0.9031977921084379
244,-1.0,2,0.5364,0.7679537493399045
245,-8.1,6,0.5345,0.7590612254038732
246,-10.5,8,0.5326,0.7780051197830379
247,-3.2,4,0.5307,0.6078273870917571
248,-34.099999999999994,29,0.5288,0.5695341972805281
249,-7.000000000000001,7,0.5269,0.3479886549005999
250,-9.8,10,0.525,0.6001299345120417
251,-36.39999999999999,24,0.5231,0.8160826163061842
252,-15.899999999999999,13,0.5212,0.6239208943531266
253,-29.999999999999993,23,0.5193000000000001,0.6450465706429985
254,-23.099999999999994,19,0.5174000000000001,0.8058007466950448
255,0.0,1,0.5155000000000001,0.7749943585923456
