episode,return,steps,epsilon,mean_td_error
0,-653.8000000000011,421,1.0,1.4128067468209267
1,-685.7000000000015,419,0.99962,1.3927130632110742
2,-407.29999999999865,269,0.99924,1.2493220402572423
3,-98.20000000000009,73,0.99886,1.1237068114013398
4,-408.8999999999986,268,0.99848,1.1769886930712032
5,-817.0000000000049,503,0.9981,1.1994234713771825
6,-38.7,20,0.99772,1.3432845795733568
7,-152.7,106,0.99734,1.0763686037519615
8,-46.2,33,0.99696,1.0710929349772431
9,-212.69999999999965,142,0.99658,1.2178408994970646
10,-232.69999999999973,145,0.9962,1.2239365695608344
11,-206.19999999999973,147,0.99582,1.0230194043628666
12,-540.9999999999986,345,0.99544,1.2146930430544134
13,-56.500000000000014,41,0.9950600000000001,1.0520030388619352
14,-1164.6000000000104,761,0.99468,1.1326804954987932
15,-125.40000000000009,77,0.9943,1.2033842001399226
16,-77.10000000000005,50,0.99392,1.1777535121593177
17,-23.399999999999995,17,0.99354,1.2172643945395543
18,-118.1000000000001,76,0.99316,1.07580546763154
19,-353.1999999999991,228,0.99278,1.1899456511456585
20,-287.4999999999993,195,0.9924,1.0745063881422503
21,-38.99999999999999,27,0.99202,1.1214095532861454
22,-91.20000000000007,64,0.99164,1.0362647597524703
23,-211.79999999999973,132,0.99126,1.137221805124418
24,-342.79999999999933,199,0.99088,1.173820483201568
25,-262.9999999999993,182,0.9905,1.1313620552624053
26,0.0,1,0.99012,0.7491070233204782
27,-233.2999999999996,144,0.98974,1.1966009399083628
28,-502.1999999999982,319,0.98936,1.0810846193985613
29,-266.5999999999992,178,0.98898,1.0450717912325584
30,-128.1000000000001,81,0.9886,1.0625075551703695
31,-337.99999999999915,220,0.98822,1.1101483178167726
32,-172.19999999999982,104,0.98784,1.067951155209574
33,-711.4000000000028,451,0.98746,1.0794807247368232
34,-56.80000000000003,46,0.98708,0.9210742155022457
35,-115.60000000000008,77,0.9867,1.0516519152340251
36,-139.10000000000008,91,0.98632,1.035041318132487
37,-609.3000000000002,415,0.98594,1.0207018125433664
38,-360.49999999999903,234,0.98556,1.0789773364135657
39,0.0,1,0.9851800000000001,0.40151716695142176
40,-25.499999999999993,21,0.9848,0.8037631168811885
41,-399.1999999999987,272,0.98442,1.0170739375845401
42,-4.8,5,0.98404,0.7420752377171448
43,-310.39999999999924,196,0.98366,1.0583414652515375
44,-398.8999999999987,256,0.98328,1.0347773303092687
45,-60.90000000000002,44,0.9829,0.9963299829857526
46,-50.60000000000002,32,0.98252,0.8608506074308359
47,-264.59999999999945,190,0.98214,0.93855922715882
48,-326.69999999999914,216,0.98176,1.0166118097680972
49,-14.999999999999996,10,0.98138,1.0303734059242002
50,-285.3999999999994,183,0.981,1.0519511912856414
51,-272.49999999999943,172,0.98062,0.9873295970740501
52,-423.29999999999865,271,0.98024,1.094680768514724
53,-442.0999999999986,279,0.97986,1.0702226332034968
54,-166.39999999999995,112,0.97948,1.1164411035555675
55,-347.59999999999917,224,0.9791,1.0138946677706502
56,-223.49999999999957,156,0.97872,0.9674265250011297
57,-378.0999999999989,243,0.97834,1.0375201159349003
58,-173.39999999999986,122,0.97796,0.8720271811271625
59,-1246.5000000000132,816,0.97758,1.0445164005786485
60,-30.499999999999996,17,0.9772,0.8631127350303083
61,-33.8,22,0.97682,0.9693014278240581
62,-928.7000000000066,593,0.97644,1.1037896870230992
63,-506.3999999999982,325,0.97606,1.0574039763222647
64,-42.7,28,0.97568,0.9945537025549094
65,-492.09999999999826,312,0.9753000000000001,1.075031951826062
66,-104.00000000000009,71,0.97492,0.9797930289231093
67,-117.0000000000001,73,0.97454,1.2112509482399842
68,-215.39999999999975,146,0.97416,1.0009158179903848
69,-52.2,30,0.97378,1.0282178158271116
70,-1191.2000000000114,764,0.9734,1.0235830589312267
71,-438.59999999999866,291,0.97302,0.9876214880837738
72,-69.80000000000004,48,0.97264,0.979764126703063
73,-247.39999999999932,171,0.97226,0.9619159278712924
74,-808.6000000000042,513,0.97188,1.0335267925564005
75,-552.9999999999987,363,0.9715,1.0175859409859742
76,0.0,1,0.97112,0.7673118045031462
77,-219.09999999999954,147,0.97074,1.0641540992366083
78,-231.4999999999997,154,0.97036,1.0189660858931777
79,-302.1999999999994,194,0.96998,1.070226848464593
80,-134.5000000000001,99,0.9696,0.9718142521670078
81,-714.1000000000017,453,0.96922,1.0230107750200925
82,-33.0,17,0.96884,1.416762282967221
83,-408.2999999999989,253,0.96846,1.0487546482475747
84,-9.399999999999999,5,0.96808,1.4611477823181183
85,-33.2,18,0.9677,1.0322046922156913
86,-790.6000000000035,496,0.96732,1.0007668804195875
87,-169.39999999999992,107,0.96694,1.0285667311367703
88,-277.5999999999994,168,0.96656,1.0560078028066582
89,-228.3999999999996,154,0.96618,1.0399372855040923
90,-200.8999999999996,131,0.9658,0.9159660297327413
91,-20.699999999999996,13,0.96542,0.6627132979348068
92,-5.7,4,0.96504,1.3897692209979537
93,-17.499999999999996,14,0.96466,0.6784770092670727
94,-164.4,116,0.96428,0.930321799463009
95,-393.39999999999884,255,0.9639,0.9380033536535479
96,-107.30000000000008,71,0.96352,0.9422417692894479
97,-153.9999999999999,109,0.96314,0.9664145933892455
98,-30.09999999999999,21,0.9627600000000001,1.0796595980418178
99,-6.0,6,0.96238,0.5084268051490464
100,-124.90000000000009,79,0.962,1.1223894282180114
101,-143.49999999999997,99,0.96162,1.0136680939284046
102,-346.299999999999,232,0.96124,1.043216494692279
103,-30.09999999999999,25,0.96086,0.7327561609207812
104,-159.39999999999998,102,0.96048,0.9728108517262823
105,-119.30000000000011,78,0.9601,0.9198201595452604
106,-112.30000000000011,76,0.95972,0.8760305680574592
107,-74.10000000000005,51,0.95934,0.9028332896679716
108,-96.90000000000005,58,0.95896,0.9137670321118182
109,-497.29999999999836,319,0.95858,1.0665237894590036
110,-90.00000000000007,58,0.9582,0.87346808296349
111,-134.2000000000001,81,0.95782,1.1213930743805731
112,-480.69999999999834,316,0.95744,1.0735790136871044
113,-98.70000000000007,59,0.95706,1.1212497241512696
114,-646.9000000000012,445,0.95668,0.9816531832847708
115,-272.59999999999934,187,0.9563,1.0554820927318966
116,-44.000000000000014,31,0.95592,0.9833968388536377
117,-68.70000000000005,46,0.9555400000000001,1.0173330118731096
118,-317.999999999999,227,0.95516,1.0014480185108308
119,-278.7999999999993,184,0.95478,0.9486628173235411
120,-492.79999999999836,316,0.9544,1.058593778007115
121,-132.8000000000001,83,0.95402,1.1705923026616052
122,-162.99999999999991,106,0.95364,0.9906708194541567
123,-430.3999999999984,283,0.95326,1.0157274348185914
124,-37.300000000000004,23,0.95288,1.016299760813418
125,-83.00000000000003,53,0.9525,0.8940887057671881
126,-19.799999999999997,14,0.95212,0.9317337693424191
127,-39.4,31,0.95174,0.9979153762748262
128,-282.79999999999933,172,0.95136,1.0925723477045168
129,-447.4999999999984,309,0.95098,0.9807232093343359
130,-13.099999999999998,10,0.9506,0.4432015057041845
131,-10.2,10,0.95022,0.7140631907634329
132,-380.89999999999884,251,0.94984,1.0494283393156993
133,-350.0999999999991,215,0.94946,1.0505224366089858
134,-319.8999999999992,196,0.94908,1.0761558642643065
135,-151.60000000000002,95,0.9487,0.9763070171605355
136,-172.1999999999999,109,0.94832,1.0704199093738158
137,-97.70000000000007,67,0.94794,1.0377421743078654
138,-296.89999999999935,194,0.94756,0.9908435394947869
139,-263.1999999999994,175,0.94718,0.9778866919397795
140,-370.49999999999886,241,0.9468,0.9812494025394294
141,-400.99999999999875,267,0.94642,1.0021159718947261
142,-214.0999999999997,144,0.94604,1.0522518615509668
143,-303.3999999999992,185,0.94566,1.0355652944954707
144,-97.50000000000004,55,0.94528,1.190874164992675
145,-668.8000000000015,428,0.9449,0.95418515465771
146,-241.59999999999957,166,0.94452,0.9663567011118677
147,-75.90000000000005,60,0.94414,1.0342146072114866
148,-33.79999999999999,26,0.94376,0.8373472485193092
149,-37.599999999999994,25,0.94338,0.6176513307916395
150,-417.7999999999986,285,0.9430000000000001,0.9219559167076793
151,-14.2,9,0.94262,0.609461685099055
152,-198.7999999999998,124,0.94224,1.0377713841587055
153,-172.9999999999999,113,0.94186,0.9045105560244564
154,-262.89999999999947,169,0.94148,0.9149558488740369
155,-318.79999999999933,194,0.9411,1.027972737131912
156,-717.6000000000016,455,0.94072,1.0619127433199576
157,-99.40000000000008,71,0.94034,0.942932513426569
158,-405.39999999999884,253,0.93996,1.0557579222834739
159,-156.19999999999993,108,0.93958,0.9579702946432431
160,-20.799999999999997,15,0.9392,1.5074416792134393
161,-86.10000000000008,62,0.93882,0.9588563352428527
