episode,return,steps,epsilon,mean_td_error
0,-32.39999999999999,21,1.0,1.468178553472671
1,-1751.700000000022,1097,0.9999366666666667,1.3762970392974827
2,-9.399999999999999,9,0.9998733333333333,1.0313725490196077
3,-29.999999999999993,23,0.99981,1.2880647911338448
4,-1576.5000000000196,1020,0.9997466666666667,1.2768112699954453
5,-599.6000000000003,381,0.9996833333333334,1.231270354981052
6,-690.900000000002,462,0.99962,1.1433063921263622
7,-1248.5000000000134,822,0.9995566666666666,1.2045350309172456
8,-54.500000000000014,34,0.9994933333333333,1.344145576379969
9,-197.5999999999998,127,0.99943,1.2366751670368017
10,-757.5000000000032,464,0.9993666666666666,1.252654213906887
11,-2584.799999999987,1684,0.9993033333333333,1.1275334038547882
12,-683.1000000000008,443,0.99924,1.1862347685862704
13,-878.7000000000055,568,0.9991766666666667,1.1341210417064784
14,-897.700000000005,595,0.9991133333333333,1.113207376458966
15,-3079.399999999956,1960,0.99905,1.091928733999857
16,-280.39999999999935,179,0.9989866666666667,1.0688225258803958
17,-3093.5999999999476,1960,0.9989233333333334,1.0163731344580829
18,-3007.299999999955,1960,0.99886,1.0281459834925066
19,-2503.999999999996,1575,0.9987966666666667,1.0324813679292661
20,-2769.099999999973,1785,0.9987333333333334,1.0289092486778129
21,-723.3000000000023,465,0.99867,0.9936395946363995
22,-388.4999999999988,254,0.9986066666666666,1.0975598645686755
23,-1531.1000000000158,951,0.9985433333333333,1.0591489623344836
24,-655.8000000000011,436,0.99848,1.0393197781698633
25,-318.59999999999906,227,0.9984166666666666,0.9995096199166614
26,-1207.500000000012,785,0.9983533333333333,1.027364341373654
27,-3104.1999999999452,1960,0.99829,0.9816735214698096
28,-2859.199999999966,1847,0.9982266666666667,1.0107592851049285
29,-1259.900000000014,819,0.9981633333333333,1.0184191673306076
30,-31.599999999999998,16,0.9981,1.6806561338452468
31,-563.0999999999989,363,0.9980366666666667,1.0185363928724542
32,-1207.900000000012,786,0.9979733333333334,1.0736892829846372
33,-785.3000000000051,526,0.99791,1.0288930392118463
34,-254.79999999999944,164,0.9978466666666667,1.0059910673905161
35,-319.8999999999993,199,0.9977833333333334,1.0676304135179737
36,-3005.1999999999534,1960,0.99772,1.0361359903462366
37,-641.5000000000001,424,0.9976566666666666,0.9747693894628529
38,-18.799999999999997,13,0.9975933333333333,1.1370759329462428
39,-576.6999999999996,370,0.99753,0.9935785484484437
40,-745.900000000003,474,0.9974666666666666,1.0700381197898015
41,-607.4000000000004,397,0.9974033333333333,1.008665889326654
42,-2748.4999999999736,1721,0.99734,1.0137097257575054
43,-1440.3000000000163,946,0.9972766666666667,1.0369231498663358
44,-2556.8999999999874,1673,0.9972133333333333,1.0242963961351212
45,-66.00000000000004,50,0.99715,0.9960554849142284
46,-139.4000000000001,88,0.9970866666666667,1.103719055535783
47,-29.199999999999996,18,0.9970233333333334,1.1537767109660788
48,-396.29999999999905,236,0.99696,1.0173141361543323
49,-1691.5000000000196,1059,0.9968966666666667,1.0529726360385467
50,-1502.400000000017,943,0.9968333333333333,1.0083969121483445
51,-372.4999999999991,236,0.99677,1.0868615298071616
52,-1145.0000000000107,739,0.9967066666666666,1.0430586783538804
53,-2788.6999999999725,1745,0.9966433333333333,1.0342587499222675
54,-1058.6000000000095,677,0.99658,1.0540034848137947
55,-2253.100000000015,1506,0.9965166666666667,1.0143312762048913
56,-153.2,92,0.9964533333333333,1.109649777255219
57,-1449.6000000000172,924,0.99639,1.0273983299543634
58,-268.4999999999993,177,0.9963266666666667,1.0143730495119152
59,-1940.6000000000272,1243,0.9962633333333333,1.0693369641795085
60,-1396.300000000016,887,0.9962,1.073875469506446
61,-3042.899999999948,1914,0.9961366666666667,1.0455321734271228
62,-80.50000000000006,52,0.9960733333333334,0.9996221261190633
63,-497.09999999999815,338,0.99601,0.9932375486238938
64,-1993.800000000027,1267,0.9959466666666666,1.0474427996783524
65,-803.8000000000036,490,0.9958833333333333,1.138333443894765
66,-1564.0000000000184,1007,0.99582,1.091367421157749
67,-1939.700000000026,1228,0.9957566666666666,1.0916717670766265
68,-246.69999999999962,155,0.9956933333333333,1.0226862602880762
69,-2048.5000000000296,1298,0.99563,1.0454616811296302
70,-44.800000000000004,31,0.9955666666666667,0.8819000108224195
71,-158.79999999999998,102,0.9955033333333333,0.9823025498933075
72,-27.699999999999996,19,0.99544,0.8806788905845977
73,-459.89999999999844,299,0.9953766666666667,0.9964852855531178
74,-715.900000000003,483,0.9953133333333334,1.0222667535730687
75,-1564.0000000000173,987,0.99525,1.0245086105266024
76,-461.89999999999833,305,0.9951866666666667,1.0771726369582764
77,-3066.7999999999565,1960,0.9951233333333334,1.0605738699066973
78,-5.9,4,0.9950600000000001,1.4719993178720379
79,-2019.2000000000307,1348,0.9949966666666666,1.0277588704057836
80,-1704.3000000000209,1098,0.9949333333333333,1.04417280061435
81,-194.69999999999976,126,0.99487,1.0392385443716134
82,-613.8000000000002,396,0.9948066666666666,1.0552105101830038
83,-114.5000000000001,83,0.9947433333333333,0.9102551427380952
84,-14.299999999999997,11,0.99468,0.811124238414381
85,-636.800000000001,420,0.9946166666666667,1.0395053892592063
86,-35.0,23,0.9945533333333333,0.8684182523074232
87,-875.3000000000051,551,0.99449,1.07197530203441
88,-1.2,2,0.9944266666666667,2.0376791228923743
89,-3093.4999999999472,1960,0.9943633333333334,1.0674265549664395
90,-2025.8000000000281,1318,0.9943,1.032648203662012
91,-8.2,4,0.9942366666666667,0.7588166178647041
92,-3.5999999999999996,4,0.9941733333333334,0.4739383293968317
93,-1093.700000000009,713,0.99411,1.0368114004453808
94,-108.7000000000001,76,0.9940466666666666,0.9342511814346914
95,-1706.6000000000217,1106,0.9939833333333333,1.0300018280453023
96,-664.7000000000012,420,0.99392,1.0275126424229475
97,-2111.500000000024,1351,0.9938566666666667,1.077626180259287
98,-1082.50000000001,692,0.9937933333333333,1.0315219623430774
99,-565.7999999999995,364,0.99373,0.9508386171246265
100,-2179.8000000000156,1362,0.9936666666666667,1.0454567008763882
101,-3031.4999999999513,1960,0.9936033333333333,1.0507456156029622
102,-249.09999999999945,165,0.99354,0.9949769550033047
103,-433.2999999999987,271,0.9934766666666667,1.025319293057048
