episode,return,steps,epsilon,mean_td_error
0,-32.89999999999999,28,1.0,1.1749999999999996
1,-34.8,27,0.9981,1.2839245622512367
2,-238.19999999999956,161,0.9962,1.460645209266893
3,-16.299999999999997,13,0.9943,1.207576040674851
4,-125.60000000000011,85,0.9924,1.486091578823701
5,-171.19999999999993,117,0.9905,1.4631868337982241
6,-17.399999999999995,16,0.9886,1.2025633139512564
7,-6.0,6,0.9867,1.0246466465447834
8,-45.90000000000002,35,0.9848,1.2953618831303677
9,-24.4,14,0.9829,1.6628213020829978
10,-33.89999999999999,29,0.981,1.154948358221252
11,-231.79999999999947,153,0.9791,1.5518543544502976
12,0.0,1,0.9772,1.082736791068692
13,-25.599999999999994,23,0.9753000000000001,1.1047142808311672
14,-117.60000000000011,83,0.9734,1.3844753775751741
15,-41.2,33,0.9715,1.2445783641748904
16,-99.1000000000001,64,0.9696,1.594152514851532
17,-6.0,6,0.9677,1.4532058679773676
18,-123.20000000000014,87,0.9658,1.3919642872363065
19,-257.59999999999945,188,0.9639,1.362091431976653
20,-63.40000000000005,52,0.962,1.2416991845782683
21,-87.90000000000008,59,0.9601,1.5014212256557353
22,-85.40000000000006,54,0.9582,1.534548748592398
23,-192.99999999999972,131,0.9563,1.514568695737466
24,-347.49999999999903,235,0.9544,1.4993150887500846
25,-6.0,6,0.9525,0.9775605185435271
26,-31.199999999999992,24,0.9506,1.4584722411201687
27,-4.7,3,0.9487,1.7136866812276803
28,-32.49999999999999,23,0.9468,1.327024479291966
29,-35.5,30,0.9449,1.1785186781661556
30,-443.7999999999984,286,0.9430000000000001,1.5510477343125173
31,-115.80000000000013,84,0.9411,1.352597738186049
32,-143.8000000000001,93,0.9392,1.6043432942531153
33,-50.70000000000002,39,0.9373,1.3000396774634042
34,-26.999999999999996,16,0.9354,1.929907101295667
35,-31.199999999999992,20,0.9335,1.4523651510113558
36,-247.99999999999946,178,0.9316,1.358632222251756
37,-10.2,10,0.9297,0.8688560281006531
38,-1.2,2,0.9278,0.5845870919197873
39,-44.2,31,0.9259,1.5671928427972668
40,-59.400000000000034,45,0.924,1.2650704297237136
41,-5.7,4,0.9221,0.5191275421528995
42,-57.80000000000001,43,0.9202,1.4352404290608054
43,-3.4,4,0.9183,0.49816840887915237
44,-72.70000000000005,54,0.9164,1.3207155510910693
45,-94.10000000000008,68,0.9145,1.3903154691584951
46,-124.00000000000011,88,0.9126,1.3811128809463646
47,-118.70000000000013,85,0.9107000000000001,1.385856793725107
48,-268.1999999999994,188,0.9088,1.423437529063168
49,-122.40000000000012,78,0.9069,1.523533236419803
50,-81.50000000000006,53,0.905,1.5476156445096818
51,-14.599999999999998,14,0.9031,0.8183136973829391
52,-114.1000000000001,69,0.9012,1.5682927117314704
53,-66.70000000000003,36,0.8993,1.7285163909119414
54,-273.0999999999993,193,0.8974,1.4009943038183807
55,-22.599999999999998,16,0.8955,1.360889575773488
56,-237.79999999999959,165,0.8936,1.4995439175478882
57,-30.999999999999993,24,0.8917,1.2644827363781108
58,-27.299999999999994,23,0.8898,1.248666014305856
59,-65.50000000000003,48,0.8879,1.5933376432458133
60,-1.2,2,0.886,0.7486154026494014
61,-17.399999999999995,16,0.8841,1.1056122229683123
62,-23.399999999999995,21,0.8822,1.1928317902242933
63,-60.90000000000003,44,0.8803,1.3757341357853834
64,-14.999999999999998,10,0.8784,1.5357639392714844
65,-7.2,7,0.8765000000000001,0.9276953756710783
66,-32.99999999999999,26,0.8746,1.5644905972232315
67,0.0,1,0.8727,2.6140892911670757
68,-7.800000000000001,8,0.8708,0.6929413868868477
69,-19.299999999999997,16,0.8689,1.1623532900985682
70,-106.40000000000009,77,0.867,1.4422420897393093
71,-98.8000000000001,75,0.8651,1.365104117319509
72,-6.9,5,0.8632,0.9026566940352965
73,-177.59999999999985,127,0.8613,1.4007475999886085
74,0.0,1,0.8594,1.184168334487722
75,-12.599999999999998,12,0.8575,0.8724974404370262
76,-88.50000000000007,59,0.8556,1.5640220936570068
77,-32.19999999999999,25,0.8537,1.26978358967974
78,-363.79999999999876,263,0.8518,1.3977280536028303
