episode,return,steps,epsilon,mean_td_error
0,-305.69999999999925,201,1.0,1.5038312796858555
1,-18.299999999999997,15,0.99962,1.1971241830065358
2,-166.59999999999994,112,0.99924,1.4822462542398163
3,-642.4000000000012,424,0.99886,1.4916447315371666
4,-414.2999999999986,283,0.99848,1.4457435230372213
5,-774.900000000004,514,0.9981,1.5005425021288339
6,-90.80000000000007,63,0.99772,1.4509247882104603
7,-58.40000000000003,39,0.99734,1.4818708319614946
8,-1553.200000000019,1000,0.99696,1.5970678028662642
9,-273.69999999999925,182,0.99658,1.5050818228183955
10,-11.899999999999999,9,0.9962,1.30308679038977
11,-19.4,14,0.99582,1.257272577674409
12,-332.5999999999989,226,0.99544,1.5216427271610675
13,-621.0000000000007,397,0.9950600000000001,1.6158399157995884
14,-339.19999999999914,217,0.99468,1.5420641030296878
15,-9.5,7,0.9943,1.343820438781499
16,-200.29999999999978,129,0.99392,1.5376781108574469
17,-3.2,4,0.99354,0.5061732841404952
18,-296.69999999999936,181,0.99316,1.6420456119335685
19,-137.50000000000006,93,0.99278,1.5167356228104545
20,-42.900000000000006,24,0.9924,1.7559424306258846
21,-101.40000000000008,69,0.99202,1.470626384862593
22,-885.0000000000059,560,0.99164,1.5901730391339661
23,-121.50000000000009,75,0.99126,1.5757906421902101
24,-1301.3000000000125,816,0.99088,1.6096383692418292
25,-166.79999999999995,109,0.9905,1.5259938849312453
26,-357.0999999999988,234,0.99012,1.5263555545755143
27,-805.3000000000035,490,0.98974,1.6450961529431607
28,-21.099999999999994,17,0.98936,1.1802893983026164
29,-83.70000000000005,51,0.98898,1.5769309235121083
30,-8.2,8,0.9886,0.8986448737699603
31,-430.09999999999883,275,0.98822,1.5838522233991554
32,-253.69999999999948,162,0.98784,1.5596056102126818
33,-204.19999999999987,116,0.98746,1.7403120002600425
34,-11.899999999999999,9,0.98708,1.0516178813795125
35,-255.19999999999945,165,0.9867,1.4986198642216295
36,-66.80000000000003,46,0.98632,1.5766349013303345
37,-268.9999999999994,179,0.98594,1.5644767503931254
38,-412.0999999999987,270,0.98556,1.6038035688320098
39,-741.7000000000023,496,0.9851800000000001,1.4768462838054983
40,-99.60000000000007,71,0.9848,1.3317643536646226
41,-209.1999999999997,146,0.98442,1.4624201755569988
42,-105.90000000000009,74,0.98404,1.4173459028565423
43,-412.59999999999883,264,0.98366,1.626032465523809
44,-28.999999999999993,22,0.98328,1.2922035033213637
45,-111.9000000000001,75,0.9829,1.3751876992575178
46,-718.6000000000022,471,0.98252,1.5265129508444806
47,-741.3000000000029,490,0.98214,1.5167229990984774
48,-546.3999999999988,357,0.98176,1.524625857522516
49,-216.5999999999998,140,0.98138,1.6200340128548862
50,-742.9000000000024,476,0.981,1.6136416895093777
51,-44.50000000000001,29,0.98062,1.4696374048313385
52,-728.7000000000023,482,0.98024,1.5396737683222137
53,-605.3999999999999,374,0.97986,1.6683664484341698
54,-149.70000000000002,97,0.97948,1.4983010256645999
55,-263.99999999999955,172,0.9791,1.6828889235937334
56,-19.099999999999998,16,0.97872,1.383227881751561
57,-12.699999999999998,10,0.97834,1.1699123595901726
58,-729.3000000000023,505,0.97796,1.4381944695502575
59,-182.29999999999987,132,0.97758,1.3331230987110385
60,-496.4999999999981,337,0.9772,1.4803270572398466
61,-42.90000000000001,28,0.97682,1.6489974581449134
62,-273.1999999999995,167,0.97644,1.6314988156566876
63,-63.30000000000004,41,0.97606,1.5024545444756678
64,-94.70000000000007,64,0.97568,1.4217820652248814
65,-808.4000000000035,527,0.9753000000000001,1.5351007370763112
66,-320.8999999999991,203,0.97492,1.509573768148222
67,-283.1999999999994,181,0.97454,1.5506180313504705
68,-140.20000000000005,97,0.97416,1.5258384477096083
69,-1052.2000000000094,697,0.97378,1.5295029432402287
70,-178.2999999999998,117,0.9734,1.5714564969461247
71,-151.6,91,0.97302,1.6563742307624754
72,-227.1999999999996,157,0.97264,1.4237679466785256
73,-634.8000000000008,419,0.97226,1.5386728445622564
74,-24.399999999999995,18,0.97188,1.4370964405709135
75,-391.0999999999991,240,0.9715,1.5749548067548527
76,-230.99999999999955,156,0.97112,1.4589865354992246
77,-61.200000000000024,34,0.97074,1.8148707348933162
78,-166.69999999999987,106,0.97036,1.629890877937337
79,-19.9,8,0.96998,2.337908450367981
80,-320.79999999999916,205,0.9696,1.6139213465409072
81,-287.0999999999991,200,0.96922,1.4160346381089113
82,-115.60000000000008,77,0.96884,1.4160194647266244
83,-20.799999999999994,15,0.96846,1.5921089043999566
84,-232.9999999999996,154,0.96808,1.5582339641777287
85,-371.399999999999,241,0.9677,1.5829212524673846
86,-395.8999999999987,277,0.96732,1.398438789718713
87,-325.2999999999991,219,0.96694,1.4617150750177659
88,-113.50000000000007,72,0.96656,1.6107501526839767
89,-66.10000000000002,44,0.96618,1.4712967169497078
90,-77.70000000000007,62,0.9658,1.2350665378735948
91,-136.9000000000001,97,0.96542,1.4097534875492257
92,-204.49999999999977,127,0.96504,1.6377171596438798
93,-692.1000000000014,443,0.96466,1.5737157886918676
94,-247.69999999999953,164,0.96428,1.484788435291808
95,-860.2000000000052,548,0.9639,1.5476850700034739
96,-163.3999999999999,117,0.96352,1.4298027272971496
97,-78.20000000000007,60,0.96314,1.281538694116083
98,-114.80000000000008,63,0.9627600000000001,1.8985853731464484
99,-383.6999999999989,243,0.96238,1.5338779633675752
100,-48.000000000000014,30,0.962,1.4669804613532884
101,-7.1000000000000005,5,0.96162,1.1360700102570083
102,-448.1999999999982,311,0.96124,1.4073844836169216
103,-302.8999999999994,197,0.96086,1.5511828243655617
104,-54.400000000000034,44,0.96048,1.2526424800152747
105,-192.29999999999978,137,0.9601,1.3821396717285492
106,-259.19999999999936,181,0.95972,1.4448832362639392
107,-153.8,101,0.95934,1.5082792587075589
108,-229.69999999999956,157,0.95896,1.4115650095427628
109,-39.300000000000004,29,0.95858,1.660483120210034
110,-499.3999999999981,326,0.9582,1.5353176599403124
111,-993.2000000000073,618,0.95782,1.5551834635493889
112,-261.39999999999935,177,0.95744,1.4418683893162159
113,-30.699999999999992,25,0.95706,1.269946106805699
114,-794.0000000000047,531,0.95668,1.4699970808539289
115,-48.10000000000001,28,0.9563,1.7350868208877017
116,-83.30000000000005,55,0.95592,1.4803581124567144
117,-982.900000000008,656,0.9555400000000001,1.4686202413332712
118,-38.5,28,0.95516,1.3234223421943832
119,-108.80000000000008,75,0.95478,1.3802222111086542
120,-77.50000000000006,46,0.9544,1.5635799759955502
121,-184.69999999999985,118,0.95402,1.6008422854697466
122,-102.00000000000007,61,0.95364,1.6549671872280116
123,-159.79999999999987,101,0.95326,1.5233211666345836
124,-140.80000000000007,90,0.95288,1.7744828384399027
125,-150.59999999999997,110,0.9525,1.4306588458493377
126,-87.10000000000005,58,0.95212,1.460377662612444
127,-186.89999999999975,111,0.95174,1.591908525689338
128,-235.49999999999946,157,0.95136,1.4380444618149364
129,-5.5,4,0.95098,2.271389714827958
130,-182.29999999999987,121,0.9506,1.4398934084722963
131,-1235.800000000013,804,0.95022,1.4932431311935355
132,-12.499999999999998,10,0.94984,1.864331547590961
133,-222.69999999999973,143,0.94946,1.5268113877824605
134,-327.89999999999924,204,0.94908,1.539812141735147
135,-62.700000000000045,49,0.9487,1.1669520945072835
136,-129.4000000000001,85,0.94832,1.4522617488481926
137,-74.60000000000007,49,0.94794,1.477247353119488
138,-44.300000000000026,33,0.94756,1.5469916777667927
139,-428.7999999999983,288,0.94718,1.486140416280668
140,-233.89999999999952,156,0.9468,1.4327143003009648
141,-186.2999999999998,127,0.94642,1.5274067674321221
142,-551.4999999999987,370,0.94604,1.4825471999095126
143,-3.5999999999999996,4,0.94566,1.5528277518011038
144,-604.9000000000005,403,0.94528,1.4399607486578063
145,-34.6,27,0.9449,1.3654988477914178
146,-189.09999999999982,125,0.94452,1.5493662439195188
147,-45.800000000000004,36,0.94414,1.4281823201229524
148,-51.00000000000003,37,0.94376,1.6079738486518684
149,-219.99999999999966,142,0.94338,1.5447760645196924
150,-125.50000000000016,91,0.9430000000000001,1.4758935645193045
151,-90.30000000000007,56,0.94262,1.61970732677541
152,-118.1000000000001,77,0.94224,1.5333202158192087
153,-196.09999999999962,134,0.94186,1.387225993151823
154,-13.799999999999999,9,0.94148,1.7040885363650806
155,-25.89999999999999,21,0.9411,1.3873909996907958
156,-202.49999999999983,142,0.94072,1.4979871831505778
157,-100.60000000000008,67,0.94034,1.4452183923719
158,-134.70000000000005,87,0.93996,1.5273601558505134
159,-98.3000000000001,67,0.93958,1.4143519484046887
160,-323.3999999999993,207,0.9392,1.5822994909720047
161,-187.29999999999978,128,0.93882,1.4271801892178444
162,-11.599999999999998,11,0.93844,1.0796290603999565
163,-380.69999999999885,247,0.93806,1.5696388693302075
164,-34.89999999999999,25,0.93768,1.5066206928370791
165,-37.599999999999994,25,0.9373,1.6398467127459617
166,-283.89999999999924,186,0.93692,1.4568138993523951
167,-783.3000000000034,500,0.93654,1.521376061605336
168,-172.39999999999986,105,0.93616,1.5647294265772895
169,-753.5000000000027,504,0.9357800000000001,1.477177642896705
170,-29.299999999999994,20,0.9354,1.476677177643035
171,-416.89999999999867,268,0.93502,1.4983601147317243
172,-169.1999999999999,103,0.93464,1.6651328431249566
173,-170.59999999999985,117,0.93426,1.5222600345410866
174,-19.099999999999998,16,0.93388,1.789680309709584
175,-356.69999999999914,235,0.9335,1.501113425124639
176,-256.9999999999995,170,0.93312,1.4933501166714793
177,-307.89999999999907,206,0.93274,1.5083836283038896
178,-13.0,8,0.93236,1.7871417665360232
179,-55.900000000000034,42,0.93198,1.536220831986909
180,-79.90000000000006,57,0.9316,1.54584031493216
181,-500.3999999999981,324,0.9312199999999999,1.526630490899716
182,-450.39999999999833,309,0.93084,1.4432230961143795
183,-300.5999999999993,195,0.93046,1.4927595492782766
184,-90.40000000000005,60,0.93008,1.661920292424305
185,-1.2,2,0.9297,1.082569657305629
186,-124.60000000000014,88,0.92932,1.4372388521111736
187,-86.10000000000005,53,0.92894,1.639465820664317
188,-3.0,4,0.92856,2.2369557895845107
189,-117.6000000000001,78,0.92818,1.6568137698003114
190,-26.59999999999999,20,0.9278,1.405632557946207
191,-189.79999999999976,133,0.92742,1.4311934799125383
192,-89.80000000000004,54,0.92704,1.6753703169619327
193,-116.60000000000011,82,0.92666,1.4917329702230813
194,-56.199999999999996,37,0.92628,1.6297270174447849
195,-2.0,3,0.9259,1.9247848971232446
196,-1.2,2,0.92552,1.2721584665203207
197,-132.20000000000013,93,0.92514,1.3991548781877954
198,-607.9000000000001,399,0.92476,1.4827757329165716
199,-170.4999999999999,110,0.92438,1.6432573190300175
200,-301.1999999999994,188,0.924,1.6436173849467302
201,-172.69999999999985,117,0.92362,1.5455643380536015
202,-274.9999999999994,186,0.9232400000000001,1.4585003810838
203,-730.0000000000034,486,0.92286,1.4319215714470142
204,-17.399999999999995,12,0.92248,1.5896636043274226
205,-473.99999999999847,307,0.9221,1.5019426535697833
206,-82.00000000000006,55,0.92172,1.5901480801460934
207,-203.99999999999963,140,0.92134,1.4300941699693464
208,-247.09999999999957,156,0.92096,1.5494289940722585
209,-32.599999999999994,21,0.92058,1.7052231601967998
210,-128.2000000000001,83,0.9202,1.5284163305097074
211,-200.19999999999973,126,0.91982,1.5464395106554587
212,-561.3999999999992,364,0.91944,1.5505045501072006
213,-92.1000000000001,70,0.91906,1.3373791331480518
214,-169.09999999999994,121,0.91868,1.4008325812140867
215,-31.39999999999999,20,0.9183,1.650325551769092
216,-160.2,111,0.91792,1.3749664491802396
217,-354.89999999999895,236,0.91754,1.493933403899736
218,-259.9999999999993,179,0.91716,1.3752306537711985
219,-96.70000000000009,71,0.91678,1.4581903253280126
220,-365.29999999999865,253,0.9164,1.4864662604139736
221,-23.39999999999999,17,0.9160200000000001,1.9519050724935467
222,-139.90000000000003,104,0.91564,1.2595170822778952
223,-186.6999999999998,127,0.91526,1.5466234010291136
224,-102.70000000000007,71,0.91488,1.5588161626715917
225,-753.3000000000031,501,0.9145,1.4759226170611868
226,-107.3000000000001,79,0.91412,1.3152263760617984
227,-280.09999999999934,195,0.91374,1.4057096051023559
228,-202.19999999999982,127,0.91336,1.566186745379287
229,-281.2999999999994,184,0.91298,1.453148362613676
230,-368.09999999999866,247,0.9126,1.5132228100857472
231,-190.29999999999987,122,0.91222,1.5165567864236187
232,-329.7999999999992,218,0.91184,1.5457915887290312
233,-9.5,7,0.9114599999999999,1.3434733853967018
234,-153.39999999999998,109,0.91108,1.418513942475703
235,-72.20000000000006,55,0.9107000000000001,1.2336211982429075
236,-195.79999999999978,117,0.91032,1.6865949001185176
237,0.0,1,0.90994,1.979729501617667
238,-220.49999999999966,140,0.90956,1.6012504755171815
239,-19.799999999999994,18,0.90918,1.0716507053814959
240,-10.600000000000001,6,0.9088,2.149135982008666
241,-402.49999999999875,261,0.90842,1.5626582590285454
242,-82.10000000000007,62,0.90804,1.3863517833485033
243,-2.4,3,0.90766,0.9736509786334954
244,-497.8999999999984,311,0.90728,1.5554267226011425
245,-102.70000000000007,68,0.9069,1.6146544869648312
246,-497.8999999999983,337,0.90652,1.4450834267944646
247,-111.5000000000001,78,0.90614,1.530347826241128
248,-583.7999999999998,398,0.90576,1.5265279498679127
249,-8.0,8,0.90538,1.3607573290868853
250,-30.099999999999994,21,0.905,1.7222558486912192
251,-159.59999999999988,106,0.90462,1.4661870330428128
252,-350.7999999999988,233,0.90424,1.409915368757041
253,-353.09999999999883,240,0.90386,1.4389780407525774
254,-174.3999999999999,130,0.9034800000000001,1.4272304480582634
