episode,return,steps,epsilon,mean_td_error
0,-578.2999999999997,379,1.0,1.5121504831111692
1,-3120.6999999999457,1960,0.9999366666666667,1.5818607900717858
2,-3086.499999999951,1960,0.9998733333333333,1.590795215597159
3,-35.099999999999994,25,0.99981,1.3709344388185085
4,-26.89999999999999,22,0.9997466666666667,1.1430126792807151
5,-2541.0999999999863,1602,0.9996833333333334,1.6121234837895961
6,-940.900000000007,599,0.99962,1.5759734004546144
7,-276.29999999999944,177,0.9995566666666666,1.579009573238811
8,-539.099999999999,335,0.9994933333333333,1.6777709490969603
9,-2315.800000000008,1453,0.99943,1.6572249581438938
10,-60.900000000000034,39,0.9993666666666666,1.6267910140617634
11,-761.300000000003,502,0.9993033333333333,1.509500010095113
12,-1317.4000000000133,839,0.99924,1.6424583347610016
13,-144.80000000000007,98,0.9991766666666667,1.4972569672579825
14,-841.4000000000053,550,0.9991133333333333,1.578549320167067
15,-70.90000000000003,48,0.99905,1.647964511043048
16,-16.499999999999996,9,0.9989866666666667,1.8441310162666136
17,-28.199999999999996,17,0.9989233333333334,1.6585987838801661
18,-909.6000000000063,567,0.99886,1.638742877808371
19,-183.99999999999983,121,0.9987966666666667,1.6013057663047912
20,-1003.3000000000084,640,0.9987333333333334,1.5994532548084506
21,-2523.899999999988,1634,0.99867,1.634167291334963
22,-604.6000000000004,383,0.9986066666666666,1.6361507720760398
23,-3063.399999999952,1960,0.9985433333333333,1.6422448067746263
24,-247.79999999999944,162,0.99848,1.6230318727355144
25,-138.20000000000007,88,0.9984166666666666,1.6132116287651677
26,-279.99999999999926,189,0.9983533333333333,1.474290744852328
27,-1171.9000000000112,755,0.99829,1.583864997156244
28,-2033.00000000003,1313,0.9982266666666667,1.5466218441671786
29,-1787.9000000000233,1134,0.9981633333333333,1.6135177691110054
30,-2454.299999999999,1598,0.9981,1.5571946854012093
31,-2924.9999999999586,1900,0.9980366666666667,1.5692156493047567
32,-1053.900000000008,677,0.9979733333333334,1.5869466352001478
33,-405.69999999999885,246,0.99791,1.6134351127544229
34,-127.60000000000014,86,0.9978466666666667,1.4261696982436434
35,-1822.5000000000223,1177,0.9977833333333334,1.6029628818664674
36,-3075.499999999944,1960,0.99772,1.5786073134924237
37,-2068.1000000000245,1301,0.9976566666666666,1.6023530605103224
38,-1.2,2,0.9975933333333333,3.1184720535104855
39,-108.40000000000008,66,0.99753,1.6202472799969245
40,-8.2,8,0.9974666666666666,0.8001921779071017
41,-776.7000000000038,510,0.9974033333333333,1.5174742265636751
42,-69.60000000000004,40,0.99734,1.650903027479855
43,-388.99999999999875,251,0.9972766666666667,1.552715262977013
44,-3053.699999999944,1960,0.9972133333333333,1.5856355255249592
45,-1744.6000000000226,1107,0.99715,1.596864979751888
46,-101.60000000000008,60,0.9970866666666667,1.5241009556685328
47,-1550.600000000019,981,0.9970233333333334,1.5683218731463588
48,-1212.500000000012,777,0.99696,1.5830826541780683
49,-11.299999999999999,9,0.9968966666666667,1.1936737600105607
50,-890.0000000000065,562,0.9968333333333333,1.5997270357880908
51,-15.499999999999996,12,0.99677,1.252793862080249
52,-228.19999999999956,149,0.9967066666666666,1.5595386071839925
53,-2817.79999999997,1773,0.9966433333333333,1.6099474669389833
54,-3026.599999999952,1937,0.99658,1.5908313337479631
55,-1419.8000000000156,909,0.9965166666666667,1.5862087375268952
56,-1043.7000000000087,689,0.9964533333333333,1.5324552537067115
57,-150.49999999999994,93,0.99639,1.6067522945987622
