episode,return,steps,epsilon,mean_td_error
0,-90.00000000000009,67,1.0,1.56238435055152
1,-26.0,33,0.9981,1.325866337126262
2,-109.00000000000011,84,0.9962,1.4133507059731913
3,-386.9999999999987,245,0.9943,1.31564941242359
4,-135.6,90,0.9924,1.2025682832478612
5,-65.70000000000006,52,0.9905,1.2521774573477118
6,-277.3999999999994,187,0.9886,1.1476677763727086
7,-131.00000000000006,102,0.9867,1.2189631632147118
8,-116.70000000000014,88,0.9848,1.2045364261451281
9,-61.40000000000005,51,0.9829,1.1035161861978955
10,-36.80000000000002,29,0.981,1.3245041029322993
11,10.0,1,0.9791,9.961485600074807
12,-133.70000000000005,95,0.9772,1.1749455236771198
13,-3.0,8,0.9753000000000001,1.4308624253919389
14,10.0,1,0.9734,11.947711110029074
15,-74.20000000000006,54,0.9715,1.3332412425256204
16,-241.79999999999953,166,0.9696,1.1212080203412813
17,6.6,4,0.9677,2.6911954693538003
18,-47.800000000000026,35,0.9658,1.4119966714150547
19,-305.1999999999991,225,0.9639,0.9745342157237512
20,-3.6999999999999993,11,0.962,1.4024917163025026
21,-197.39999999999972,136,0.9601,1.0632237759227952
22,-24.5,25,0.9582,1.1831480819360638
23,-18.899999999999995,20,0.9563,1.3312655623297551
24,-6.099999999999998,13,0.9544,1.3585468045641886
25,-112.70000000000007,73,0.9525,1.1216839249652997
26,-73.80000000000007,57,0.9506,1.0607528943693387
27,-15.899999999999995,17,0.9487,1.5026873522934185
28,-14.499999999999993,16,0.9468,1.484015470284583
29,-57.300000000000026,45,0.9449,1.0740410888743483
30,-31.500000000000007,31,0.9430000000000001,1.0699067440810759
31,-35.600000000000016,28,0.9411,1.0079595033553248
32,-16.399999999999995,20,0.9392,1.3412589489410542
33,0.5,7,0.9373,1.8766956129685508
34,-23.39999999999999,26,0.9354,1.0724681521085784
35,-8.599999999999998,13,0.9335,1.1433244019041973
36,-55.60000000000002,42,0.9316,1.120151166442749
37,-112.5000000000001,81,0.9297,1.0856388375619077
38,-178.29999999999976,133,0.9278,1.0275137249681765
39,-23.699999999999996,29,0.9259,1.4917975155571757
