episode,return,steps,epsilon,mean_td_error
0,-643.8000000000011,421,1.0,1.4365597159420669
1,-675.7000000000015,419,0.99962,1.4165794116597616
2,-397.29999999999865,269,0.99924,1.2759138929491318
3,-88.20000000000009,73,0.99886,1.1988789967088487
4,-398.8999999999986,268,0.99848,1.182103167452042
5,-807.0000000000049,503,0.9981,1.2154516377294733
6,-28.700000000000003,20,0.99772,1.5805553910806283
7,-142.7,106,0.99734,1.1456063599735407
8,-36.2,33,0.99696,1.273653549678419
9,-202.69999999999965,142,0.99658,1.2669576278494123
10,-222.69999999999973,145,0.9962,1.2892670780420128
11,-196.19999999999973,147,0.99582,1.0618543063194381
12,-530.9999999999986,345,0.99544,1.2275001081992132
13,-46.500000000000014,41,0.9950600000000001,1.246332174590768
14,-307.29999999999916,213,0.99468,1.1644077264124246
15,-812.9000000000038,548,0.9943,1.1246148967315674
16,-115.40000000000009,77,0.99392,1.318418105620206
17,-67.10000000000005,50,0.99354,1.288024757861936
18,-13.399999999999995,17,0.99316,2.000292212594176
19,-108.1000000000001,76,0.99278,1.307519078625066
20,-881.9000000000065,578,0.9924,1.1379326375399874
21,-385.999999999999,245,0.99202,1.1026894473674174
22,-12.099999999999998,14,0.99164,1.7228872733038785
23,-244.9999999999994,180,0.99126,1.0430662284369205
24,-173.3999999999998,123,0.99088,1.20238917583288
25,-1063.6000000000108,719,0.9905,1.0641279266531265
26,-162.5999999999999,104,0.99012,1.1761839223572352
27,-161.59999999999982,108,0.98974,0.8780866128122456
28,-293.5999999999993,197,0.98936,1.0828477615435907
29,-102.70000000000007,64,0.98898,1.3270799273069
30,-611.3000000000005,403,0.9886,1.1263453513639186
31,-686.5000000000024,444,0.98822,1.044559366736267
32,-171.0,110,0.98784,1.1704054782030333
33,-305.3999999999993,207,0.98746,1.052949320631983
34,-468.09999999999843,322,0.98708,1.047293449822247
35,-89.4000000000001,74,0.9867,1.118938520721212
36,-40.00000000000002,36,0.98632,1.3932804433572434
37,-72.00000000000006,60,0.98594,1.0939134910226769
38,-1033.3000000000093,673,0.98556,1.0480576625098155
39,-4.999999999999998,10,0.9851800000000001,1.3851603286250427
40,-223.3999999999996,145,0.9848,0.9048788944633335
41,-67.40000000000003,47,0.98442,1.1505132651928471
42,-67.40000000000003,43,0.98404,1.1836668189366255
43,-169.79999999999987,128,0.98366,0.9850002680679034
44,-1205.000000000013,822,0.98328,0.9542910468686573
45,-639.6000000000009,416,0.9829,0.9506370123792713
46,-404.7999999999987,278,0.98252,0.8971522181353608
47,-2.3999999999999986,12,0.98214,1.3288098213020054
48,-84.50000000000011,76,0.98176,0.8425135291284299
49,-84.20000000000007,71,0.98138,0.9652457326497857
50,-1230.9000000000126,788,0.981,0.9461507957892803
51,-26.9,27,0.98062,1.47980953271813
52,-101.30000000000007,71,0.98024,0.930262866035674
53,-20.699999999999996,17,0.97986,1.6078031419169707
54,8.8,2,0.97948,2.9620756014903025
55,-651.900000000001,420,0.9791,0.9639561652353821
56,-1408.100000000015,895,0.97872,0.9840649609415268
57,-168.49999999999983,120,0.97834,1.0545564132764735
58,-30.4,32,0.97796,1.3009502393214993
59,-449.3999999999985,296,0.97758,1.0714501988950065
60,-439.5999999999985,303,0.9772,0.9349294833227968
61,-400.29999999999876,260,0.97682,1.0891802442799368
62,-59.00000000000004,44,0.97644,1.6011985062624772
63,-423.4999999999987,279,0.97606,1.0330484207788435
64,-158.09999999999985,99,0.97568,1.1835011330032223
65,-97.40000000000009,74,0.9753000000000001,1.075566033256316
66,-63.10000000000005,54,0.97492,1.4747746050532355
67,-159.79999999999984,118,0.97454,1.1024840328552712
68,-410.19999999999857,289,0.97416,1.0452541114829423
69,-160.6999999999998,122,0.97378,0.887949245194467
70,-408.9999999999988,253,0.9734,1.039549756590854
71,-276.29999999999944,191,0.97302,1.0568234867209876
72,-151.89999999999995,115,0.97264,0.9327105078065542
73,-21.39999999999999,24,0.97226,1.7025181137722543
74,-307.09999999999917,203,0.97188,1.2237266486556913
75,-379.39999999999895,254,0.9715,0.9991467798051952
76,-1140.9000000000094,721,0.97112,0.8898469651786185
77,-175.79999999999995,120,0.97074,1.0177949221568194
78,-287.8999999999993,187,0.97036,0.9963531285086556
79,-594.6999999999997,394,0.96998,1.0507070125351365
80,-201.39999999999975,130,0.9696,1.1474824351877857
81,-490.49999999999824,330,0.96922,1.0110581662350826
82,-6.199999999999996,15,0.96884,1.1693539315412247
83,10.0,1,0.96846,8.878702100029761
84,-784.2000000000037,525,0.96808,0.9648689440234189
85,-29.699999999999996,29,0.9677,1.236776995197988
86,-73.20000000000007,69,0.96732,0.8869146596591856
87,-210.0999999999996,144,0.96694,1.0532707235151888
88,9.0,2,0.96656,2.270457619068045
89,-717.700000000002,487,0.96618,0.8890890139338966
90,-478.19999999999834,321,0.9658,0.9896674565877231
91,-71.60000000000007,60,0.96542,1.1590342711705133
92,-363.4999999999988,258,0.96504,1.0337517779868772
93,-181.19999999999973,137,0.96466,1.0411156726693807
94,-514.6999999999983,362,0.96428,0.9166356809785656
95,-490.0999999999983,308,0.9639,0.9593613312174509
96,-25.0,19,0.96352,1.631910449240421
97,1.9000000000000004,6,0.96314,1.2813646226835116
98,-90.70000000000009,69,0.9627600000000001,1.219414958431181
99,-295.79999999999933,195,0.96238,0.9971344911951565
100,-227.4999999999996,156,0.962,1.0463093067626101
101,-42.50000000000002,32,0.96162,0.9793572681918215
102,-16.199999999999996,20,0.96124,1.187947641483423
103,-113.00000000000011,87,0.96086,1.1627248570457838
104,-137.49999999999997,91,0.96048,0.9860221166373423
105,-414.0999999999987,267,0.9601,1.005666580981
106,-152.99999999999991,105,0.95972,0.9358271582860576
107,-621.9000000000008,424,0.95934,1.025612706940359
108,-154.29999999999995,103,0.95896,1.1476252990996463
109,-299.3999999999992,200,0.95858,1.0402989274548764
110,-113.4000000000001,83,0.9582,1.180956057873446
111,-534.9999999999987,362,0.95782,1.028523840558568
112,-11.699999999999996,18,0.95744,1.070738005859123
113,-49.40000000000003,44,0.95706,1.384521768656091
114,-132.9,98,0.95668,0.9966329853336505
115,-135.60000000000002,102,0.9563,1.3626941146906666
116,-438.39999999999844,290,0.95592,0.935945935426916
117,-196.79999999999976,131,0.9555400000000001,1.035917642115884
118,-871.5000000000059,571,0.95516,0.9267035123328237
119,8.8,2,0.95478,1.178736516286687
120,-67.30000000000004,49,0.9544,0.7770818837137365
121,-203.09999999999974,143,0.95402,1.0669760778396837
122,-58.300000000000026,45,0.95364,0.9753222698635262
123,-1.7999999999999972,7,0.95326,1.65405296808197
124,-17.999999999999993,17,0.95288,1.276003323756522
125,-322.9999999999991,216,0.9525,1.0390439430830722
126,-393.8999999999989,250,0.95212,0.9867522240431078
127,-764.3000000000034,496,0.95174,0.9384874113985857
128,-219.49999999999963,156,0.95136,1.2290725116842098
129,-190.69999999999973,130,0.95098,0.9183383698840512
130,-48.60000000000004,39,0.9506,1.273273388996058
