episode,return,steps,epsilon,mean_td_error
0,-22.39999999999999,21,1.0,1.944369029663147
1,-1741.700000000022,1097,0.9999366666666667,1.3819899272092562
2,0.6000000000000014,9,0.9998733333333333,2.142483660130719
3,-19.999999999999993,23,0.99981,1.686615515771526
4,-1566.5000000000196,1020,0.9997466666666667,1.2843942713776146
5,-589.6000000000003,381,0.9996833333333334,1.2523117026810635
6,-680.900000000002,462,0.99962,1.1546719423525877
7,-1238.5000000000134,822,0.9995566666666666,1.2087083801006369
8,-44.500000000000014,34,0.9994933333333333,1.5757177553084878
9,-187.5999999999998,127,0.99943,1.3002487348731149
10,-747.5000000000032,464,0.9993666666666666,1.2752737871194368
11,-2574.799999999987,1684,0.9993033333333333,1.1298228834930422
12,-673.1000000000008,443,0.99924,1.207721642150724
13,-868.7000000000055,568,0.9991766666666667,1.1472526004757702
14,-887.700000000005,595,0.9991133333333333,1.1259793536315406
15,-3079.399999999956,1960,0.99905,1.0920869172752763
16,-270.39999999999935,179,0.9989866666666667,1.0979334247421286
17,-3093.5999999999476,1960,0.9989233333333334,1.013026357896142
18,-3007.299999999955,1960,0.99886,1.0281394945520603
19,-2493.999999999996,1575,0.9987966666666667,1.0384373283238837
20,-2759.099999999973,1785,0.9987333333333334,1.0239214833432584
21,-713.3000000000023,465,0.99867,0.9899835724692811
22,-378.4999999999988,254,0.9986066666666666,1.1035239714163054
23,-1521.1000000000158,951,0.9985433333333333,1.0386491403796483
24,-645.8000000000011,436,0.99848,1.0090154878660738
25,-308.59999999999906,227,0.9984166666666666,1.0342128910816526
26,-1197.500000000012,785,0.9983533333333333,0.942844017949099
27,-3104.1999999999452,1960,0.99829,0.9741674219939866
28,-2849.199999999966,1847,0.9982266666666667,1.0083041345332049
29,-1249.900000000014,819,0.9981633333333333,0.9900005461290508
30,-21.599999999999998,16,0.9981,1.8428337892648616
31,-553.0999999999989,363,0.9980366666666667,1.0377420540672362
32,-1197.900000000012,786,0.9979733333333334,1.0402840985455544
33,-775.3000000000051,526,0.99791,0.9653564296002966
34,-244.79999999999944,164,0.9978466666666667,0.9792426532243903
35,-309.8999999999993,199,0.9977833333333334,1.0440608298197454
36,-3005.1999999999534,1960,0.99772,1.0306799157359923
37,-631.5000000000001,424,0.9976566666666666,0.9763172243235846
38,-8.799999999999997,13,0.9975933333333333,1.4177071734706563
39,-597.1999999999996,409,0.99753,0.9994815812990409
40,-821.5000000000043,555,0.9974666666666666,1.0093474683010415
41,-1543.2000000000176,967,0.9974033333333333,1.0666259300332055
42,-3055.599999999943,1960,0.99734,1.0190979944821053
43,-3.799999999999999,13,0.9972766666666667,1.3964412570635096
44,-1415.5000000000148,892,0.9972133333333333,0.9960760995954681
45,-510.19999999999857,345,0.99715,1.0919820111354372
46,-1.8999999999999986,9,0.9970866666666667,1.8713628924255612
47,-165.49999999999983,114,0.9970233333333334,0.9710372542175032
48,5.5,3,0.99696,3.011930985632141
49,-336.49999999999903,225,0.9968966666666667,0.9407748302396768
50,-220.39999999999964,143,0.9968333333333333,1.1520095476277155
51,-1236.5000000000136,776,0.99677,1.025388902952887
52,-972.3000000000067,619,0.9967066666666666,0.9152561582410199
53,-1482.800000000017,943,0.9966433333333333,0.9818275018346616
54,-362.4999999999991,236,0.99658,0.9317749521735743
55,-1135.0000000000107,739,0.9965166666666667,1.021828763098882
56,-2457.099999999999,1541,0.9964533333333333,1.023099617883311
57,-1263.6000000000133,811,0.99639,0.9431746517672328
58,-1344.200000000016,891,0.9963266666666667,0.9499413585746522
59,-2035.3000000000304,1339,0.9962633333333333,1.0312434230591865
60,-840.0000000000048,548,0.9962,1.0252054890637667
61,-1458.300000000017,909,0.9961366666666667,0.9502371147915311
62,-1353.9000000000142,864,0.9960733333333334,1.0190395978274596
63,-1098.6000000000092,707,0.99601,1.0120329073481524
64,-1023.1000000000088,662,0.9959466666666666,0.8795079358616528
65,-1436.9000000000176,926,0.9958833333333333,0.9998748994771335
66,-721.4000000000032,468,0.99582,0.876855650147379
67,-126.80000000000004,91,0.9957566666666666,1.0305850166753354
68,-266.7999999999994,179,0.9956933333333333,0.8367262572884879
69,-1407.0000000000152,869,0.99563,0.8700057362551513
70,-3057.1999999999516,1960,0.9955666666666667,1.0452048601993047
71,-51.000000000000014,38,0.9955033333333333,0.907273448540494
72,-0.29999999999999893,8,0.99544,1.1231173335306677
73,-1228.4000000000126,804,0.9953766666666667,0.9458345397004088
74,-1222.4000000000121,813,0.9953133333333334,1.001922809499905
75,-3051.7999999999556,1960,0.99525,1.0112738457858863
76,-651.0000000000006,412,0.9951866666666667,1.015414701282971
77,-3054.6999999999507,1960,0.9951233333333334,0.9739401408521325
78,-2998.9999999999523,1960,0.9950600000000001,1.052109393746059
79,-695.100000000002,428,0.9949966666666666,1.0088921456353366
80,-60.000000000000014,37,0.9949333333333333,1.0702530957449576
81,-203.49999999999957,138,0.99487,0.9397648197710832
82,-240.4999999999995,164,0.9948066666666666,1.0474618450309399
83,-2666.199999999979,1703,0.9947433333333333,1.0075915414528578
84,-393.8999999999987,257,0.99468,0.946870326528291
85,-55.20000000000003,45,0.9946166666666667,1.2855252162146
86,-714.7000000000027,462,0.9945533333333333,1.0805279366111729
87,-226.49999999999957,155,0.99449,0.8160278742759594
88,-3038.4999999999486,1960,0.9944266666666667,1.0029835331171368
89,-1167.5000000000118,767,0.9943633333333334,0.9805916008703622
90,-445.8999999999984,306,0.9943,0.8689822673747196
91,-239.6999999999995,149,0.9942366666666667,1.0456712966191621
92,-302.4999999999992,214,0.9941733333333334,0.9987657589217215
93,-1574.6000000000192,1025,0.99411,1.0324289173565577
94,-44.800000000000004,28,0.9940466666666666,1.6466199844480862
95,-149.39999999999995,103,0.9939833333333333,0.9555392943659933
96,-3126.4999999999554,1960,0.99392,1.03288337994608
97,-95.40000000000008,64,0.9938566666666667,0.8809314011093266
98,-526.7999999999989,335,0.9937933333333333,0.8269357017184608
