episode,return,steps,epsilon,mean_td_error
0,-22.89999999999999,28,1.0,1.5321428571428568
1,-24.799999999999997,27,0.9981,1.6542949326216072
2,-228.19999999999956,161,0.9962,1.5227570105091288
3,-6.299999999999997,13,0.9943,1.826731395124323
4,-33.7,33,0.9924,1.560790498569711
5,-39.500000000000014,43,0.9905,1.3339962087876798
6,-118.20000000000013,96,0.9886,1.4238980635557292
7,-53.70000000000005,42,0.9867,1.6870281518468964
8,2.8999999999999995,5,0.9848,3.699229024251944
9,-58.200000000000045,48,0.9829,1.7071134079824448
10,-69.00000000000006,53,0.981,1.6885158356602754
11,-131.10000000000002,101,0.9791,1.5342217870077621
12,-57.90000000000002,38,0.9772,2.0479686491134395
13,-155.69999999999993,111,0.9753000000000001,1.6193440555437235
14,6.6,4,0.9734,2.7192461238581966
15,-67.70000000000003,50,0.9715,1.7729627930930816
16,-0.7999999999999989,10,0.9696,1.8691107773774966
17,-35.30000000000001,34,0.9677,1.54006370889201
18,-29.6,27,0.9658,1.8489644753530323
19,1.0,9,0.9639,1.8253579180863637
20,-16.199999999999996,20,0.962,1.647905759670516
21,-295.9999999999992,214,0.9601,1.4966330466194864
22,-153.79999999999987,114,0.9582,1.5478541955192109
23,-2.3000000000000007,10,0.9563,1.9726134481995081
24,-126.50000000000011,98,0.9544,1.4609065377217565
25,-63.800000000000054,58,0.9525,1.4327256972448583
26,-71.30000000000005,45,0.9506,1.8850453375017815
27,9.0,2,0.9487,8.078661210917017
28,-15.799999999999997,15,0.9468,3.2841752975723395
29,-126.60000000000008,91,0.9449,1.5526715064428067
30,-22.099999999999994,23,0.9430000000000001,1.5993717799611091
31,5.8,5,0.9411,2.553157525272151
32,-27.200000000000003,25,0.9392,1.9479206048156015
33,-176.29999999999973,132,0.9373,1.5792279504791478
34,-10.999999999999996,19,0.9354,1.5225906083249388
35,-110.40000000000013,93,0.9335,1.4814931992964309
36,3.0,7,0.9316,2.8034911301442067
37,-36.60000000000002,33,0.9297,1.6026927342797233
38,-28.800000000000004,22,0.9278,2.121090713096189
39,-300.89999999999924,206,0.9259,1.515166206707379
40,-24.1,20,0.924,1.9679622314152514
41,-84.00000000000007,61,0.9221,1.6474631992152853
42,-28.0,30,0.9202,1.4515076806355809
43,-7.4999999999999964,14,0.9183,1.8324040308853073
44,-4.999999999999998,10,0.9164,3.348872123048525
45,-86.00000000000009,64,0.9145,1.79980261638394
46,-27.800000000000004,30,0.9126,1.5815119424076582
47,-49.40000000000003,40,0.9107000000000001,1.669978707635535
48,-142.70000000000002,110,0.9088,1.4979924958044277
49,-2.6999999999999993,10,0.9069,3.091477608016237
50,-74.10000000000008,64,0.905,1.4014514560837852
51,-4.999999999999998,10,0.9031,2.0749001847418675
52,-133.80000000000004,93,0.9012,1.7895659251198552
53,-108.9000000000001,81,0.8993,1.5844593680468753
54,-143.89999999999995,112,0.8974,1.6846962327439605
55,-133.9,95,0.8955,1.595250548083292
56,-58.00000000000004,52,0.8936,1.6792273603586085
57,-4.099999999999998,11,0.8917,1.8498830571571963
58,-15.699999999999992,21,0.8898,2.417932680714741
59,-35.90000000000001,31,0.8879,1.6637357560672072
60,-207.7999999999996,148,0.886,1.7046835330589372
61,-74.30000000000007,60,0.8841,1.6899971951162571
62,10.0,1,0.8822,3.9999733694561233
63,-0.1999999999999993,10,0.8803,1.9204292453502263
64,-20.999999999999993,24,0.8784,1.527986140090287
65,-32.20000000000001,29,0.8765000000000001,1.9172506051047928
66,-203.69999999999962,140,0.8746,1.898918177261923
67,-14.699999999999996,20,0.8727,1.973007163625589
68,-165.19999999999982,120,0.8708,1.6470176468420739
69,-12.099999999999994,18,0.8689,1.4512955098374913
70,-27.5,31,0.867,1.4086370906776529
71,-13.399999999999995,21,0.8651,1.447766906741248
72,8.8,2,0.8632,3.8640737754005348
73,1.9000000000000004,6,0.8613,2.333901816827421
74,10.0,1,0.8594,11.871220571570639
75,8.8,2,0.8575,3.9079513200413847
76,-71.50000000000007,57,0.8556,1.8478995877197602
77,-31.700000000000017,35,0.8537,1.2474809908611655
78,-21.59999999999999,24,0.8518,1.4427224619657804
79,-12.899999999999999,15,0.8499,2.138714428641424
80,-5.699999999999999,13,0.848,1.6668330431550893
81,8.8,2,0.8461,3.5791354656671506
82,-81.00000000000007,63,0.8442000000000001,1.500874214127459
83,-0.7999999999999989,10,0.8423,2.5988947445055186
84,-98.80000000000008,76,0.8404,1.847125611680319
85,-17.89999999999999,19,0.8385,1.881010198076001
86,10.0,1,0.8366,2.7256029108131514
87,-7.199999999999999,16,0.8347,2.3687525689597577
88,4.1,4,0.8328,3.091837071844475
89,-79.20000000000007,66,0.8309,1.7388445789043168
90,-16.399999999999995,20,0.829,1.7649340124155521
91,6.6,4,0.8271,2.7917390895535723
92,-54.300000000000026,47,0.8252,1.5300848967107321
93,0.6999999999999993,7,0.8233,2.3479757482238535
94,-13.199999999999996,17,0.8214,2.6903700189446944
95,-19.199999999999992,22,0.8195,1.70373199165484
96,-16.699999999999996,18,0.8176,2.0766672821560657
97,-3.6999999999999993,11,0.8157,1.7574633926744254
98,-15.499999999999996,17,0.8138,1.9042066021538404
99,8.8,2,0.8119000000000001,3.6238397629785046
100,-26.800000000000004,25,0.81,1.792647865348609
101,-12.899999999999995,19,0.8081,1.7123043857251414
102,-34.500000000000014,29,0.8062,2.4712368268812335
103,-20.799999999999997,20,0.8043,1.7709804863619028
104,-27.1,27,0.8024,2.174973997645355
105,2.0,8,0.8005,2.816434996216282
106,9.0,2,0.7986,4.80010824744998
107,-8.499999999999996,15,0.7967,2.1177537557811372
108,-4.299999999999997,11,0.7948,2.6688991205819805
109,-40.40000000000002,32,0.7929,1.9653281563506226
110,0.8000000000000007,9,0.791,3.006367086966709
111,-32.900000000000006,28,0.7891,1.561006204443905
112,-9.599999999999994,18,0.7872,1.9344969098416824
113,-67.30000000000004,50,0.7853,1.853897684267878
114,-12.899999999999995,19,0.7834,2.8865040807834697
115,5.3999999999999995,5,0.7815,3.1390560773422687
116,-13.799999999999997,18,0.7796,2.0016034990835565
117,-64.30000000000005,55,0.7777000000000001,2.068919114521265
118,-9.299999999999997,16,0.7758,1.6701551558099497
119,-14.999999999999996,19,0.7739,1.8203556176527556
120,0.0,10,0.772,1.4834928864487487
121,2.8,7,0.7701,3.036049412342906
122,-16.699999999999996,22,0.7682,1.989470908566329
123,-62.50000000000006,58,0.7663,2.026073916229064
124,8.0,3,0.7644,4.8781889665920355
125,-33.20000000000002,34,0.7625,1.7606083844068896
126,-5.1999999999999975,14,0.7605999999999999,1.5665106019619217
127,5.2,5,0.7587,2.931182325171764
128,-32.00000000000001,29,0.7568,1.6199667713609074
129,5.3999999999999995,5,0.7549,2.398685821177884
130,-51.80000000000004,47,0.753,1.485773377661701
131,-44.700000000000024,42,0.7511,1.608861785419294
132,-7.799999999999997,12,0.7492,3.549144779144068
133,-7.199999999999999,12,0.7473000000000001,1.991083090192795
134,-8.299999999999997,15,0.7454000000000001,1.6052865393376303
135,-23.19999999999999,25,0.7435,2.7972234712716557
136,-41.300000000000026,39,0.7416,1.4135101338031029
137,-39.40000000000002,36,0.7397,1.9754047022522134
138,-6.9999999999999964,16,0.7378,1.5410013752226979
139,-24.799999999999997,27,0.7359,2.5382263979269304
140,2.8,7,0.734,3.396321830659211
141,3.0999999999999996,5,0.7321,1.8833673343505577
142,7.6,3,0.7302,3.4984486573871294
143,-67.00000000000007,63,0.7283000000000001,1.7013714732550353
144,0.9000000000000004,7,0.7264,2.6762560347005495
145,-31.4,25,0.7245,2.0390885300449435
146,1.8000000000000007,8,0.7226,1.9023837681840863
147,-4.799999999999997,14,0.7207,1.9967254657158733
148,9.0,2,0.7188000000000001,4.250997074530943
149,-10.099999999999994,16,0.7169000000000001,2.326483136986725
150,-37.20000000000002,34,0.7150000000000001,1.9766995415743462
151,-40.30000000000001,35,0.7131000000000001,1.9004852803384762
152,2.3999999999999995,8,0.7112,1.8935423365249084
153,-42.00000000000002,42,0.7093,1.5200881189227933
154,-63.40000000000006,61,0.7074,1.683136939649756
155,-6.199999999999999,11,0.7055,1.6419655602597238
156,-37.40000000000001,34,0.7036,1.9840699652704978
157,-29.20000000000001,31,0.7017,2.0171502655074027
158,10.0,1,0.6998,2.6320262307855495
159,-38.500000000000014,33,0.6979,2.114416285125042
160,-30.80000000000001,29,0.696,2.207007177116417
161,-66.30000000000005,56,0.6940999999999999,1.6991210590381274
162,-9.599999999999998,14,0.6921999999999999,2.091796499621513
163,10.0,1,0.6903,2.4399712487713465
164,-26.19999999999999,24,0.6884,3.553431801863828
165,-23.099999999999994,28,0.6865,2.100036860596919
166,-14.399999999999995,18,0.6846,1.7123003910465744
167,0.9000000000000004,7,0.6827,5.549372192297077
168,-1.5999999999999979,11,0.6808000000000001,1.5378422826317817
169,4.8,6,0.6789000000000001,3.1113091843646945
170,-2.799999999999999,8,0.677,2.9772586853117375
171,6.4,4,0.6751,3.507113264898016
172,-12.599999999999994,21,0.6732,2.0556145366444873
173,8.8,2,0.6713,3.790762896827255
174,-7.199999999999999,16,0.6694,1.5185997091320222
175,0.7000000000000011,7,0.6675,2.3362106366881363
176,-41.000000000000014,41,0.6656,2.7651988667840115
177,-3.9999999999999964,13,0.6637,1.9990975979662278
178,5.3999999999999995,5,0.6618,3.2875411503278267
179,7.6,3,0.6599,3.2684108738761233
180,-0.1999999999999993,10,0.658,2.206078293410367
181,-31.299999999999997,35,0.6561,2.573275828849473
182,-36.600000000000016,38,0.6542,2.2267166512895953
