episode,return,steps,epsilon,mean_td_error
0,-123.2000000000001,91,1.0,1.5613484613609787
1,-204.89999999999966,153,0.99962,1.4644750587224908
2,-218.2999999999995,142,0.99924,1.6639110317489068
3,-576.0999999999992,379,0.99886,1.547326932113421
4,-42.900000000000006,29,0.99848,2.094201314233427
5,-641.600000000001,422,0.9981,1.5512112075641515
6,-147.89999999999992,91,0.99772,1.845452311694259
7,-322.79999999999905,228,0.99734,1.4991263899863028
8,-207.29999999999967,142,0.99696,1.5697702388610661
9,-120.90000000000006,89,0.99658,1.538736043428877
10,-298.2999999999993,200,0.9962,1.5866126381109182
11,-262.09999999999917,176,0.99582,1.5622912123503063
12,-665.7000000000012,435,0.99544,1.5961784304996272
13,-811.3000000000046,522,0.9950600000000001,1.6055364839006843
14,-240.09999999999945,161,0.99468,1.590650947628117
15,-358.5999999999989,237,0.9943,1.5991835049703496
16,-138.8,93,0.99392,1.688203589630318
17,-548.0999999999988,359,0.99354,1.6020032930682837
18,-129.7000000000001,95,0.99316,1.5208403744958165
19,-35.400000000000006,28,0.99278,1.821888195041522
20,-200.99999999999972,126,0.9924,1.7134623610450443
21,-122.80000000000007,82,0.99202,1.6435190503168313
22,-415.79999999999853,283,0.99164,1.5636876884395698
23,-257.4999999999995,165,0.99126,1.6906214040258203
24,-316.49999999999903,207,0.99088,1.634598904530509
25,-1406.3000000000159,916,0.9905,1.5654283255522516
26,-191.6999999999998,137,0.99012,1.542739926715038
27,-901.9000000000061,595,0.98974,1.5887947997167111
28,-115.10000000000012,82,0.98936,1.556615060797923
29,-149.29999999999995,104,0.98898,1.6007048276381632
30,-367.2999999999989,244,0.9886,1.560576508014275
31,-192.39999999999964,140,0.98822,1.596043803859786
32,-113.2000000000001,79,0.98784,1.7758901814736376
33,-220.99999999999963,143,0.98746,1.7030013234537322
34,-857.7000000000058,566,0.98708,1.5572227923308308
35,-29.799999999999997,23,0.9867,2.5330979361859653
36,-16.599999999999994,20,0.98632,1.7830286616740931
37,-940.9000000000066,597,0.98594,1.5930686347895324
38,-180.29999999999987,119,0.98556,1.7955359584002548
39,-4.899999999999999,12,0.9851800000000001,2.0736187021309447
40,-434.0999999999987,279,0.9848,1.689385042428709
41,-967.3000000000079,611,0.98442,1.6692978275412493
42,-1316.3000000000143,860,0.98404,1.5948758395850997
43,-662.7000000000012,412,0.98366,1.6487217428694514
44,-75.00000000000003,47,0.98328,1.9386583815294476
45,-193.9999999999997,135,0.9829,1.5655569647572916
46,-456.6999999999983,304,0.98252,1.5630611700369403
47,-239.8999999999994,157,0.98214,1.6616953547829911
48,7.6,3,0.98176,2.745861606330731
49,-34.90000000000001,30,0.98138,1.6220579566398314
50,-193.5999999999997,141,0.981,1.6120776621894815
51,0.6000000000000014,5,0.98062,2.5754692037218385
52,-9.699999999999996,12,0.98024,2.5151954680196753
53,-87.80000000000007,65,0.97986,1.9979031190870318
54,-7.399999999999995,16,0.97948,1.621754653467843
55,-51.60000000000002,42,0.9791,1.6805705784983243
56,-11.199999999999996,19,0.97872,1.4519775715028878
57,-627.5000000000008,409,0.97834,1.6503990790788674
58,-190.2999999999997,140,0.97796,1.4740612408438023
59,-307.39999999999924,206,0.97758,1.6467367621736317
60,-758.7000000000027,474,0.9772,1.698093899881561
61,-89.10000000000008,72,0.97682,1.6360107976836333
62,-542.7999999999993,347,0.97644,1.5708893838724372
63,-305.7999999999992,206,0.97606,1.662281160457711
64,-198.09999999999982,126,0.97568,1.6966032777668338
65,-336.69999999999897,242,0.9753000000000001,1.5112473508791249
66,-1015.2000000000087,661,0.97492,1.560387962899346
67,-131.20000000000007,95,0.97454,1.674634334367815
68,-187.89999999999992,126,0.97416,1.7026278695152264
69,-23.599999999999994,22,0.97378,2.481093297111697
70,4.0,6,0.9734,2.142015996202349
71,-231.39999999999947,168,0.97302,1.6505907350945475
72,-80.20000000000007,67,0.97264,1.7257481823203933
73,-190.39999999999975,137,0.97226,1.5106277982816825
74,-12.399999999999995,16,0.97188,2.321246698483239
75,-63.90000000000006,50,0.9715,2.0012145200779154
76,-810.3000000000039,512,0.97112,1.6836960533617382
77,-73.10000000000007,51,0.97074,1.862737751731957
78,-56.900000000000034,48,0.97036,1.5708060146556508
79,-465.0999999999984,302,0.96998,1.599003736987841
80,-667.3000000000013,445,0.9696,1.5665140638193544
81,-224.0999999999996,157,0.96922,1.6206136736390724
82,-140.89999999999998,101,0.96884,1.7513009618738564
