episode,return,steps,epsilon,mean_td_error
0,-124.90000000000012,98,1.0,1.4725975629195678
1,-99.6000000000001,71,0.9999366666666667,1.6647124188834521
2,-2924.3999999999614,1862,0.9998733333333333,1.5864778360068328
3,-2202.300000000016,1408,0.99981,1.586239674967856
4,-86.50000000000007,66,0.9997466666666667,1.5837762656520098
5,-716.3000000000022,463,0.9996833333333334,1.5785014933503798
6,-1645.1000000000206,1075,0.99962,1.5635691690275557
7,-357.699999999999,228,0.9995566666666666,1.6297121311617482
8,-692.9000000000012,452,0.9994933333333333,1.5603497426997304
9,-491.8999999999983,334,0.99943,1.5341752404006537
10,-813.4000000000048,528,0.9993666666666666,1.5790543812326272
11,-91.80000000000008,73,0.9993033333333333,1.463992340491968
12,-3078.0999999999444,1960,0.99924,1.6051182034503784
13,-509.79999999999814,330,0.9991766666666667,1.5946777290968521
14,-911.900000000007,606,0.9991133333333333,1.5528173871796882
15,-75.70000000000005,56,0.99905,1.6369399614918545
16,-99.0000000000001,78,0.9989866666666667,1.4355478577872394
17,-28.39999999999999,26,0.9989233333333334,1.756162452027599
18,-3102.1999999999407,1960,0.99886,1.6183258723509275
19,-36.70000000000002,31,0.9987966666666667,1.6345600118176802
20,-1347.2000000000146,881,0.9987333333333334,1.5524914216991568
21,-470.59999999999826,315,0.99867,1.5383804432966588
22,-104.10000000000011,77,0.9986066666666666,1.5734252033561038
23,-1327.8000000000154,865,0.9985433333333333,1.5636331011306697
24,-914.1000000000065,600,0.99848,1.6300164647602968
25,-1382.1000000000147,876,0.9984166666666666,1.6223147338859263
26,-2406.7999999999993,1508,0.9983533333333333,1.643239956667142
27,-87.60000000000008,69,0.99829,1.4776252309451416
28,-32.40000000000002,25,0.9982266666666667,2.17259264473755
29,-1041.3000000000084,683,0.9981633333333333,1.5707593711417638
30,-3036.899999999946,1960,0.9981,1.602302454365807
31,-738.5000000000027,510,0.9980366666666667,1.4847378835344365
32,-336.499999999999,211,0.9979733333333334,1.6604685967318986
33,-3032.199999999952,1960,0.99791,1.546993444162153
34,-3085.3999999999423,1960,0.9978466666666667,1.588058485598255
35,-1431.4000000000171,962,0.9977833333333334,1.5650521362398386
36,7.8,3,0.99772,3.3664215358176026
37,-698.500000000002,446,0.9976566666666666,1.6159871096039908
38,-1220.2000000000119,787,0.9975933333333333,1.5958081360596152
39,-400.6999999999987,264,0.99753,1.596210044211139
40,-1297.300000000015,847,0.9974666666666666,1.5637036640725905
41,-3021.9999999999527,1960,0.9974033333333333,1.5454462600499668
42,-62.900000000000034,50,0.99734,1.613170442332093
43,-304.59999999999945,195,0.9972766666666667,1.639104421981033
44,-205.09999999999965,141,0.9972133333333333,1.594699159929561
45,-34.000000000000014,30,0.99715,2.255975807759915
46,-395.3999999999987,266,0.9970866666666667,1.5640439489371183
47,-1533.6000000000176,994,0.9970233333333334,1.5664542833020005
48,-254.69999999999936,174,0.99696,1.6018423099383254
49,-564.099999999999,386,0.9968966666666667,1.514745339958108
50,-1332.4000000000153,881,0.9968333333333333,1.5263441175368775
51,-592.6999999999999,401,0.99677,1.5285517338379544
52,-935.2000000000077,656,0.9967066666666666,1.4500481756008183
53,-76.70000000000005,57,0.9966433333333333,1.9032368902446213
54,-2001.8000000000268,1288,0.99658,1.5639524295621006
55,-3141.799999999943,1960,0.9965166666666667,1.5982967355988151
56,-200.3999999999998,122,0.9964533333333333,1.7873517492973343
57,-3035.2999999999524,1960,0.99639,1.5581989089473645
58,-1706.1000000000222,1088,0.9963266666666667,1.5998825836209896
59,-3074.799999999951,1960,0.9962633333333333,1.569863816793537
60,-48.50000000000003,33,0.9962,1.8950582830249196
61,-375.09999999999917,240,0.9961366666666667,1.6970374240845332
62,-617.1000000000008,384,0.9960733333333334,1.6210766585819982
63,-2474.9999999999877,1633,0.99601,1.5246057206287627
64,-534.6999999999989,348,0.9959466666666666,1.5552492264110915
65,-592.5000000000002,389,0.9958833333333333,1.5404066298392682
66,-188.99999999999974,119,0.99582,1.6680585007730884
67,-0.1999999999999993,6,0.9957566666666666,2.9959158276859568
68,-791.4000000000038,523,0.9956933333333333,1.548166118508457
69,-1579.7000000000191,1025,0.99563,1.5166681032136204
70,-3063.499999999948,1960,0.9955666666666667,1.5412253869935921
71,-3067.199999999953,1960,0.9955033333333333,1.556420271056875
72,-103.60000000000007,67,0.99544,1.784886101167426
73,-419.7999999999986,274,0.9953766666666667,1.5697732761808476
74,-405.1999999999987,258,0.9953133333333334,1.6556969537412114
75,-880.7000000000061,574,0.99525,1.5876643539951123
76,-699.7000000000015,450,0.9951866666666667,1.6097872540535867
77,2.5,6,0.9951233333333334,2.889207571210651
78,-280.79999999999944,186,0.9950600000000001,1.638447792819909
79,-1029.600000000008,651,0.9949966666666666,1.5725056335161975
80,-3094.699999999945,1960,0.9949333333333333,1.5543486703191833
81,-752.2000000000029,494,0.99487,1.5742905620145213
82,-483.69999999999817,327,0.9948066666666666,1.5686035735529051
83,-3043.79999999995,1960,0.9947433333333333,1.5369654216397874
84,-2393.800000000002,1532,0.99468,1.5205057011406407
85,-1038.2000000000091,686,0.9946166666666667,1.555122186962087
86,-3018.3999999999496,1960,0.9945533333333333,1.5201234304959534
87,-305.7999999999992,201,0.99449,1.6473880426143825
88,-22.499999999999993,23,0.9944266666666667,2.374149864725177
89,-229.29999999999973,157,0.9943633333333334,1.5428747402135559
90,-1885.6000000000247,1191,0.9943,1.5350332852019477
91,-2811.699999999972,1770,0.9942366666666667,1.560811467614778
92,-844.5000000000049,556,0.9941733333333334,1.5348155222331523
93,-3113.7999999999493,1960,0.99411,1.5477767713453894
94,-1783.4000000000226,1138,0.9940466666666666,1.5638528267203573
95,-567.6999999999996,371,0.9939833333333333,1.5443212675865028
96,-1514.200000000018,964,0.99392,1.5375256102873143
97,-1228.9000000000126,789,0.9938566666666667,1.5662376133552376
98,-67.70000000000005,58,0.9937933333333333,1.511805093843503
99,-2613.899999999984,1690,0.99373,1.5513219345135585
100,-182.39999999999972,129,0.9936666666666667,1.6375176508258895
101,-110.20000000000009,76,0.9936033333333333,2.29001089245797
102,-1310.0000000000136,851,0.99354,1.5284948740258464
103,-49.30000000000001,38,0.9934766666666667,1.973136298859682
104,-503.9999999999982,333,0.9934133333333334,1.5210420554692352
