episode,return,steps,epsilon,mean_td_error
0,-76.10000000000008,65,1.0,1.4144164829132668
1,-71.10000000000007,52,0.9981,1.5723952512486021
2,-75.70000000000005,53,0.9962,1.6022773009635307
3,-59.50000000000004,51,0.9943,1.3611746844874382
4,-49.10000000000002,38,0.9924,1.4187048491729535
5,-100.10000000000008,74,0.9905,1.3010099831294115
6,-290.69999999999936,197,0.9886,1.1484602487381381
7,-16.399999999999995,20,0.9867,1.826837003268917
8,-184.19999999999982,146,0.9848,1.1584324969981366
9,8.8,2,0.9829,4.452080560589749
10,-210.2999999999997,149,0.981,1.1562845088692897
11,-101.60000000000008,73,0.9791,1.3020155776774753
12,-379.0999999999988,262,0.9772,1.05300778004062
13,-200.0999999999997,148,0.9753000000000001,1.0615977897202322
14,-1.7999999999999972,11,0.9734,1.1781190187747725
15,-92.90000000000009,76,0.9715,1.0905074245706858
16,-81.50000000000007,66,0.9696,1.0464724057413477
17,-12.299999999999997,14,0.9677,1.5852727433095741
18,-79.20000000000007,71,0.9658,0.9075330978228849
19,7.6,3,0.9639,2.504641117436702
20,-38.000000000000014,34,0.962,1.1079756907098413
21,2.0,8,0.9601,1.6062608380674934
22,-25.1,17,0.9582,1.0106194064729839
23,-41.100000000000016,35,0.9563,1.181421386112191
24,-125.10000000000008,93,0.9544,0.9809182736339589
25,-30.70000000000001,30,0.9525,1.0092242628099102
26,-18.799999999999994,22,0.9506,0.8862472649709379
27,-81.30000000000008,61,0.9487,1.0115602200534446
28,-198.99999999999974,136,0.9468,1.030607371300808
29,-160.49999999999986,122,0.9449,0.8042768573667911
30,-41.70000000000002,31,0.9430000000000001,0.870985526129001
31,-29.400000000000006,27,0.9411,1.5247622775609007
32,5.2,5,0.9392,2.21145072189388
33,-0.3000000000000007,8,0.9373,1.3999147344452687
34,-16.699999999999996,18,0.9354,1.1322641257155095
35,-195.09999999999982,124,0.9335,0.9510755670932154
36,-139.69999999999996,96,0.9316,0.863075438561276
37,-3.5999999999999996,13,0.9297,1.4967250274759845
38,6.6,4,0.9278,2.183239940483178
39,-15.599999999999994,19,0.9259,1.039297927717063
40,-13.099999999999994,19,0.924,1.205983485945469
41,9.0,2,0.9221,2.9656780901753215
42,-40.70000000000001,31,0.9202,1.2343084810746265
43,-19.299999999999994,20,0.9183,1.3575952744236994
44,-49.30000000000003,43,0.9164,1.1665309787297862
45,-37.90000000000002,28,0.9145,1.1001635453945837
46,-105.40000000000016,88,0.9126,0.91627939926931
47,4.3999999999999995,6,0.9107000000000001,1.3273862350717553
48,-341.59999999999906,232,0.9088,0.9895027087881922
49,-45.00000000000003,41,0.9069,1.2600079434220892
50,-8.899999999999995,15,0.905,1.9016587681636723
51,-17.499999999999993,23,0.9031,1.2879519261825152
52,-93.00000000000009,78,0.9012,1.1545893424538354
53,-377.99999999999864,266,0.8993,1.0799728225431162
54,-10.799999999999994,19,0.8974,1.6479611139960075
55,-140.59999999999997,103,0.8955,1.1883132925798123
56,-138.30000000000004,111,0.8936,1.0908561146809637
57,7.6,3,0.8917,2.1093849197409864
58,-39.700000000000024,34,0.8898,1.0774692839208162
59,-1.8999999999999986,9,0.8879,2.002942716594722
60,3.0,7,0.886,1.687993155735762
61,-81.10000000000011,69,0.8841,0.9555018199060404
62,-4.899999999999999,12,0.8822,1.8648054417043822
63,2.1999999999999993,8,0.8803,1.4222324537931839
64,-70.10000000000007,61,0.8784,1.3325799647397654
65,4.0,6,0.8765000000000001,1.8113822874040153
66,-36.30000000000001,31,0.8746,1.2005381826539168
67,-7.699999999999996,14,0.8727,1.972236801762816
68,-96.9000000000001,79,0.8708,1.1138230303014096
69,-81.80000000000007,64,0.8689,1.0260091849877206
70,-2.700000000000001,6,0.867,2.0692955677566687
71,-6.299999999999997,9,0.8651,1.48085026676301
72,-62.70000000000003,50,0.8632,1.0344391377426896
73,4.3999999999999995,6,0.8613,1.2058699635474959
74,-0.6999999999999993,8,0.8594,1.6190818518770875
75,-46.00000000000003,33,0.8575,1.2063186922394407
76,-0.40000000000000036,6,0.8556,2.3062823565863417
77,-67.70000000000006,54,0.8537,0.9237596543692267
78,-71.20000000000007,59,0.8518,1.3042652561416372
79,-49.90000000000004,47,0.8499,1.0776883339628465
80,-28.70000000000001,28,0.848,1.1861485787733888
81,-17.09999999999999,22,0.8461,1.409705577482861
82,1.8000000000000007,8,0.8442000000000001,1.1620245639595734
83,-4.099999999999998,11,0.8423,1.4752949171387462
84,-36.30000000000001,35,0.8404,1.3577842335208457
85,-26.999999999999993,29,0.8385,1.006600019215576
86,-17.299999999999994,23,0.8366,0.8589401147004073
87,-7.699999999999999,10,0.8347,1.4881039132148763
88,-17.09999999999999,22,0.8328,1.1149195022948797
89,-53.200000000000024,48,0.8309,1.1971191926670384
90,-17.699999999999992,23,0.829,1.3012187930477044
91,-90.90000000000003,54,0.8271,1.1742107510671373
92,-26.599999999999994,24,0.8252,0.9688956501687537
93,-35.40000000000002,36,0.8233,1.2476656900540297
94,4.3999999999999995,6,0.8214,1.8172015197630016
95,-10.7,13,0.8195,1.2046173812859726
96,5.5,3,0.8176,2.8587395888792426
97,-6.9999999999999964,16,0.8157,2.0432765203454024
98,8.8,2,0.8138,5.15685391083218
99,6.6,4,0.8119000000000001,1.906553594123694
100,6.6,4,0.81,2.5717731032206457
101,-0.1999999999999993,10,0.8081,1.6056813415224056
102,-1.4000000000000004,7,0.8062,1.1259245855195315
103,-69.90000000000002,47,0.8043,0.9472866908810815
104,-64.30000000000003,51,0.8024,1.2876675705734906
105,-30.20000000000001,28,0.8005,1.0851622482922685
106,-9.499999999999996,12,0.7986,1.0158683627228606
107,-0.3000000000000007,8,0.7967,1.2132014412085392
108,-0.1999999999999993,10,0.7948,2.483954949908879
109,-42.400000000000034,38,0.7929,0.9678561411204963
110,-126.60000000000005,103,0.791,1.2414888346636352
111,0.6000000000000014,9,0.7891,1.5510708038709689
112,-46.60000000000003,42,0.7872,1.296355935953924
113,-14.199999999999996,18,0.7853,1.049065402909899
114,-15.799999999999997,19,0.7834,1.34955284358277
115,-26.400000000000006,24,0.7815,1.1208039085612957
116,-12.499999999999996,18,0.7796,1.2478317650050224
117,-16.499999999999993,18,0.7777000000000001,1.1699002888092465
118,-10.299999999999997,17,0.7758,1.8257162302208576
119,-14.399999999999995,18,0.7739,0.6865532215476661
120,7.6,3,0.772,1.306543556943912
121,-30.800000000000004,32,0.7701,1.4040149789001333
122,-19.09999999999999,24,0.7682,1.7465012698444926
123,-0.5,8,0.7663,2.1028538744378045
124,-0.09999999999999964,8,0.7644,1.467500816327831
125,-16.699999999999992,22,0.7625,1.4848024313157517
126,6.4,4,0.7605999999999999,1.7912804889014318
127,-40.600000000000016,37,0.7587,1.2397204239039574
128,-15.299999999999994,21,0.7568,1.51304583074484
129,-14.59999999999999,22,0.7549,1.1863426168183404
130,7.6,3,0.753,1.3581338557085747
131,-7.199999999999999,12,0.7511,1.4729218807093039
132,-11.999999999999996,12,0.7492,0.8528196296200635
133,-94.80000000000007,67,0.7473000000000001,1.14008368446666
134,-26.999999999999993,21,0.7454000000000001,1.1694300422971453
135,-89.10000000000008,68,0.7435,1.2467825057139001
136,-2.599999999999998,12,0.7416,1.2750123593948366
137,10.0,1,0.7397,1.9104764082161712
138,3.0,7,0.7378,1.3389983998617434
139,1.799999999999999,8,0.7359,1.6264559860128949
140,-46.40000000000003,42,0.734,1.3135970765058158
141,-14.199999999999992,22,0.7321,1.311841024603359
142,-30.300000000000004,26,0.7302,1.5621771828660609
143,-10.799999999999997,15,0.7283000000000001,0.9502790387511113
144,1.0999999999999996,7,0.7264,1.1470263408129189
145,-40.30000000000002,39,0.7245,1.3543824466516685
146,6.4,4,0.7226,1.6167754553922855
147,-28.10000000000001,28,0.7207,1.0934840425027428
148,-9.799999999999994,18,0.7188000000000001,0.9281347951197153
149,-19.099999999999994,20,0.7169000000000001,1.2675483572420956
150,10.0,1,0.7150000000000001,1.9412304963051348
151,-3.599999999999998,13,0.7131000000000001,1.353251673676984
152,-9.599999999999998,14,0.7112,1.3741351411387714
153,-29.5,29,0.7093,1.0966986878001372
154,4.1,4,0.7074,1.4537328822168156
155,-7.199999999999999,12,0.7055,0.9684796375785658
156,4.2,6,0.7036,1.4756361788953178
157,-9.799999999999997,14,0.7017,0.9975016350398035
158,-46.30000000000003,35,0.6998,1.4034544278163914
159,10.0,1,0.6979,1.845415844527178
160,-17.399999999999995,21,0.696,1.0526912085840083
161,9.0,2,0.6940999999999999,1.8360981775260887
162,-8.599999999999994,17,0.6921999999999999,1.3543064858143983
163,-11.7,14,0.6903,1.430033918788473
164,-57.10000000000002,49,0.6884,1.1078546743935824
165,-42.300000000000026,36,0.6865,1.0183166121356904
166,-60.40000000000006,53,0.6846,1.3447495254174968
167,-16.4,16,0.6827,1.518525845899054
168,10.0,1,0.6808000000000001,1.4512050916300954
169,3.0,7,0.6789000000000001,1.120409275085135
170,-12.899999999999999,15,0.677,1.1316543936581624
171,-44.20000000000003,44,0.6751,1.2503219050301986
172,7.8,3,0.6732,1.614195811134735
173,-2.1999999999999993,12,0.6713,1.716386674377187
174,5.6,5,0.6694,2.453268268304203
175,-0.40000000000000036,6,0.6675,2.3433315101321663
176,-49.00000000000004,48,0.6656,0.9826090041312582
177,-70.80000000000007,59,0.6637,1.143471031734997
178,4.199999999999999,6,0.6618,1.1505615367629867
179,-28.200000000000003,26,0.6599,0.8474926047893176
180,-17.89999999999999,23,0.658,0.7345806208303138
181,-22.499999999999993,27,0.6561,1.2588563628396443
182,1.0,9,0.6542,1.188899196918149
183,6.6,4,0.6523000000000001,1.2906466584869734
184,9.0,2,0.6504000000000001,1.9006720486974533
185,-10.499999999999996,17,0.6485000000000001,0.9938124068711561
186,1.5999999999999996,8,0.6466000000000001,1.1373617173339725
187,2.0,8,0.6447,2.4804266661109025
188,-22.599999999999994,21,0.6428,1.389239171605175
189,-22.099999999999994,28,0.6409,1.3001570935300164
190,-17.699999999999996,15,0.639,0.9524593494855438
191,-13.099999999999994,19,0.6371,1.0947739042433093
192,-13.899999999999995,20,0.6352,0.9438578754211029
193,10.0,1,0.6333,1.4184365466407574
194,-12.199999999999996,16,0.6314,1.1237146324700558
195,-38.700000000000024,41,0.6295,1.2111162021519988
196,-20.299999999999994,21,0.6275999999999999,1.3072344155429594
197,-20.799999999999997,20,0.6256999999999999,1.1770282500053733
198,8.8,2,0.6238,0.9142683138912058
199,5.6,5,0.6219,1.2446937109169063
200,-4.099999999999998,11,0.62,1.1695346564716969
201,4.1,4,0.6181,0.7921904152814118
202,-3.799999999999999,13,0.6162,1.5318246588848958
203,4.3999999999999995,6,0.6143000000000001,1.2607033167276034
204,-8.799999999999997,13,0.6124,1.4651696431793293
205,4.4,6,0.6105,1.4663909699156958
206,0.7999999999999989,5,0.6086,1.3174663481299478
207,-11.199999999999996,15,0.6067,1.200329014508823
208,-8.399999999999999,13,0.6048,1.2809165793607513
209,-13.999999999999996,18,0.6029,1.4332915444955756
210,-40.900000000000034,39,0.601,1.2020058000053842
211,-4.899999999999999,12,0.5991,1.3158486643828364
212,0.7000000000000011,7,0.5972,1.0088816263224532
213,2.0,8,0.5953,1.4103240309166
214,10.0,1,0.5934,1.4453584066678165
215,6.6,4,0.5915,1.040504499236192
216,-19.699999999999992,21,0.5896,1.3456236847208918
217,-12.0,16,0.5877,1.1560451786149142
218,-58.60000000000002,49,0.5858000000000001,1.353516621195626
219,-3.8999999999999986,11,0.5839000000000001,0.9164401701967614
220,-0.1999999999999993,10,0.5820000000000001,1.9886722723894554
221,-2.8999999999999986,10,0.5801000000000001,1.2227401520697958
222,3.3999999999999995,7,0.5782,1.5449762699499576
223,-21.19999999999999,28,0.5763,1.2548817281114037
224,-2.8999999999999986,6,0.5744,0.6322269672047938
225,0.8000000000000007,9,0.5725,1.127456501093783
226,-2.6999999999999993,10,0.5706,0.9210344577613683
227,3.0,7,0.5687,1.2556145806206338
228,-5.0,10,0.5668,1.2444117411941962
229,-13.899999999999995,20,0.5649,1.309539486855504
230,-16.599999999999998,16,0.563,1.5869920934341866
231,5.2,5,0.5610999999999999,1.270422595437909
232,4.3,4,0.5591999999999999,1.539318092422941
233,-6.099999999999998,13,0.5573,1.2818598834022648
234,-10.699999999999996,13,0.5554,1.5063264490952482
235,2.1999999999999993,8,0.5535000000000001,0.977854725999236
236,-0.1999999999999993,10,0.5516000000000001,1.5382797580158836
237,5.6,5,0.5497000000000001,1.2834696134961716
238,2.8,7,0.5478000000000001,0.7289628618339129
239,9.0,2,0.5459,1.8211496472280437
240,2.1999999999999993,8,0.544,0.9811236223694945
241,-5.199999999999999,10,0.5421,1.2850391348892032
242,-12.399999999999999,17,0.5402,1.3556939770590957
243,10.0,1,0.5383,1.33006695241313
244,-4.099999999999996,11,0.5364,0.6957211308721201
245,-13.099999999999994,19,0.5345,1.2169959580586127
246,-18.199999999999992,21,0.5326,1.197786533056434
247,5.3999999999999995,5,0.5307,1.0298882620927112
248,0.1999999999999993,10,0.5288,1.3125461604053617
249,3.0,7,0.5269,1.0209405245439906
250,6.6,4,0.525,1.0397600008354657
251,7.8,3,0.5231,1.597698482176149
252,-2.799999999999997,8,0.5212,0.7560756960578924
253,10.0,1,0.5193000000000001,6.664094475176066
254,6.4,4,0.5174000000000001,0.6364017362916079
255,2.0999999999999996,6,0.5155000000000001,1.8987509868259709
256,-2.700000000000001,10,0.5136000000000001,1.1671034318605886
257,-12.999999999999996,17,0.5117,1.088543894373521
258,10.0,1,0.5098,1.3379505852540508
259,-2.3999999999999986,12,0.5079,1.0072056943186727
260,6.4,4,0.506,0.85455204300666
261,1.9000000000000004,6,0.5041,1.7648941771989781
262,4.4,6,0.5022,1.3488527771861698
263,6.6,4,0.5003,2.038018262807884
264,-0.4999999999999982,8,0.49839999999999995,0.8475726317102419
265,-21.29999999999999,26,0.49650000000000005,1.2151697823210166
266,2.1999999999999993,8,0.49460000000000004,0.9515951041289681
267,6.8,4,0.4927,1.077458774628935
268,-0.5999999999999996,10,0.4908,1.5802964607659262
269,-16.999999999999993,21,0.4889,1.696155999210026
270,7.8,3,0.487,1.4401110889495665
271,-7.5,14,0.4851,1.308806698220396
272,2.1999999999999993,8,0.48319999999999996,0.9880018046822434
273,8.0,3,0.48129999999999995,1.9611142541628706
274,7.6,3,0.47939999999999994,0.9306598687100687
275,-8.899999999999999,16,0.47750000000000004,1.652997410649657
276,4.1,4,0.4756,1.5007152627595077
277,10.0,1,0.4737,1.2948238883155305
278,-6.9999999999999964,16,0.4718,1.3297674830276665
279,-2.899999999999997,10,0.4699,1.0535213129106071
280,7.8,3,0.46799999999999997,0.6900233550545248
281,-17.4,17,0.46609999999999996,1.2260234957592773
282,-1.3000000000000007,9,0.46420000000000006,1.3685354959989509
283,-1.5,9,0.46230000000000004,0.8844312507872472
284,-12.799999999999997,17,0.46040000000000003,1.4990003867689392
285,-5.399999999999997,14,0.4585,1.259371912104131
286,-1.4999999999999982,9,0.4566000000000001,1.0407913526797208
287,1.9000000000000004,6,0.4547000000000001,0.9141907413079705
288,3.0,7,0.4528000000000001,1.1596028151592939
289,-10.699999999999996,17,0.4509000000000001,1.0789602209390352
290,-6.799999999999997,16,0.44900000000000007,1.707052852189017
291,-0.1999999999999993,10,0.44710000000000005,1.2664283600605466
292,8.8,2,0.44520000000000004,0.9011215483453658
293,6.8,4,0.4433,1.511914091700531
294,8.8,2,0.4414,0.9607868168817904
295,6.6,4,0.4395,0.8507292416263872
296,1.8000000000000007,8,0.4376000000000001,1.1045933676204065
297,0.8000000000000007,9,0.4357000000000001,1.0723167937546216
298,5.8,5,0.4338000000000001,1.2738154640821766
299,8.8,2,0.43190000000000006,0.8875220244315152
300,8.8,2,0.43000000000000005,0.8728502447428399
301,2.0999999999999996,6,0.42810000000000004,1.5025386559551732
302,-5.9999999999999964,15,0.4262,1.292484478366378
303,6.6,4,0.4243,1.6190503207665898
304,3.3999999999999995,7,0.4224,1.3977340649190972
305,3.3999999999999995,7,0.4205,1.2109312244729291
306,9.0,2,0.4186000000000001,1.5727029795152223
307,1.0,9,0.41670000000000007,1.5251073595575884
308,-0.5999999999999996,10,0.41480000000000006,1.353261925652355
309,8.0,3,0.41290000000000004,1.7148899962568909
310,5.6,5,0.41100000000000003,1.124325933317174
311,1.0,9,0.4091,1.3587325577065275
312,4.3999999999999995,6,0.4072,0.9766164976638582
313,-1.3000000000000007,9,0.4053,1.412513529711676
314,9.0,2,0.4034,1.4361764394264793
315,-5.799999999999997,15,0.4015000000000001,1.4847717378372394
316,0.6999999999999993,7,0.39960000000000007,1.7809721576038011
317,-12.799999999999994,21,0.39770000000000005,1.2958444460772103
318,5.3999999999999995,5,0.39580000000000004,1.084981263327051
319,4.1,4,0.39390000000000003,1.3344836545753507
320,1.9000000000000004,6,0.392,2.093051550182897
321,7.8,3,0.3901,1.411339163168537
322,7.6,3,0.3882,0.9449497913354682
323,1.0,9,0.3863,1.3262943978213488
324,1.9000000000000004,6,0.38439999999999996,1.4846459059541814
325,6.6,4,0.38250000000000006,0.7944903363056587
326,-2.1999999999999993,12,0.38060000000000005,1.1977369008710346
327,6.6,4,0.37870000000000004,0.9861955236794364
328,-8.099999999999998,15,0.3768,1.566123831277892
329,1.4000000000000004,9,0.3749,2.0017624203138293
330,7.8,3,0.373,1.2371506391953404
331,0.0,10,0.3711,1.4917350914325418
332,7.6,3,0.3692,0.895273608856035
333,-9.3,12,0.36729999999999996,1.4483361966643191
334,3.1999999999999993,7,0.36539999999999995,1.5393476260320988
335,10.0,1,0.36350000000000005,1.0879547005714496
336,5.3,3,0.36160000000000003,1.6794846201077644
337,3.0999999999999996,5,0.3597,1.3948722277971122
338,3.3,5,0.3578,1.3397755159431302
339,2.0,8,0.3559,1.2482554407792081
340,6.6,4,0.354,1.2794269276885823
341,8.8,2,0.35209999999999997,0.7972817741663087
342,2.1999999999999993,8,0.35019999999999996,1.110749876958082
343,4.3999999999999995,6,0.34829999999999994,1.0351623710906321
344,-5.1999999999999975,10,0.34640000000000004,0.9679300448521534
345,6.4,4,0.34450000000000003,0.7202695332352793
346,7.8,3,0.3426000000000001,0.6215280140492739
347,-0.4999999999999982,8,0.3407000000000001,1.2132315361304913
348,2.3,6,0.3388000000000001,1.171308450829865
349,6.6,4,0.3369000000000001,1.1817150057964232
350,10.0,1,0.3350000000000001,0.9816865157270236
351,4.2,6,0.33310000000000006,1.2729387149818747
352,-19.099999999999994,20,0.33120000000000005,1.4005532931187143
353,-8.299999999999997,15,0.32930000000000004,1.5518890057834573
354,9.0,2,0.3274,1.4906965120106275
355,3.0,7,0.3255,1.218195556954192
356,10.0,1,0.3236000000000001,0.9988116053745006
357,-2.599999999999998,12,0.3217000000000001,1.346929429089439
358,7.8,3,0.3198000000000001,1.1589491158028107
359,7.6,3,0.31790000000000007,0.8759546209827734
360,5.6,5,0.31600000000000006,0.9571268013426378
361,0.7999999999999989,9,0.31410000000000005,0.959120936864899
362,2.9000000000000004,5,0.31220000000000003,1.7647824043937408
363,6.8,4,0.3103,1.3658884768664066
364,-0.1999999999999993,6,0.3084,2.1157176368925437
365,6.4,4,0.3065,1.191380033132379
366,0.8000000000000007,9,0.3046000000000001,1.3195478907766764
367,3.1999999999999993,7,0.3027000000000001,1.3997961440698494
