episode,return,steps,epsilon,mean_td_error
0,-295.69999999999925,201,1.0,1.416585381353175
1,-8.299999999999997,15,0.99962,1.8637908496732023
2,-156.59999999999994,112,0.99924,1.417935100169203
3,-632.4000000000012,424,0.99886,1.3285587657327809
4,-404.2999999999986,283,0.99848,1.2432249429345676
5,-906.4000000000074,618,0.9981,1.1948688585508145
6,-1550.70000000002,1000,0.99772,1.1672870228435084
7,-260.3999999999993,181,0.99734,1.2332131789057055
8,-1.8999999999999986,9,0.99696,1.930162921870291
9,-9.399999999999999,14,0.99658,1.5586225850336508
10,-322.5999999999989,226,0.9962,1.1016709402053337
11,-611.0000000000007,397,0.99582,1.1525331028817452
12,-664.5000000000014,436,0.99544,1.1274266526738
13,-166.99999999999994,109,0.9950600000000001,1.2680797619675448
14,-120.3000000000001,87,0.99468,1.0707084889336231
15,-32.900000000000006,24,0.9943,1.5560633568223274
16,-1373.9000000000135,854,0.99392,1.1280075009415036
17,-836.8000000000046,556,0.99354,1.119791740745164
18,0.5,7,0.99316,1.789212560893961
19,-626.5000000000006,409,0.99278,1.1001864522691802
20,-40.70000000000002,35,0.9924,1.3743166162285185
21,-795.3000000000035,490,0.99202,1.0242548183015545
22,-11.099999999999994,17,0.99164,1.603326058586828
23,-73.70000000000005,51,0.99126,1.33367187493548
24,1.8000000000000007,8,0.99088,1.3288886046649053
25,-803.7000000000043,518,0.9905,0.9965862637011743
26,-50.3,35,0.99012,1.395938854126244
27,-1.8999999999999986,9,0.98974,1.924345340740313
28,-245.19999999999945,165,0.98936,1.0306570119980925
29,-239.49999999999963,170,0.98898,0.9879543684427577
30,-509.59999999999843,325,0.9886,1.0580955891722477
31,-731.7000000000023,496,0.98822,0.949780434275592
32,-89.60000000000007,71,0.98784,1.0489397836802654
33,-199.1999999999997,146,0.98746,0.9515499785640475
34,-95.90000000000009,74,0.98708,0.9270562782133043
35,-203.79999999999978,142,0.9867,1.0649227162312909
36,-742.7000000000037,490,0.98632,0.9487520278244818
37,-567.4999999999998,379,0.98594,1.0255362386978255
38,-106.40000000000013,89,0.98556,1.043841943684897
39,-323.39999999999907,221,0.9851800000000001,1.0689925787781567
40,-536.3999999999988,357,0.9848,0.9777860454291759
41,-226.59999999999957,164,0.98442,0.9990684521840237
42,1.5999999999999996,8,0.98404,2.935285956461067
43,10.0,1,0.98366,3.4611975893637865
44,-62.60000000000005,43,0.98328,1.2662764853203037
45,-341.8999999999989,244,0.9829,1.026221620233281
46,0.5999999999999996,5,0.98252,2.8386862371389237
47,-148.79999999999993,102,0.98214,1.1375464233363985
48,-807.7000000000043,554,0.98176,0.9612316270456512
49,-154.29999999999987,105,0.98138,1.1939636626161072
50,-92.60000000000007,70,0.981,1.3204429897534442
51,-111.5000000000001,75,0.98062,1.0040634479659907
52,-114.0000000000001,80,0.98024,1.10115254381722
53,-27.39999999999999,29,0.97986,0.7269152657928943
54,-1266.200000000015,824,0.97948,0.9209109662154269
55,-178.7999999999998,131,0.9791,0.9040943771579462
56,-57.70000000000006,53,0.97872,0.8322413492876569
57,-261.99999999999926,177,0.97834,0.7865154107126632
58,-246.19999999999953,169,0.97796,0.9203043790553719
59,-207.49999999999972,129,0.97758,0.8645602062302816
60,-645.4000000000013,408,0.9772,0.7719375800744802
61,-903.4000000000058,587,0.97682,0.8856224863004379
62,4.199999999999999,6,0.97644,2.498220729598228
63,-396.5999999999987,274,0.97606,0.9888621855605885
64,-79.30000000000007,60,0.97568,0.9393931104571105
65,0.6000000000000014,5,0.9753000000000001,3.0664142209010263
66,-524.7999999999987,356,0.97492,0.9746045377948117
67,-541.099999999999,348,0.97454,0.90733937785455
68,-237.09999999999965,150,0.97416,0.6466872320493587
69,-5.300000000000001,8,0.97378,1.0123210363423478
70,5.6,5,0.9734,1.6088554130682298
71,-634.2000000000005,434,0.97302,0.8824879010774616
72,-9.899999999999995,12,0.97264,1.2452254214147647
73,-85.90000000000006,62,0.97226,1.0623354477028888
74,-169.09999999999985,113,0.97188,1.1153752753689015
75,-115.60000000000012,85,0.9715,1.0255283283955359
76,-337.99999999999886,235,0.97112,1.0471568952399026
77,-78.00000000000006,49,0.97074,1.1702401518786856
78,-148.4999999999999,99,0.97036,0.8107579935729655
79,8.0,3,0.96998,2.4023223921711665
80,-99.90000000000009,66,0.9696,1.1449888967338677
81,-341.69999999999874,248,0.96922,0.963812396145254
82,-343.5999999999991,226,0.96884,0.874541203814578
83,-8.199999999999996,13,0.96846,0.9030515932463479
84,-291.9999999999994,192,0.96808,1.0572383268384298
85,-396.2999999999987,277,0.9677,0.9188120060749791
86,-126.20000000000007,91,0.96732,1.167458304690206
87,-54.00000000000003,40,0.96694,1.274711987520674
88,-148.59999999999994,110,0.96656,1.1018355278419685
89,-702.9000000000026,472,0.96618,1.0135161222087976
90,-571.6999999999995,388,0.9658,1.0040712688861109
91,-19.299999999999994,20,0.96542,0.8927208007407295
92,-42.90000000000002,32,0.96504,1.2553253524928776
93,-94.50000000000007,73,0.96466,0.9844372746966681
94,-715.7000000000025,481,0.96428,0.871176950929342
95,-132.70000000000005,106,0.9639,1.033909209105496
96,-144.4,102,0.96352,1.1138704132996786
97,-219.79999999999944,162,0.96314,0.9526509424205031
98,-332.29999999999916,199,0.9627600000000001,0.9591377885041855
99,-14.599999999999998,14,0.96238,0.9432298610521762
100,-163.2999999999999,104,0.962,0.7862395759253542
101,3.3,5,0.96162,2.1426843580727217
102,-271.89999999999924,192,0.96124,0.6380266751656759
103,-278.89999999999935,204,0.96086,1.021635159515343
104,-257.1999999999994,187,0.96048,0.756438385073366
105,-860.2000000000055,556,0.9601,0.8902831484563459
106,-41.20000000000002,33,0.95972,1.2524179102345496
107,-133.60000000000008,97,0.95934,1.0063885259282477
108,-777.1000000000039,499,0.95896,0.8781450790599812
109,-51.30000000000003,44,0.95858,1.228680296680629
110,-8.499999999999996,15,0.9582,1.313686220066927
111,-12.399999999999999,12,0.95782,1.2292099470833022
112,-85.00000000000007,63,0.95744,1.1573680937351876
