episode,return,steps,epsilon,mean_td_error
0,-90.00000000000009,67,1.0,1.6206165073232144
1,-26.0,33,0.9981,1.3935740686692206
2,-104.40000000000012,84,0.9962,1.4703123837699377
3,-386.9999999999987,245,0.9943,1.6358313964938387
4,-135.6,90,0.9924,1.6764692944770843
5,-65.70000000000006,52,0.9905,1.642821327997969
6,-216.3999999999996,155,0.9886,1.569774126282619
7,-84.50000000000007,65,0.9867,1.5323564954549014
8,-74.10000000000005,59,0.9848,1.5515096550798246
9,-67.60000000000005,52,0.9829,1.735997788585831
10,-13.899999999999995,20,0.981,1.6822224496665288
11,-25.9,26,0.9791,1.7203044404943952
12,-146.7,102,0.9772,1.7616129278689738
13,-305.5999999999991,225,0.9753000000000001,1.4773851445489148
14,-31.10000000000001,35,0.9734,1.419318592647688
15,-82.60000000000007,65,0.9715,1.6633891069135325
16,-7.199999999999996,16,0.9696,1.6379494204265683
17,-53.00000000000006,43,0.9677,1.7539062087186346
18,-40.80000000000002,33,0.9658,1.748108957274937
19,-23.4,22,0.9639,1.8122231551834576
20,-245.39999999999952,169,0.962,1.635409231411658
21,1.6999999999999993,6,0.9601,2.677217086149517
22,-14.599999999999998,14,0.9582,2.06839528434561
23,-60.50000000000006,52,0.9563,1.5239515697178565
24,-41.400000000000006,37,0.9544,1.6568524947101624
25,5.4,5,0.9525,2.196582796000719
26,-25.89999999999999,26,0.9506,1.7143671414617998
27,-9.299999999999997,16,0.9487,1.9207207766647656
28,-152.69999999999987,107,0.9468,1.5951175551767507
29,6.6,4,0.9449,4.897657186966314
30,-96.70000000000006,67,0.9430000000000001,1.8134897068431228
31,-49.000000000000036,44,0.9411,1.5712870962014038
32,-9.499999999999996,16,0.9392,1.571653268851578
33,-31.5,35,0.9373,1.4411964865518656
34,-16.399999999999995,20,0.9354,1.696337081333342
35,-4.999999999999998,10,0.9335,2.4853989792765994
36,-103.80000000000011,79,0.9316,1.5433598937349882
37,-96.60000000000008,69,0.9297,1.6888150242767264
38,-187.29999999999964,145,0.9278,1.4852564721653851
39,-178.9999999999998,133,0.9259,1.5223847217192066
40,-7.300000000000001,14,0.924,1.491009956948637
41,-7.799999999999994,16,0.9221,1.8603018585362712
42,-7.199999999999996,16,0.9202,2.392891085200131
43,-26.10000000000001,22,0.9183,2.272243552367343
44,-62.80000000000004,49,0.9164,1.6906915290903748
45,-255.09999999999934,188,0.9145,1.5902365205869176
46,-177.7999999999998,131,0.9126,1.6497315263765233
47,-114.20000000000009,84,0.9107000000000001,1.736961602759229
48,-96.60000000000008,72,0.9088,1.5628658784041323
49,-16.099999999999994,22,0.9069,1.770989190954981
50,-80.10000000000007,57,0.905,2.1811686084877095
51,-3.6999999999999993,11,0.9031,2.2318272873333487
52,3.0,7,0.9012,2.066095516708544
53,-0.3999999999999986,10,0.8993,2.0805852194303087
54,5.5,3,0.8974,4.582291606712205
55,0.6000000000000014,9,0.8955,2.0397666693696523
56,0.6000000000000014,9,0.8936,1.8777695343405314
57,-105.5000000000001,79,0.8917,1.572924027366191
58,-102.00000000000009,77,0.8898,1.5545518669092855
59,-37.300000000000004,40,0.8879,1.3842206120427953
60,-23.199999999999996,22,0.886,1.9061235031904216
61,-41.200000000000024,41,0.8841,1.4577097736923572
62,-24.299999999999997,25,0.8822,1.7557247068432154
63,5.3,3,0.8803,6.800818624711721
64,-22.299999999999997,15,0.8784,2.4176993437678993
65,-43.900000000000034,41,0.8765000000000001,1.7591302393821493
66,-23.999999999999993,30,0.8746,1.3755367647171186
67,-36.60000000000001,34,0.8727,1.7114487481843166
68,-41.10000000000001,39,0.8708,1.5046016086213443
69,-1.3999999999999986,11,0.8689,1.5350016287415202
70,-7.299999999999997,14,0.867,1.7315581166812624
71,-68.90000000000006,52,0.8651,2.3772476357916186
72,-10.899999999999995,17,0.8632,1.6494683794272869
73,4.2,6,0.8613,2.5734704601590424
74,-116.10000000000014,97,0.8594,1.6827667846407042
75,-94.90000000000008,73,0.8575,1.7544581957769816
76,10.0,1,0.8556,3.3290579601983596
77,-15.599999999999998,15,0.8537,2.297591120269783
78,-200.3999999999997,151,0.8518,1.8578847367899025
79,-72.50000000000006,58,0.8499,1.9404077748706121
80,-7.799999999999997,17,0.848,1.796932421942559
81,-8.099999999999998,15,0.8461,2.728391713876113
82,-20.89999999999999,26,0.8442000000000001,1.8357202930986674
83,-12.299999999999997,14,0.8423,2.182998249480875
84,-16.799999999999994,25,0.8404,1.4275179131350637
85,-17.799999999999994,21,0.8385,1.972861707375473
86,-2.6999999999999993,6,0.8366,3.4147714980887276
87,-8.499999999999996,15,0.8347,2.3658170583721327
88,-22.29999999999999,27,0.8328,1.513678227262834
89,-151.59999999999994,120,0.8309,1.8003858391584575
90,1.8000000000000007,8,0.829,2.1964412106873397
91,-8.7,11,0.8271,2.4514216437271683
92,-54.300000000000026,51,0.8252,1.5439194468481692
93,-35.2,36,0.8233,1.6559940793445922
94,-22.39999999999999,25,0.8214,1.533401411728994
95,-53.90000000000004,50,0.8195,1.5408940903874364
96,-26.199999999999996,24,0.8176,1.8428324296763359
97,-24.199999999999996,22,0.8157,1.8828501066781127
98,-64.00000000000003,53,0.8138,1.7351261904481636
99,7.6,3,0.8119000000000001,5.378617208467169
100,-36.90000000000001,36,0.81,1.6832145182849794
101,7.6,3,0.8081,3.3953678512162164
102,6.6,4,0.8062,4.448371555944267
103,-36.80000000000002,29,0.8043,1.9878425919870828
104,-17.89999999999999,23,0.8024,1.7773100117027019
105,5.2,5,0.8005,2.394761516355639
106,-5.1,12,0.7986,1.9457434887746494
107,-20.299999999999997,17,0.7967,2.2482695871176577
108,5.3,3,0.7948,5.725478537476928
109,-57.00000000000003,46,0.7929,1.5496494399425274
110,-52.60000000000004,38,0.791,2.175206201870906
111,4.199999999999999,6,0.7891,3.3790394996697444
112,-1.5,9,0.7872,3.6191758219341548
113,-5.899999999999999,13,0.7853,1.8012756585437002
114,-6.9999999999999964,16,0.7834,1.946079698200042
115,-89.1000000000001,72,0.7815,1.8310748932909289
116,-3.4999999999999964,11,0.7796,2.9208324654939535
117,-35.500000000000014,30,0.7777000000000001,1.6475723003438385
