episode,return,steps,epsilon,mean_td_error
0,-90.90000000000006,62,1.0,1.7667514358440648
1,-75.50000000000006,52,0.99962,1.9038984030581882
2,-279.59999999999934,191,0.99924,1.5547491785649206
3,-418.4999999999987,275,0.99886,1.5826658154333744
4,-31.299999999999997,27,0.99848,1.8686029636245336
5,-336.29999999999905,222,0.9981,1.6025921287876987
6,-488.4999999999983,315,0.99772,1.5955441482102257
7,-34.000000000000014,27,0.99734,1.8585284897199654
8,-19.099999999999994,20,0.99696,2.3229457523496246
9,-234.39999999999947,163,0.99658,1.5468333379073242
10,-463.89999999999844,303,0.9962,1.59236304453653
11,-393.8999999999989,263,0.99582,1.55013589608432
12,-171.89999999999998,112,0.99544,1.6444815781803588
13,-116.60000000000011,90,0.9950600000000001,1.476790792544876
14,-1196.8000000000125,789,0.99468,1.539650500692484
15,-181.49999999999977,132,0.9943,1.508102389242262
16,-793.9000000000043,510,0.99392,1.5758089242544708
17,-12.099999999999998,10,0.99354,2.7627718602602203
18,-23.099999999999994,19,0.99316,2.5537105811134957
19,-44.60000000000002,32,0.99278,2.0843731846509903
20,-1579.3000000000188,1000,0.9924,1.5870398773216081
21,-134.80000000000007,102,0.99202,1.5118195011135203
22,-30.700000000000017,26,0.99164,1.7483989276150675
23,-200.2999999999998,123,0.99126,1.7708448134356847
24,-205.6999999999998,132,0.99088,1.7484380442365892
25,-4.099999999999998,11,0.9905,1.7620457258254232
26,-21.399999999999995,20,0.99012,1.9141127415698087
27,-626.7000000000011,409,0.98974,1.584117456898884
28,-128.90000000000003,95,0.98936,1.5996464143154636
29,-178.69999999999976,125,0.98898,1.5431097056391694
30,8.8,2,0.9886,4.353257059496
31,-512.6999999999987,337,0.98822,1.6063897614689957
32,-541.6999999999989,362,0.98784,1.5906027245341126
33,-495.8999999999983,317,0.98746,1.6835441373572757
34,10.0,1,0.98708,4.25465283331156
35,-55.200000000000045,41,0.9867,1.855065568043568
36,-22.4,21,0.98632,2.5155934862516203
37,-666.3000000000011,437,0.98594,1.5936354420466055
38,-121.00000000000009,78,0.98556,1.7645936400240971
39,-134.7,103,0.9851800000000001,1.4377442898830153
40,-182.1999999999998,138,0.9848,1.4872774544469858
41,-399.5999999999987,265,0.98442,1.6464244909206296
42,-704.7000000000012,449,0.98404,1.6242368124909714
43,8.8,2,0.98366,3.7154255292715255
44,-127.30000000000007,92,0.98328,1.6325281192960244
45,-580.5999999999996,376,0.9829,1.6255917356896565
46,6.4,4,0.98252,2.3552531815194024
47,-230.39999999999958,151,0.98214,1.6229488340630671
48,-761.0000000000033,488,0.98176,1.6125737080992109
49,-97.40000000000009,73,0.98138,1.5571315070401346
50,-95.90000000000009,71,0.981,1.7287523926639656
51,-109.60000000000012,84,0.98062,1.5428106684044305
52,-484.8999999999984,310,0.98024,1.7173475448475668
53,-77.70000000000007,59,0.97986,2.200889419789898
54,3.2,7,0.97948,2.1087699729761087
55,-461.59999999999854,295,0.9791,1.6314320191566558
56,-720.4000000000019,472,0.97872,1.6364274987915384
57,-490.4999999999985,299,0.97834,1.702355798959262
