episode,return,steps,epsilon,mean_td_error
0,-50.00000000000005,44,1.0,2.863012199602101
1,-144.30000000000004,103,0.9981,1.5381613302789894
2,-28.0,26,0.9962,4.941984208279353
3,-76.00000000000007,67,0.9943,2.984063976853502
4,-77.90000000000009,67,0.9924,2.282722192922722
5,-158.69999999999996,120,0.9905,4.122967709703976
6,-106.00000000000011,85,0.9886,2.5787032811299295
7,5.4,5,0.9867,21.858676403547914
8,-3.599999999999998,13,0.9848,10.14268831655367
9,-32.500000000000014,36,0.9829,8.558410815313687
10,-31.9,27,0.981,7.627215622279552
11,-14.199999999999996,18,0.9791,11.03473561883035
12,-49.900000000000034,47,0.9772,6.948676030502565
13,-9.299999999999997,16,0.9753000000000001,7.590365546031032
14,-51.90000000000003,40,0.9734,3.370211961112915
15,2.8999999999999995,5,0.9715,34.07286791025233
16,-137.00000000000006,107,0.9696,6.389632188054134
17,-118.00000000000011,83,0.9677,6.764485813631502
18,-231.0999999999996,151,0.9658,3.244653777840593
19,-87.40000000000008,69,0.9639,6.132530963284755
20,-232.2999999999996,160,0.962,4.8732416919813755
21,10.0,1,0.9601,103.3401804277251
22,-119.40000000000015,88,0.9582,3.527237318615403
23,-0.5,8,0.9563,17.867654886300897
24,-0.3999999999999986,10,0.9544,14.846060465155304
25,-28.1,32,0.9525,5.675701383044828
26,-52.80000000000004,43,0.9506,5.918249976488905
27,-250.19999999999953,161,0.9487,8.505957560616553
28,-38.90000000000002,33,0.9468,8.446626573194166
29,10.0,1,0.9449,54.25768007697661
30,-81.10000000000008,62,0.9430000000000001,9.931381147423464
31,1.8000000000000007,4,0.9411,27.4288757312397
32,-94.8000000000001,71,0.9392,6.12644277255223
33,5.3999999999999995,5,0.9373,31.18197966355272
34,-249.79999999999956,164,0.9354,6.148650500592729
35,4.1,4,0.9335,26.69855499593659
36,-24.39999999999999,19,0.9316,15.600115394072628
37,-45.80000000000001,33,0.9297,12.774581947780035
38,-174.1999999999998,135,0.9278,8.907612020826958
39,-43.400000000000006,35,0.9259,10.978888873152234
40,-0.1999999999999993,10,0.924,14.333263225485732
41,0.7000000000000011,7,0.9221,23.236337525828453
42,-21.299999999999994,22,0.9202,5.886062917911231
43,-84.80000000000011,79,0.9183,12.982852199810093
44,-18.799999999999997,18,0.9164,13.23715412024371
45,-53.50000000000003,45,0.9145,18.941970413013927
46,-90.40000000000009,72,0.9126,14.674574065059817
47,-4.299999999999997,11,0.9107000000000001,29.405208662240124
48,-39.000000000000014,31,0.9088,11.983964963335842
49,-3.599999999999998,13,0.9069,17.52413053795059
50,-104.1000000000001,69,0.905,13.424203577272362
51,-4.799999999999997,14,0.9031,23.53567558647408
52,-15.699999999999992,21,0.9012,16.634393974546555
53,-188.49999999999977,138,0.8993,12.384159912195823
54,-82.10000000000008,58,0.8974,9.830192890599381
55,-119.8000000000001,85,0.8955,14.00726327292494
56,6.4,4,0.8936,27.05758541056167
57,-35.30000000000002,38,0.8917,8.616692990295196
58,-20.899999999999995,22,0.8898,19.33805274208859
59,-73.50000000000004,55,0.8879,18.014900548690765
60,-48.000000000000014,43,0.886,20.528343806976917
61,-78.60000000000005,66,0.8841,18.785778063601832
62,-47.10000000000004,45,0.8822,14.572428996270217
63,-2.9999999999999982,12,0.8803,20.15012185354538
64,-129.70000000000002,95,0.8784,14.35729646413298
65,-2.6999999999999993,10,0.8765000000000001,22.152418772435478
66,1.5999999999999996,8,0.8746,24.686554592703615
67,-2.3999999999999986,12,0.8727,15.779689805874606
68,-0.5,4,0.8708,23.209178747218203
69,-47.300000000000026,40,0.8689,16.110654434251394
70,-38.500000000000014,36,0.867,16.04855857134165
71,-42.00000000000001,39,0.8651,12.29611152413522
72,-60.00000000000004,45,0.8632,18.32304400216687
73,4.3999999999999995,6,0.8613,20.871857875705
74,-11.899999999999995,18,0.8594,12.627466060043979
75,9.0,2,0.8575,25.932840792239283
76,8.8,2,0.8556,21.903201185642374
77,3.0,7,0.8537,15.657451588733068
78,-8.5,11,0.8518,13.357841327847677
79,-91.50000000000009,75,0.8499,16.500140439093666
80,-2.8999999999999986,10,0.848,20.398618492268774
81,-7.299999999999997,14,0.8461,15.228489329873822
82,-11.199999999999992,19,0.8442000000000001,24.76061189471899
83,-18.699999999999996,20,0.8423,22.36219154207829
84,-34.00000000000001,27,0.8404,7.896116409874549
85,-90.70000000000007,66,0.8385,16.39863347257296
86,-9.099999999999998,16,0.8366,16.25182355484477
87,-20.699999999999996,22,0.8347,17.415398029614376
88,0.5999999999999996,9,0.8328,24.245102345832688
89,2.0,8,0.8309,18.783429642366283
90,-14.199999999999992,18,0.829,15.453556447367877
91,-49.60000000000003,49,0.8271,18.63871324283937
92,-7.599999999999998,12,0.8252,22.39300196591796
93,-31.400000000000013,29,0.8233,19.35835731271814
94,7.6,3,0.8214,25.201727108907942
95,8.8,2,0.8195,13.15288682362419
96,-18.999999999999993,22,0.8176,16.61478418581964
97,-36.000000000000014,37,0.8157,22.241843707191705
98,-50.900000000000034,44,0.8138,13.13051772433737
99,-20.2,19,0.8119000000000001,12.265745758308674
100,0.7999999999999989,9,0.81,20.03117155864317
101,-6.099999999999998,13,0.8081,15.519570790031073
102,-62.00000000000004,47,0.8062,20.19539612045917
103,-27.0,25,0.8043,19.492760724976495
104,-47.80000000000004,39,0.8024,17.32318145444863
105,8.8,2,0.8005,14.809395559422294
106,-10.599999999999998,15,0.7986,22.822820370198304
107,-28.6,30,0.7967,17.274748452572886
108,-1.5999999999999979,7,0.7948,17.383546480257326
109,-10.899999999999995,17,0.7929,20.34138406480819
110,4.6,6,0.791,31.575152287026174
111,6.6,4,0.7891,21.452971501961148
112,6.4,4,0.7872,14.942944236942001
113,2.0999999999999996,6,0.7853,13.707463759642101
114,-25.199999999999996,28,0.7834,12.107220216596206
115,3.1999999999999993,7,0.7815,19.296401921089007
116,-65.80000000000005,59,0.7796,17.69222227553457
117,3.3999999999999995,7,0.7777000000000001,15.682138570931702
118,10.0,1,0.7758,14.551096564148821
119,-82.10000000000007,59,0.7739,17.83134017649703
120,-9.699999999999996,16,0.772,16.74226057168888
121,-22.19999999999999,25,0.7701,23.836399362834054
122,-17.099999999999998,19,0.7682,20.469659834462323
123,-25.0,23,0.7663,20.441549960089812
124,0.7999999999999989,5,0.7644,13.064511593721113
125,-40.90000000000001,35,0.7625,19.463171846011704
126,-21.299999999999994,26,0.7605999999999999,18.18279768980085
127,-33.90000000000002,33,0.7587,19.895069924319827
128,-0.40000000000000036,6,0.7568,15.051153853609586
129,-7.599999999999998,12,0.7549,18.000361592294468
130,-30.000000000000007,32,0.753,21.358241120698743
131,1.0,9,0.7511,19.756856659810204
132,8.8,2,0.7492,10.83956580822834
133,-47.800000000000026,47,0.7473000000000001,19.963326971997155
134,-126.20000000000007,95,0.7454000000000001,18.621367965071993
135,10.0,1,0.7435,13.557154737668172
136,-12.899999999999995,15,0.7416,23.072212647298656
137,-52.300000000000026,49,0.7397,19.394447508857436
138,-62.700000000000045,49,0.7378,16.619361407124856
139,-15.099999999999994,21,0.7359,18.34114015027956
140,2.1999999999999993,8,0.734,18.166650291535927
141,-13.999999999999996,18,0.7321,17.821417733859175
142,-16.199999999999996,20,0.7302,13.714199885084914
143,-33.20000000000001,30,0.7283000000000001,22.21496177824921
144,4.6,6,0.7264,15.182328958573828
145,-25.9,30,0.7245,20.06908699867723
146,-36.60000000000001,33,0.7226,18.32183670373713
147,-15.899999999999995,17,0.7207,15.80817843797932
148,-8.5,11,0.7188000000000001,18.46837411043435
149,-8.399999999999999,13,0.7169000000000001,18.662327536045485
150,-2.6999999999999993,10,0.7150000000000001,15.939664143942759
151,4.0,6,0.7131000000000001,18.33393951176643
152,-65.30000000000005,53,0.7112,18.18522536999506
153,-1.1999999999999993,11,0.7093,21.744284295276874
154,-6.9999999999999964,16,0.7074,23.369456815105334
155,-77.90000000000009,71,0.7055,17.84085664373722
156,-21.599999999999994,24,0.7036,13.436296890448803
157,-0.5999999999999979,10,0.7017,21.62575933414422
158,10.0,1,0.6998,12.008028583212251
159,7.8,3,0.6979,13.249511947901247
160,6.6,4,0.696,15.829618741148646
161,-20.399999999999988,23,0.6940999999999999,15.868532288117889
162,-8.899999999999999,15,0.6921999999999999,16.17390820492888
163,-0.40000000000000036,6,0.6903,9.429212969718604
164,-20.49999999999999,25,0.6884,16.534621194614168
165,-17.499999999999996,19,0.6865,20.09003721872255
166,-6.399999999999999,7,0.6846,11.839078039029761
167,-1.3999999999999986,11,0.6827,16.029601079200603
168,-15.599999999999994,15,0.6808000000000001,18.917092165842508
169,10.0,1,0.6789000000000001,9.854188135565032
170,-5.699999999999999,13,0.677,21.31983951117481
171,-8.699999999999996,15,0.6751,13.656323784703236
172,4.1,4,0.6732,9.08677747471881
173,8.8,2,0.6713,5.712971370039688
174,7.8,3,0.6694,10.236177537356767
175,-0.09999999999999964,8,0.6675,17.408485547279238
176,-8.599999999999994,13,0.6656,15.445507902086558
177,10.0,1,0.6637,6.481144076775049
178,1.9000000000000004,6,0.6618,26.42032560246059
179,-2.4999999999999982,10,0.6599,13.29183075452275
180,-2.3000000000000007,10,0.658,12.993325054550686
181,-11.099999999999994,18,0.6561,18.936299261795188
182,-22.89999999999999,27,0.6542,19.682253871962953
183,2.0,8,0.6523000000000001,19.150308792111122
184,-14.399999999999991,22,0.6504000000000001,17.206895638280553
185,-34.7,25,0.6485000000000001,19.395767013293856
186,7.6,3,0.6466000000000001,8.34302086129231
187,5.6,5,0.6447,15.67858387758877
188,-1.5999999999999996,7,0.6428,9.880096875128483
189,-8.099999999999998,15,0.6409,24.68014483287611
190,-0.5999999999999979,10,0.639,22.177647979011056
191,3.0,7,0.6371,16.093625789505218
192,-50.80000000000003,50,0.6352,17.46008773336744
193,-1.5,9,0.6333,16.101479810896922
194,-28.10000000000001,28,0.6314,19.676622719666796
195,-4.799999999999997,10,0.6295,16.49555044706735
196,-20.199999999999992,23,0.6275999999999999,18.79578253334302
197,7.8,3,0.6256999999999999,9.791266865962745
198,5.3,3,0.6238,8.324393205311223
199,-10.599999999999994,19,0.6219,18.989115307855297
200,5.6,5,0.62,25.714227084919788
201,-0.09999999999999964,8,0.6181,13.993898910612016
202,-2.799999999999999,8,0.6162,18.789459169554167
203,-7.899999999999999,15,0.6143000000000001,17.9771494477763
204,-17.099999999999998,19,0.6124,17.42887061095139
205,7.8,3,0.6105,20.885540992418086
206,7.8,3,0.6086,9.627961073569402
207,10.0,1,0.6067,4.08718022848121
208,-4.0,9,0.6048,12.348261333938105
209,3.0,7,0.6029,20.975397162134122
210,8.8,2,0.601,4.585518691941482
211,-8.7,15,0.5991,19.102417521016307
212,5.3999999999999995,5,0.5972,11.352409268692368
213,6.6,4,0.5953,11.362832616296167
214,-9.799999999999997,18,0.5934,20.882743235896147
215,-8.599999999999994,17,0.5915,14.36988215390862
216,-32.2,29,0.5896,17.792285686928125
217,-3.3999999999999986,13,0.5877,18.705886010888637
218,-9.7,12,0.5858000000000001,22.482425703800406
219,4.3999999999999995,6,0.5839000000000001,18.294226234615255
220,5.6,5,0.5820000000000001,14.932244250439146
221,-22.89999999999999,23,0.5801000000000001,17.222608196075136
222,-9.899999999999995,16,0.5782,15.711632707029123
223,3.2,7,0.5763,22.58480361593893
224,7.6,3,0.5744,8.869734374479304
225,-12.7,15,0.5725,17.755951187331057
226,5.3999999999999995,5,0.5706,10.883496217934626
227,9.0,2,0.5687,9.525249346588545
228,-9.799999999999997,14,0.5668,13.63901047945767
229,0.8000000000000007,9,0.5649,15.123377114711408
230,7.8,3,0.563,29.327409877533487
231,-0.3000000000000007,8,0.5610999999999999,12.145493124490455
232,-8.099999999999998,15,0.5591999999999999,18.60450410167426
233,-8.799999999999997,13,0.5573,14.658286013216081
234,10.0,1,0.5554,4.6919264352960965
235,7.8,3,0.5535000000000001,10.589608690076053
