episode,return,steps,epsilon,mean_td_error
0,-90.90000000000006,62,1.0,2.3694838274714476
1,-75.50000000000006,52,0.99962,3.112610551280864
2,-279.59999999999934,191,0.99924,1.0916512424269396
3,-418.4999999999987,275,0.99886,0.9604920778436359
4,-31.299999999999997,27,0.99848,5.615214621707455
5,-336.29999999999905,222,0.9981,1.017883315419675
6,-488.4999999999983,315,0.99772,0.91507745679217
7,-34.000000000000014,27,0.99734,5.898067216300029
8,-19.099999999999994,20,0.99696,12.585985250104587
9,-234.39999999999947,163,0.99658,2.4514087624835326
10,-463.89999999999844,303,0.9962,0.8682745456750468
11,-393.8999999999989,263,0.99582,1.3170287582820333
12,-171.89999999999998,112,0.99544,2.139458855716701
13,-116.60000000000011,90,0.9950600000000001,2.277397552281159
14,-1091.3000000000106,724,0.99468,0.5654070825974679
15,-377.7999999999988,257,0.9943,1.3950019215367797
16,-168.59999999999982,123,0.99392,2.5436676318990825
17,-112.50000000000011,89,0.99354,3.8446441441324897
18,-476.39999999999844,303,0.99316,3.0031245056603213
19,-54.80000000000001,41,0.99278,4.225802615977159
20,-111.10000000000011,75,0.9924,1.9157323923604115
21,-250.7999999999995,179,0.99202,1.154878541987821
22,-63.00000000000004,52,0.99164,2.389466063692922
23,-657.7000000000015,434,0.99126,0.7585633465409461
24,-6.099999999999998,9,0.99088,12.80760273211434
25,-62.700000000000045,53,0.9905,8.587127872342416
26,-41.400000000000006,33,0.99012,4.128926481230074
27,-293.39999999999935,190,0.98974,1.4234224233163972
28,-487.5999999999985,314,0.98936,1.1527328336676839
29,-4.099999999999998,11,0.98898,17.58308292799636
30,-21.399999999999995,20,0.9886,7.87480706142793
31,-793.6000000000035,497,0.98822,1.1865097417362354
32,-21.099999999999994,22,0.98784,13.679516588371984
33,-154.19999999999993,110,0.98746,5.707247913977326
34,8.8,2,0.98708,41.50189304794884
35,-1085.8000000000084,700,0.9867,2.9898508185797503
36,-282.09999999999934,186,0.98632,4.472760078094325
37,-45.00000000000001,33,0.98594,4.749385765426753
38,1.9000000000000004,6,0.98556,37.50662825414728
39,-18.099999999999994,23,0.9851800000000001,5.714742206289318
40,-103.80000000000008,75,0.9848,3.3280328047966568
41,-609.8999999999999,401,0.98442,1.1451581665100707
42,-158.39999999999995,110,0.98404,4.720750659631862
43,-266.5999999999993,190,0.98366,1.2853017194568277
44,7.6,3,0.98328,33.617117241593526
45,-124.80000000000013,96,0.9829,4.168458397492571
46,-73.60000000000005,53,0.98252,4.050154424118584
47,-67.50000000000007,58,0.98214,7.951214289287408
48,-246.39999999999935,172,0.98176,4.612662925504117
49,-67.70000000000006,58,0.98138,13.434939571944096
50,-229.09999999999954,160,0.981,7.323616225326154
51,-624.1000000000006,404,0.98062,1.5302377796969802
52,-2.3999999999999986,12,0.98024,16.909494553046134
53,-26.099999999999994,26,0.97986,13.25616484093421
54,-101.60000000000007,69,0.97948,7.229917900551838
55,-809.5000000000039,508,0.9791,2.876974202500023
56,-966.0000000000076,621,0.97872,3.4759431122927404
57,10.0,1,0.97834,14.769651101797058
58,-387.2999999999989,244,0.97796,9.196927355506421
59,6.8,4,0.97758,22.734528640030586
60,-507.1999999999982,351,0.9772,5.480227878130709
61,-52.00000000000003,42,0.97682,6.300681798998408
62,-647.1000000000008,418,0.97644,3.1244449374685876
63,-90.20000000000007,68,0.97606,9.9865642128075
64,-11.899999999999995,18,0.97568,18.236453165693113
65,-148.49999999999986,103,0.9753000000000001,7.252549441156358
66,-376.49999999999875,247,0.97492,7.373108461945632
67,-1596.300000000018,1000,0.97454,6.307989195601871
68,6.8,4,0.97416,23.540708515500828
69,-640.9000000000012,443,0.97378,2.7269555987883
70,-32.70000000000001,32,0.9734,15.532306566423786
71,-207.99999999999966,157,0.97302,5.264953028442042
72,-2.9000000000000004,6,0.97264,35.395006660515804
73,-182.0999999999998,121,0.97226,10.963952292936042
74,-1243.7000000000126,800,0.97188,3.6849325793544483
75,-137.20000000000007,103,0.9715,7.669186557268445
76,-619.700000000001,404,0.97112,4.573707837267421
77,-302.899999999999,207,0.97074,5.79687502377361
78,-353.1999999999988,249,0.97036,10.713659915766096
79,-36.70000000000002,31,0.96998,16.260374148740954
80,-52.30000000000002,41,0.9696,16.881075047476486
81,-964.7000000000068,651,0.96922,5.545848390548756
82,2.8,7,0.96884,25.354732616970296
83,-190.0999999999997,139,0.96846,17.221231302012253
84,-263.99999999999926,192,0.96808,3.7227759050932736
85,-288.6999999999992,203,0.9677,7.874045516428628
86,-105.00000000000006,65,0.96732,8.881359848383868
87,-752.0000000000043,510,0.96694,7.326959076979712
88,-190.39999999999984,129,0.96656,10.74918353950923
89,-429.9999999999987,284,0.96618,8.047611529883909
90,-60.800000000000026,46,0.9658,16.32654184530025
91,-306.4999999999993,182,0.96542,7.052538916259777
92,-556.6999999999992,374,0.96504,8.097613463817916
93,-293.7999999999993,205,0.96466,9.935972141632002
94,-165.09999999999997,97,0.96428,18.114475129427333
95,-113.30000000000007,78,0.9639,11.367626072343029
96,10.0,1,0.96352,9.386353799272655
97,-32.10000000000001,31,0.96314,17.47361720538958
98,-11.099999999999994,17,0.9627600000000001,23.902993225422644
99,-176.79999999999987,130,0.96238,17.406329372160048
100,6.4,4,0.962,22.590595992834594
101,-38.30000000000001,33,0.96162,19.46138789601439
102,-396.0999999999988,265,0.96124,11.034123034054641
103,-290.89999999999935,194,0.96086,7.0612428227960455
104,-340.1999999999988,244,0.96048,7.238918582382243
105,-139.5,95,0.9601,12.952122901069467
106,-902.5000000000065,599,0.95972,8.661118549352635
107,-596.2000000000006,395,0.95934,9.757957308062483
108,-518.9999999999986,340,0.95896,9.171956342511553
109,-60.30000000000004,48,0.95858,15.620529627760838
110,-127.20000000000005,91,0.9582,10.582273902666506
111,-133.60000000000008,92,0.95782,10.310388676419992
112,-111.90000000000008,76,0.95744,14.859107652970593
113,-89.40000000000006,62,0.95706,15.12905006996864
114,-48.50000000000002,41,0.95668,15.303992296527113
115,-596.5000000000002,395,0.9563,12.540051193631069
116,-9.599999999999998,14,0.95592,11.981942382925624
117,-378.0999999999988,261,0.9555400000000001,9.921793398371808
118,-71.30000000000004,53,0.95516,16.514562576366
119,-299.19999999999914,206,0.95478,9.156503961258112
120,-168.19999999999993,118,0.9544,15.302531638393225
121,-36.20000000000001,29,0.95402,14.863282007318526
122,-4.899999999999999,12,0.95364,15.039530535733048
123,-7.399999999999999,12,0.95326,17.815805978697593
124,-299.2999999999994,198,0.95288,8.349086413208399
125,-260.2999999999993,191,0.9525,10.043958550331467
126,-389.4999999999988,254,0.95212,7.454847671567303
127,-526.9999999999989,344,0.95174,7.5242231649479745
128,-287.7999999999992,193,0.95136,12.146490611838633
129,-134.60000000000002,81,0.95098,13.659376949615464
130,-36.100000000000016,27,0.9506,19.482705113742448
131,-78.20000000000006,56,0.95022,22.166044825208903
132,-7.699999999999996,14,0.94984,15.733796352865891
133,-318.79999999999916,207,0.94946,7.595035259229131
134,-113.30000000000011,82,0.94908,9.6548274904983
135,-18.199999999999992,21,0.9487,13.993523730961053
136,-5.399999999999999,10,0.94832,22.84447993804458
137,-485.3999999999981,329,0.94794,7.663324827597022
138,-384.0999999999986,282,0.94756,6.716766354971702
139,-12.599999999999994,16,0.94718,24.883950434797224
140,-47.50000000000002,37,0.9468,12.965552737542053
141,-50.30000000000003,39,0.94642,10.285278982461692
142,-389.3999999999986,274,0.94604,9.873935073313284
143,-67.40000000000003,51,0.94566,16.14935781916641
144,-684.0000000000019,446,0.94528,9.00877340727835
145,-235.29999999999953,167,0.9449,8.578488966150275
146,8.8,2,0.94452,7.495733933365293
147,-51.80000000000004,46,0.94414,12.112649409654441
148,-26.699999999999996,27,0.94376,11.12388337378068
149,-384.39999999999856,267,0.94338,8.797680550693507
150,-194.29999999999976,134,0.9430000000000001,11.24055110049085
151,-183.69999999999982,126,0.94262,14.62723007310012
152,0.6000000000000014,5,0.94224,15.170734445975475
153,-54.50000000000004,47,0.94186,10.284076837819955
154,-69.00000000000006,61,0.94148,11.136716400376717
155,-197.39999999999984,131,0.9411,15.368209443700483
156,-3.899999999999997,11,0.94072,17.562113378169887
157,-565.8999999999996,362,0.94034,10.208927565032363
158,-124.50000000000009,91,0.93996,14.183649294200764
159,-19.799999999999994,23,0.93958,12.77181493521575
160,-89.90000000000009,73,0.9392,11.313365159121007
161,5.3,3,0.93882,5.564942913970203
162,-155.7999999999998,115,0.93844,13.131697602498866
163,-689.5000000000024,453,0.93806,9.896338601326846
164,-163.89999999999984,117,0.93768,13.024623183201362
165,-651.7000000000012,442,0.9373,10.910126483032629
166,-89.1000000000001,68,0.93692,12.10095336951155
167,-417.09999999999883,275,0.93654,10.967932898891288
168,-102.10000000000008,76,0.93616,9.956428095437003
169,-154.19999999999987,102,0.9357800000000001,10.430378077383397
170,-98.6000000000001,75,0.9354,13.95676070744619
171,-271.4999999999993,185,0.93502,7.776874334091171
172,-48.00000000000002,35,0.93464,15.894262357308984
173,3.0999999999999996,5,0.93426,14.715654828029491
174,-126.50000000000003,93,0.93388,12.1371350048334
175,7.6,3,0.9335,5.2106967887722115
176,-281.89999999999924,194,0.93312,10.056943835868628
177,-258.39999999999935,179,0.93274,11.58631789404104
178,-562.9999999999995,377,0.93236,8.674324748221203
179,10.0,1,0.93198,40.90497909831628
180,-166.69999999999996,116,0.9316,10.263918268784565
181,-57.50000000000003,45,0.9312199999999999,9.264885139592163
182,-111.40000000000008,78,0.93084,13.360370793302978
183,-522.8999999999988,341,0.93046,11.257385387795514
184,-102.50000000000006,73,0.93008,11.887095975349482
185,-68.50000000000006,54,0.9297,14.125510456524696
186,-18.499999999999993,24,0.92932,10.651562681799732
187,-9.699999999999996,12,0.92894,15.404388487838574
188,-16.89999999999999,18,0.92856,12.457540651193492
189,-423.9999999999985,295,0.92818,9.518833215737875
190,-129.40000000000006,94,0.9278,9.48728055409945
191,-750.7000000000027,486,0.92742,8.860747750329296
192,-83.30000000000007,58,0.92704,13.025097386542466
193,-238.3999999999995,168,0.92666,12.601328875050756
194,-170.0999999999999,118,0.92628,12.585813141719118
195,-199.5999999999997,126,0.9259,10.313858111954811
196,-255.39999999999935,177,0.92552,10.758567720026367
197,-45.90000000000002,35,0.92514,11.342200629710264
198,-7.599999999999998,12,0.92476,13.879251137764301
199,-396.39999999999895,247,0.92438,8.682058964170626
200,-114.90000000000013,82,0.924,12.009514499519193
201,-68.90000000000003,56,0.92362,9.779467903939784
202,-185.49999999999983,128,0.9232400000000001,7.78821876164418
203,-194.4999999999998,131,0.92286,8.593922733356447
204,-25.1,21,0.92248,8.644862425947931
205,-182.7999999999997,122,0.9221,12.55569666865373
206,-313.59999999999917,207,0.92172,11.56138375832995
207,-37.70000000000001,28,0.92134,12.403342971243458
208,10.0,1,0.92096,2.657722511693036
209,-368.699999999999,241,0.92058,12.982294221072499
210,-2.9999999999999982,12,0.9202,6.701722117165203
211,-29.199999999999996,32,0.91982,9.348014181806544
212,-21.799999999999994,25,0.91944,13.481601362877065
213,-16.699999999999996,18,0.91906,10.115178638300891
214,8.8,2,0.91868,4.421702340710437
215,-7.799999999999997,12,0.9183,8.277216480069422
216,-274.79999999999933,188,0.91792,14.582267466332942
217,-564.8999999999995,390,0.91754,10.489516032134555
218,-101.40000000000012,77,0.91716,10.687770718352997
219,-305.69999999999914,210,0.91678,11.393742432248391
220,-377.29999999999893,247,0.9164,9.25160958387221
221,-358.199999999999,247,0.9160200000000001,10.197019690061202
222,-516.4999999999987,324,0.91564,8.854140655883267
223,-52.30000000000004,36,0.91526,8.084495658798435
