episode,return,steps,epsilon,mean_td_error
0,-90.00000000000009,67,1.0,2.1629118655705266
1,-26.0,33,0.9981,4.134235630967465
2,-109.00000000000011,84,0.9962,1.7669804066270136
3,-386.9999999999987,245,0.9943,1.2416104919447155
4,-135.6,90,0.9924,2.247895300436506
5,-65.70000000000006,52,0.9905,3.558132916678349
6,-277.3999999999994,187,0.9886,1.9998665584395898
7,-56.60000000000005,54,0.9867,2.930823048773671
8,-87.40000000000008,69,0.9848,3.0364055775978662
9,-83.00000000000009,70,0.9829,2.4926054771744464
10,-98.90000000000009,69,0.981,2.75845643960502
11,-18.999999999999993,18,0.9791,9.388735449436966
12,-23.9,24,0.9772,5.2427978725742514
13,-122.3000000000001,97,0.9753000000000001,2.866486782817377
14,-195.79999999999973,151,0.9734,1.840859504311573
15,-59.80000000000004,45,0.9715,3.288695017604307
16,3.2,7,0.9696,18.736478909083548
17,-3.799999999999999,13,0.9677,8.628812492496605
18,-56.50000000000003,45,0.9658,4.403076067104658
19,-50.30000000000003,43,0.9639,3.049894511192237
20,-191.9999999999998,152,0.962,2.8556085315962
21,-3.6999999999999993,11,0.9601,12.899124973569815
22,-114.40000000000009,85,0.9582,3.2449769903534698
23,-40.000000000000014,40,0.9563,3.339177023444428
24,-31.299999999999997,31,0.9544,9.350549671074026
25,-49.200000000000024,49,0.9525,2.867245928095631
26,-52.30000000000004,45,0.9506,4.671590413041049
27,-63.30000000000004,46,0.9487,4.947207124098596
28,-73.90000000000008,63,0.9468,4.5795477511403675
29,0.7999999999999989,5,0.9449,22.313988312440973
30,-41.100000000000016,39,0.9430000000000001,3.387677745553407
31,-137.50000000000003,106,0.9411,2.832268071175516
32,-24.799999999999997,27,0.9392,7.270683312755182
33,-60.30000000000004,48,0.9373,4.069396962427304
34,-93.50000000000009,72,0.9354,3.6771385269662833
35,-108.00000000000013,83,0.9335,3.0140471902229207
36,-64.00000000000006,49,0.9316,3.9769824241737624
37,-35.10000000000002,30,0.9297,5.51248033162629
38,-61.60000000000004,51,0.9278,2.7298676230951924
39,-129.0000000000001,105,0.9259,3.595355271560431
40,3.3999999999999995,7,0.924,15.774247573242134
41,-90.90000000000008,62,0.9221,3.753506993472404
42,-48.40000000000003,47,0.9202,7.155900733416795
43,-103.7000000000001,77,0.9183,5.361101582752635
44,2.0,8,0.9164,13.771514682361161
45,-10.599999999999998,15,0.9145,8.133158784702783
46,1.8000000000000007,8,0.9126,14.17028277371799
47,-44.10000000000004,42,0.9107000000000001,5.141824182340782
48,-25.200000000000003,24,0.9088,7.367140692056547
49,-103.9000000000001,76,0.9069,3.874638151124144
50,8.8,2,0.905,43.62484612117257
51,6.6,4,0.9031,28.979012014769033
52,-210.89999999999958,149,0.9012,4.392688462099679
53,-23.299999999999997,28,0.8993,6.327131952848035
54,-22.299999999999997,19,0.8974,8.025273067277903
55,-15.399999999999999,15,0.8955,11.067626180650597
56,-21.9,23,0.8936,7.62101417888692
57,-87.60000000000011,73,0.8917,4.074791898141437
58,-73.90000000000008,59,0.8898,7.712137976427938
59,-103.2000000000001,78,0.8879,5.670990115059049
60,-49.80000000000002,40,0.886,9.432696283277362
61,-22.299999999999997,19,0.8841,6.59965623714676
62,-11.099999999999998,13,0.8822,21.374244740569388
63,-32.50000000000002,28,0.8803,8.433218370146475
64,-37.10000000000001,32,0.8784,6.2004971637511295
65,-72.10000000000007,53,0.8765000000000001,7.525186986164659
66,-20.29999999999999,25,0.8746,10.700515431053331
67,-121.60000000000008,91,0.8727,3.669257607613382
68,-5.099999999999998,12,0.8708,14.373023838833438
69,6.6,4,0.8689,29.997937006611565
70,-9.799999999999997,14,0.867,15.196013712359903
71,-10.999999999999996,15,0.8651,8.03402492320963
72,-21.999999999999996,21,0.8632,8.756889565444002
73,-40.900000000000006,31,0.8613,7.192815214512772
74,-5.699999999999999,13,0.8594,9.349044017853116
75,3.0,3,0.8575,33.08429102887286
76,-19.699999999999992,25,0.8556,9.560356469404867
77,-121.3000000000001,92,0.8537,7.568172346942032
78,-18.9,16,0.8518,10.014023664617188
79,6.4,4,0.8499,26.51971753276444
80,-4.1999999999999975,13,0.848,12.300702568152277
81,-38.90000000000001,29,0.8461,9.267967922662745
82,-9.199999999999996,14,0.8442000000000001,13.570201179390214
83,10.0,1,0.8423,18.480323553027752
84,-6.9999999999999964,16,0.8404,11.917834294903264
85,-30.60000000000001,28,0.8385,10.746159342968186
86,-7.199999999999999,12,0.8366,9.09836426039507
87,0.0,10,0.8347,14.393971028468115
88,-57.700000000000045,49,0.8328,5.3291033668070895
89,-69.00000000000006,57,0.8309,15.501307294471946
90,-107.60000000000011,83,0.829,4.327993512002775
91,-32.600000000000016,34,0.8271,14.672994915818526
92,-64.90000000000005,51,0.8252,7.01350098361975
93,3.5999999999999996,7,0.8233,15.624046766102692
94,8.8,2,0.8214,38.70360009684095
95,4.1,4,0.8195,26.670979748101285
96,-3.9999999999999964,13,0.8176,18.975742810443343
97,4.4,6,0.8157,18.680220673639912
98,-19.499999999999996,16,0.8138,13.622173033316214
99,-6.399999999999999,15,0.8119000000000001,13.712291238752126
100,-89.30000000000008,69,0.81,6.107056582969966
101,-44.90000000000001,39,0.8081,5.098342011708167
102,-38.00000000000002,30,0.8062,13.33078825984567
103,-30.900000000000006,34,0.8043,6.179525925986172
104,-0.3999999999999986,10,0.8024,16.56414689468505
105,3.0999999999999996,5,0.8005,20.012211867893143
106,4.3,4,0.7986,22.434936245404774
107,2.8999999999999995,5,0.7967,25.07988235387006
108,-20.199999999999992,23,0.7948,7.550281709922961
109,-63.30000000000004,50,0.7929,12.724440974875781
110,-78.60000000000007,70,0.791,6.47719717206872
111,-8.599999999999998,13,0.7891,13.147855112105198
112,-3.6999999999999993,11,0.7872,30.89212536313818
113,-63.00000000000004,53,0.7853,9.686353965973
114,-24.599999999999994,27,0.7834,9.30230532606213
115,6.6,4,0.7815,26.118118128043793
116,-18.099999999999998,19,0.7796,14.356739374486953
117,-24.099999999999994,28,0.7777000000000001,13.943721526235189
118,-7.099999999999998,14,0.7758,32.75746073957752
119,-59.700000000000045,55,0.7739,4.347244432201653
120,-1.5,9,0.772,27.848277969668274
121,-15.599999999999998,15,0.7701,8.309269952446153
122,-40.20000000000002,41,0.7682,8.640570197358365
123,-14.599999999999994,18,0.7663,10.627855454098547
124,-30.199999999999996,28,0.7644,6.231319313735147
125,10.0,1,0.7625,18.404592482260234
126,7.6,3,0.7605999999999999,31.92506805490024
127,10.0,1,0.7587,16.60633768670445
128,-35.50000000000002,34,0.7568,5.41568669786709
129,4.0,6,0.7549,20.314416383573587
130,-9.599999999999998,14,0.753,11.071369856430062
131,0.6999999999999993,7,0.7511,18.21877943562446
132,7.8,3,0.7492,33.241942185971475
133,-19.199999999999992,22,0.7473000000000001,16.30243634921908
134,5.6,5,0.7454000000000001,22.04544001627867
135,10.0,1,0.7435,12.877167097441728
136,0.7000000000000011,7,0.7416,38.06361910336289
137,-15.099999999999994,17,0.7397,9.286378292107631
138,10.0,1,0.7378,14.537105480896646
139,-5.099999999999998,12,0.7359,22.144723490196494
140,2.8,7,0.734,17.84796029094576
141,-6.4999999999999964,13,0.7321,12.20940520123129
142,-114.90000000000008,83,0.7302,10.017783256975088
143,-19.89999999999999,25,0.7283000000000001,13.396556824451874
144,4.3999999999999995,6,0.7264,18.504545244272407
145,-30.9,30,0.7245,7.539697317904707
146,-26.799999999999997,29,0.7226,13.236242708269812
147,-13.199999999999996,17,0.7207,9.062618834185912
148,-8.599999999999998,17,0.7188000000000001,8.322359842835109
149,10.0,1,0.7169000000000001,16.841669479591335
150,-23.89999999999999,24,0.7150000000000001,10.9943322382731
151,-4.599999999999998,14,0.7131000000000001,14.911688424335553
152,0.8000000000000007,9,0.7112,13.654526541964767
153,6.6,4,0.7093,30.719052183325868
154,3.0,3,0.7074,31.108843680110265
155,2.8999999999999995,5,0.7055,19.978375549742545
156,2.8999999999999995,5,0.7036,24.561862357262143
157,-60.10000000000005,51,0.7017,8.492686191475578
158,-9.499999999999996,16,0.6998,13.062181891157378
159,-2.599999999999998,12,0.6979,16.77723872467316
160,-1.3999999999999986,7,0.696,16.422314549883634
161,-6.599999999999998,15,0.6940999999999999,21.01197811744936
162,0.8000000000000007,9,0.6921999999999999,16.374954506337517
163,-32.50000000000001,37,0.6903,11.90567359301428
164,-78.40000000000009,70,0.6884,8.132707581070074
165,-8.399999999999999,13,0.6865,11.641799060370033
166,-15.699999999999992,21,0.6846,12.872493275193351
167,-15.099999999999994,21,0.6827,22.32707563335029
168,-17.39999999999999,21,0.6808000000000001,12.928875445807014
169,0.5000000000000018,7,0.6789000000000001,37.189021072942886
170,8.8,2,0.677,34.25304379077802
171,-3.5999999999999996,9,0.6751,17.308108808344645
172,10.0,1,0.6732,13.176640388569346
173,-10.5,13,0.6713,14.514461586528958
174,-44.30000000000003,42,0.6694,14.288975407520624
175,0.40000000000000036,9,0.6675,26.00075217169297
176,0.8000000000000007,9,0.6656,24.221995807070453
177,-7.099999999999994,14,0.6637,11.846351717103875
178,9.0,2,0.6618,33.13043476903721
179,10.0,1,0.6599,96.91642846998772
180,-8.299999999999994,15,0.658,9.740437235318474
181,0.9000000000000004,7,0.6561,15.954141703817653
182,-7.5,14,0.6542,18.409154003032103
183,1.0,9,0.6523000000000001,14.501003248469415
184,-2.1999999999999993,12,0.6504000000000001,25.421528772381105
185,-5.9999999999999964,15,0.6485000000000001,12.355629968153918
186,8.8,2,0.6466000000000001,30.91071713985091
187,-0.5999999999999979,10,0.6447,18.400556824506236
188,4.6,6,0.6428,37.079785440781286
189,-8.599999999999998,13,0.6409,13.226873527631504
190,-97.70000000000009,81,0.639,10.277301066534262
191,-7.4999999999999964,14,0.6371,12.276447183199476
192,-3.9000000000000004,11,0.6352,13.618184709698552
193,7.6,3,0.6333,26.85082718148082
194,4.4,6,0.6314,18.155201625118462
195,5.8,5,0.6295,21.687256181083594
196,-10.799999999999997,15,0.6275999999999999,14.298482966918339
197,-13.699999999999996,20,0.6256999999999999,12.415529920970156
198,-1.5999999999999979,11,0.6238,32.31635470721972
199,-27.800000000000004,25,0.6219,17.308105648234136
200,-4.1,11,0.62,29.94608608216095
201,-13.199999999999992,21,0.6181,30.77450355352094
202,7.8,3,0.6162,26.9480466311645
203,-4.6999999999999975,12,0.6143000000000001,22.77706482835315
204,6.8,4,0.6124,26.586954318320764
205,1.3999999999999986,9,0.6105,16.04516716919573
206,-21.799999999999997,21,0.6086,9.125497192792313
207,-31.5,31,0.6067,5.694452956694561
208,-8.199999999999996,17,0.6048,13.122711975043856
209,-8.599999999999998,13,0.6029,21.445447508447078
210,6.6,4,0.601,24.49547052534102
211,-6.9999999999999964,16,0.5991,16.049967574807532
212,-17.29999999999999,23,0.5972,12.558370809409624
213,-2.599999999999998,12,0.5953,24.966435445565267
214,1.0,9,0.5934,13.061501186429606
215,-1.0,11,0.5915,14.172391878913924
216,-2.6999999999999993,10,0.5896,12.131686346213916
217,8.8,2,0.5877,22.91254332585838
218,-10.799999999999994,19,0.5858000000000001,20.10515657696357
219,-3.799999999999997,13,0.5839000000000001,12.163525109662277
220,-25.39999999999999,27,0.5820000000000001,17.151897956345334
221,-20.49999999999999,25,0.5801000000000001,7.344750131460563
222,-17.599999999999994,21,0.5782,10.961751031108953
223,-26.799999999999997,29,0.5763,10.13685127660697
224,-14.199999999999996,18,0.5744,11.789549075449406
225,-36.50000000000001,31,0.5725,7.9382070169922025
226,0.9000000000000004,7,0.5706,20.061975504663444
227,-12.7,15,0.5687,15.958320030721328
228,4.2,6,0.5668,16.658464241108447
229,10.0,1,0.5649,13.511479730436651
230,-36.80000000000001,37,0.563,25.620728265632703
231,-0.5999999999999996,6,0.5610999999999999,17.445980679726834
232,-10.399999999999999,15,0.5591999999999999,15.30992346866675
233,-19.2,18,0.5573,11.125128684561256
234,-8.399999999999999,13,0.5554,10.030430871214707
235,3.2,7,0.5535000000000001,15.854951335548536
236,2.1999999999999993,8,0.5516000000000001,22.732003651393295
237,1.0999999999999996,7,0.5497000000000001,32.80727719662474
238,-8.399999999999995,17,0.5478000000000001,11.302015033837689
239,8.8,2,0.5459,28.08988092032866
240,6.8,4,0.544,24.591853772265864
241,5.8,5,0.5421,21.451031454804482
242,-7.199999999999996,16,0.5402,14.11664245255314
243,-12.199999999999996,16,0.5383,11.762531531349431
244,-2.6999999999999975,10,0.5364,19.02636518857232
245,5.4,5,0.5345,24.39770988371523
246,-1.5999999999999979,11,0.5326,11.535371867543724
247,-15.899999999999995,17,0.5307,25.683725140695877
248,1.8000000000000007,8,0.5288,19.451502558594676
249,1.0999999999999996,7,0.5269,16.048455556793773
250,8.8,2,0.525,21.457211443283747
251,-2.9999999999999982,8,0.5231,18.060397965983224
252,3.0,7,0.5212,17.357481738206786
253,5.6,5,0.5193000000000001,21.294487726742787
254,-39.10000000000003,37,0.5174000000000001,15.889673357455772
255,-12.399999999999995,16,0.5155000000000001,17.870352975019813
256,-13.899999999999995,20,0.5136000000000001,18.212021224530424
257,-1.5999999999999979,11,0.5117,14.61477587485411
258,6.4,4,0.5098,22.554922029939732
259,-2.599999999999998,12,0.5079,9.289778520226227
260,-1.8000000000000007,12,0.506,12.63682712940845
261,3.5999999999999996,7,0.5041,15.560620036837244
262,-12.899999999999995,19,0.5022,13.8586199093206
263,4.3,4,0.5003,19.47596402938965
264,-1.7999999999999972,11,0.49839999999999995,22.6960440620417
265,2.0,8,0.49650000000000005,21.613536178773025
266,-6.199999999999996,15,0.49460000000000004,17.916231375443882
267,-10.799999999999997,15,0.4927,29.66144341196771
268,6.6,4,0.4908,23.292527168153708
269,-32.3,32,0.4889,16.0271659690728
270,9.0,2,0.487,26.520723621221645
271,3.2,7,0.4851,15.778204287536036
272,7.6,3,0.48319999999999996,23.698326198224404
273,3.3999999999999995,7,0.48129999999999995,15.685083905459821
274,4.3999999999999995,6,0.47939999999999994,17.84422378920046
275,5.2,5,0.47750000000000004,19.756181570335432
276,5.6,5,0.4756,21.03910480787278
277,-6.799999999999997,16,0.4737,15.679208383009067
278,-15.499999999999996,21,0.4718,23.903669168683187
279,-0.8000000000000007,11,0.4699,16.124892173083296
280,4.6,6,0.46799999999999997,18.120506564687712
281,4.3,4,0.46609999999999996,24.479570328394697
282,-11.299999999999997,18,0.46420000000000006,12.827633827630295
283,-0.3999999999999986,10,0.46230000000000004,15.693702669175602
284,4.2,6,0.46040000000000003,19.106995814243902
285,-4.799999999999997,14,0.4585,30.913040864365808
286,8.8,2,0.4566000000000001,20.880580915142826
287,4.6,6,0.4547000000000001,17.806593105480403
288,2.2,8,0.4528000000000001,23.677183375949816
289,4.8,6,0.4509000000000001,25.459652806526208
290,-12.299999999999994,18,0.44900000000000007,20.45149284283236
291,4.1,4,0.44710000000000005,20.339284114793497
292,-8.3,11,0.44520000000000004,14.550677278486893
293,1.3000000000000007,7,0.4433,31.885294709786905
294,2.1999999999999993,8,0.4414,18.19189734061788
295,5.6,5,0.4395,20.95579343750939
296,-2.799999999999997,12,0.4376000000000001,11.173964828276588
297,-2.3999999999999986,12,0.4357000000000001,17.690273749019624
298,-24.699999999999996,29,0.4338000000000001,13.64879659946791
299,1.1999999999999993,9,0.43190000000000006,26.732562070783075
300,8.8,2,0.43000000000000005,16.67639515209118
301,1.6999999999999993,6,0.42810000000000004,35.38969406678626
302,10.0,1,0.4262,12.483208926403648
303,5.6,5,0.4243,28.00172336924634
304,-12.999999999999993,17,0.4224,29.671030630455803
305,-0.09999999999999964,8,0.4205,24.782210959693113
306,-4.899999999999999,12,0.4186000000000001,14.672999797166986
307,0.5999999999999996,9,0.41670000000000007,22.909092300151045
308,7.6,3,0.41480000000000006,21.922716264381503
309,1.9000000000000004,6,0.41290000000000004,19.775423876309738
310,6.4,4,0.41100000000000003,19.462713303238267
311,-0.3000000000000007,8,0.4091,13.75417844067812
312,-0.10000000000000142,8,0.4072,20.58618798664686
313,8.8,2,0.4053,28.105566136379736
314,1.8999999999999986,6,0.4034,21.685297071363404
315,0.6999999999999993,7,0.4015000000000001,21.006939635616966
316,-2.3999999999999986,12,0.39960000000000007,35.6400387888242
317,-0.3000000000000007,8,0.39770000000000005,24.678652598043147
318,3.0,7,0.39580000000000004,18.590513429939314
319,6.6,4,0.39390000000000003,22.719051094614276
320,1.0,9,0.392,22.297009440822777
321,7.8,3,0.3901,30.806785253788345
322,-8.699999999999996,15,0.3882,17.23357748923674
323,8.8,2,0.3863,18.443255184808212
324,-4.799999999999997,14,0.38439999999999996,20.178493162599235
325,1.0,9,0.38250000000000006,31.851036992550828
326,-3.8999999999999986,11,0.38060000000000005,15.035807179728922
327,-6.099999999999998,13,0.37870000000000004,26.56824044475709
328,3.5999999999999996,7,0.3768,24.419913580900225
329,8.8,2,0.3749,15.796745088234928
330,8.8,2,0.373,25.807551323565797
331,4.6,6,0.3711,18.455674179123957
332,-14.699999999999992,20,0.3692,17.941787415773263
333,2.0,8,0.36729999999999996,30.222399075201672
334,-9.799999999999997,14,0.36539999999999995,14.598044104702836
335,-4.799999999999997,14,0.36350000000000005,18.774617178140748
336,-26.299999999999997,27,0.36160000000000003,20.744258429069244
337,10.0,1,0.3597,17.72247239964918
338,-1.0,11,0.3578,18.710138100558762
339,2.3,6,0.3559,18.582995922949813
340,8.8,2,0.354,25.11147014749088
341,6.4,4,0.35209999999999997,35.02672171797511
342,10.0,1,0.35019999999999996,10.027648163878268
343,0.7000000000000011,7,0.34829999999999994,29.295506790811793
344,-2.4000000000000004,8,0.34640000000000004,13.899652038198186
345,10.0,1,0.34450000000000003,16.405383555817373
346,8.8,2,0.3426000000000001,15.676179905431901
347,4.199999999999999,6,0.3407000000000001,25.604346277416045
348,0.0,10,0.3388000000000001,18.512010724954585
349,2.0,8,0.3369000000000001,33.262730839375195
350,6.8,4,0.3350000000000001,22.60392075059396
351,5.4,5,0.33310000000000006,19.666230250295694
352,6.6,4,0.33120000000000005,23.904583753699402
353,3.4000000000000004,7,0.32930000000000004,15.684230339139704
354,8.8,2,0.3274,24.47239008978802
355,1.9000000000000004,6,0.3255,22.004500695340273
356,6.4,4,0.3236000000000001,22.49189496852785
357,-4.300000000000001,12,0.3217000000000001,24.652466188388562
358,7.8,3,0.3198000000000001,21.002127641664654
359,6.8,4,0.31790000000000007,24.087142532615367
360,5.6,5,0.31600000000000006,20.933314397541057
361,3.0,7,0.31410000000000005,27.593058182414545
362,7.8,3,0.31220000000000003,26.00154653636683
363,6.8,4,0.3103,22.315053655432102
364,-25.5,26,0.3084,24.355366998785655
365,4.199999999999999,6,0.3065,30.112237451112957
366,8.8,2,0.3046000000000001,16.036421703731897
367,1.0999999999999979,7,0.3027000000000001,16.538592131228036
368,7.6,3,0.30080000000000007,24.064637338927877
369,5.4,5,0.29890000000000005,20.977830602717113
370,2.0999999999999996,6,0.29700000000000004,17.837341690590048
371,-2.0999999999999996,10,0.29510000000000003,19.645100451576297
372,-7.199999999999999,12,0.2932,18.74860964587158
373,5.4,5,0.2913,20.943656925217255
374,6.6,4,0.2894,21.837203183115736
375,-0.40000000000000036,6,0.2875000000000001,16.902240922574222
376,5.6,5,0.2856000000000001,20.739660817587723
377,-7.9999999999999964,17,0.28370000000000006,19.740485166093528
378,6.6,4,0.28180000000000005,21.29844889182998
379,9.0,2,0.27990000000000004,22.788027398394327
380,3.0999999999999996,5,0.278,19.758301994258737
381,3.5999999999999996,7,0.2761,35.88238533865421
382,-6.199999999999999,11,0.2742,25.293166224904493
383,1.8000000000000007,8,0.2723,21.575066818547572
384,6.6,4,0.2704,23.521354252586
385,2.5999999999999996,8,0.26850000000000007,23.5934957783274
386,5.8,5,0.26660000000000006,20.903235318488917
387,-0.5,8,0.26470000000000005,28.357159215345416
388,9.0,2,0.26280000000000003,22.488136371635015
389,4.3999999999999995,6,0.2609,20.382435718175092
390,6.6,4,0.259,21.06039757413216
391,9.0,2,0.2571,52.20562563693339
392,4.3999999999999995,6,0.2552,17.874299674894328
393,8.0,3,0.25329999999999997,30.9084921868166
394,6.6,4,0.25139999999999996,21.30904240432702
395,3.0999999999999996,5,0.24950000000000006,17.367232953297197
396,2.0999999999999996,6,0.24760000000000004,17.15670544764419
397,6.6,4,0.24570000000000003,31.27080224713006
398,10.0,1,0.24380000000000002,8.056876399450315
399,6.8,4,0.2419,22.96305123547978
400,7.8,3,0.24,18.272760408026432
401,0.0,10,0.23809999999999998,23.996494149916096
402,4.6,6,0.23619999999999997,30.304682429215404
403,9.0,2,0.23429999999999995,22.999350958493473
404,4.2,6,0.23239999999999994,22.306313449849892
405,2.0,8,0.23050000000000004,13.518002846967972
406,2.3,6,0.22860000000000003,17.788002472984186
407,10.0,1,0.22670000000000012,12.865591762536683
408,-6.5,9,0.2248000000000001,28.525876872638612
409,8.8,2,0.2229000000000001,14.271159112495464
410,6.5,2,0.22100000000000009,6.562440980026617
411,7.8,3,0.21910000000000007,17.85041313135606
412,4.0,6,0.21720000000000006,26.22563879200553
413,7.8,3,0.21530000000000005,29.756572318155232
414,5.3,3,0.21340000000000003,23.077840829334615
415,7.6,3,0.21150000000000002,23.50485418235647
416,3.3,5,0.20960000000000012,20.490351947958242
417,7.8,3,0.2077000000000001,25.46725401890562
418,4.5,4,0.2058000000000001,22.518778103806042
419,3.3,5,0.20390000000000008,23.864781518379615
420,6.6,4,0.20200000000000007,21.037134040666814
421,7.8,3,0.20010000000000006,17.42768395641733
422,8.8,2,0.19820000000000004,23.368761389253116
423,5.8,5,0.19630000000000003,20.59515569586615
424,-4.699999999999999,12,0.19440000000000002,33.60667620813146
425,0.8000000000000007,5,0.1925,11.62885841402347
426,7.8,3,0.1906000000000001,29.224655843188277
427,4.6,6,0.1887000000000001,24.084101707642912
428,-1.299999999999999,9,0.18680000000000008,24.23257805730097
429,8.8,2,0.18490000000000006,22.518734059227228
430,8.8,2,0.18300000000000005,13.11269247402138
431,4.5,4,0.18110000000000004,20.258276093758408
432,7.8,3,0.17920000000000003,23.71240990267489
433,6.8,4,0.1773,22.67012733351281
434,4.3,4,0.1754,19.648611200698152
435,-5.199999999999996,10,0.1735,27.358304440792324
436,0.7000000000000011,7,0.17160000000000009,21.963525264219925
437,2.0999999999999996,6,0.16970000000000007,17.513034395952342
438,5.8,5,0.16780000000000006,24.59490302996208
439,4.3999999999999995,6,0.16590000000000005,21.637978562344887
440,-5.699999999999999,13,0.16400000000000003,20.059060047564348
441,3.2,7,0.16210000000000002,29.53162401339858
442,-3.9000000000000004,7,0.1602,14.889368843006809
443,6.6,4,0.1583,23.008311719215904
444,1.0,9,0.15639999999999998,24.85255431362387
445,5.6,5,0.15450000000000008,20.93996097476672
446,4.6,6,0.15260000000000007,26.663411068359267
447,5.6,5,0.15070000000000006,21.100071408331235
448,5.8,5,0.14880000000000004,22.15317964214659
449,9.0,2,0.14690000000000003,25.784047347796854
450,7.8,3,0.14500000000000002,16.49951413065141
451,5.8,5,0.1431,24.70564474006692
452,6.6,4,0.1412,22.82889010481766
453,1.0,9,0.13929999999999998,27.513009271260746
454,-0.5,8,0.13739999999999997,27.95031763266531
455,-4.5,12,0.13550000000000006,32.6683713331802
456,-1.0999999999999996,9,0.13360000000000005,20.685680371440178
457,5.3999999999999995,5,0.13170000000000004,27.975630895422587
458,8.8,2,0.12980000000000003,21.054273680626167
459,10.0,1,0.1279,9.44553500081135
460,9.0,2,0.126,19.876616250188597
461,6.8,4,0.12409999999999999,22.174263463679374
462,3.1999999999999993,7,0.12219999999999998,21.340140979687142
463,4.6,6,0.12029999999999996,25.74501327489929
464,8.8,2,0.11839999999999995,20.356638705179613
465,4.3999999999999995,6,0.11650000000000005,23.074351423042057
466,-1.5,9,0.11460000000000004,21.40573972211846
467,0.9000000000000004,7,0.11270000000000002,17.723288093874064
468,6.6,4,0.11080000000000001,19.752395059327228
469,6.8,4,0.10890000000000011,18.88774804056586
470,2.2,8,0.1070000000000001,24.27982513250589
471,3.0,7,0.10510000000000008,28.11653652647949
472,9.0,2,0.10320000000000007,21.27400630056698
473,3.3999999999999995,7,0.10130000000000006,22.82729229748404
474,10.0,1,0.09940000000000004,8.960708195267799
475,7.8,3,0.09750000000000003,23.473758691215863
476,5.3,3,0.09560000000000013,9.173697690919004
477,7.8,3,0.09370000000000012,15.28506568060323
478,-3.0,13,0.0918000000000001,28.89671988685895
479,7.8,3,0.08990000000000009,27.616618805007658
480,5.4,5,0.08800000000000008,23.103784911169424
481,-1.5999999999999979,7,0.08610000000000007,27.147196446395817
482,7.8,3,0.08420000000000005,15.123541546255547
483,8.8,2,0.08230000000000004,12.752573914966028
484,9.0,2,0.08040000000000003,21.262455954891333
485,5.8,5,0.07850000000000001,20.537495242520926
486,8.8,2,0.07660000000000011,11.404965104161022
487,8.8,2,0.0747000000000001,20.425786804445696
488,3.5999999999999996,7,0.07280000000000009,31.352757175237198
489,-8.899999999999999,16,0.07090000000000007,21.315654846304767
490,6.8,4,0.06900000000000006,21.56719380236927
491,6.6,4,0.06710000000000005,19.595489801776637
492,3.8,7,0.06520000000000004,26.471610944769214
493,4.6,6,0.06330000000000002,26.220483023871925
494,4.3999999999999995,6,0.06140000000000001,22.006618253468346
495,5.8,5,0.0595,20.32794606257229
496,9.0,2,0.057600000000000096,20.93665525930057
497,4.6,6,0.05570000000000008,17.912336845543553
498,0.6999999999999993,7,0.05380000000000007,22.91614857632152
499,7.8,3,0.05190000000000006,15.132237953667088
