episode,return,steps,epsilon,mean_td_error
0,-295.69999999999925,201,1.0,1.0892674507675824
1,-8.299999999999997,15,0.99962,7.636339869281042
2,-156.59999999999994,112,0.99924,1.5048454878962236
3,-632.4000000000012,424,0.99886,0.7875963586592887
4,-404.2999999999986,283,0.99848,0.8797747017429179
5,-764.900000000004,514,0.9981,0.8071185462089562
6,-80.80000000000007,63,0.99772,2.3013743550777037
7,-48.40000000000003,39,0.99734,3.5855311036597177
8,-1493.4000000000187,1000,0.99696,0.6560685041563888
9,-263.69999999999925,182,0.99658,1.1889755170231067
10,-1.8999999999999986,9,0.9962,16.978920534977856
11,-9.399999999999999,14,0.99582,8.47305730776633
12,-322.5999999999989,226,0.99544,1.1545348655926886
13,-611.0000000000007,397,0.9950600000000001,1.0088567386628722
14,-329.19999999999914,217,0.99468,1.258793014439174
15,0.5,7,0.9943,19.913617436415116
16,-190.29999999999978,129,0.99392,2.6628520646568083
17,6.8,4,0.99354,27.377732679004733
18,-286.69999999999936,181,0.99316,1.4000991219142802
19,-127.50000000000006,93,0.99278,2.140938973755727
20,-32.900000000000006,24,0.9924,6.316811071644712
21,-91.40000000000008,69,0.99202,2.4210276480560724
22,-658.4000000000012,419,0.99164,1.3378956387324321
23,-236.99999999999966,149,0.99126,1.8594767516361916
24,-368.4999999999991,241,0.99088,1.2068662868911435
25,-375.6999999999988,250,0.9905,1.9084151588777267
26,-1136.4000000000106,735,0.99012,1.0416803220827928
27,-795.3000000000035,490,0.98974,1.0996595361681956
28,-11.099999999999994,17,0.98936,9.709205842379907
29,-73.70000000000005,51,0.98898,4.37850494561153
30,1.8000000000000007,8,0.9886,13.762828573488132
31,-420.09999999999883,275,0.98822,1.9954410811526089
32,-893.0000000000056,569,0.98784,1.1639229128632866
33,-185.6999999999998,127,0.98746,1.7938316810458828
34,-283.9999999999995,178,0.98708,2.8079023009293387
35,-1324.7000000000144,891,0.9867,1.3093700315187564
36,-23.599999999999994,26,0.98632,5.925583427795936
37,-203.39999999999972,138,0.98594,1.5824948107675596
38,-236.59999999999943,169,0.98556,1.602115507048437
