episode,return,steps,epsilon,mean_td_error
0,-76.10000000000008,65,1.0,2.0306858039646816
1,-71.10000000000007,52,0.9981,2.6031562410917988
2,-75.70000000000005,53,0.9962,4.207161821854823
3,-59.50000000000004,51,0.9943,3.3314874037154616
4,-49.10000000000002,38,0.9924,4.395281619763337
5,-100.10000000000008,74,0.9905,1.8635931447388123
6,-309.09999999999934,205,0.9886,5.083425932904308
7,-26.199999999999996,24,0.9867,5.594584938621921
8,-110.30000000000011,82,0.9848,2.06280289366197
9,-94.5000000000001,65,0.9829,5.5124308391953365
10,-80.90000000000006,63,0.981,8.704326843392865
11,1.6999999999999993,6,0.9791,21.938936019946496
12,-95.40000000000009,68,0.9772,7.356868786379488
13,-51.30000000000002,40,0.9753000000000001,5.089630289801008
14,-44.10000000000004,42,0.9734,8.315268291271016
15,-373.89999999999884,253,0.9715,4.808562667159528
16,-139.3,103,0.9696,8.079531941095027
17,-10.499999999999996,17,0.9677,10.519611323168915
18,5.2,5,0.9658,25.55391271729546
19,-55.900000000000034,48,0.9639,9.505942924111862
20,-120.30000000000013,87,0.962,7.20386463147477
21,-205.79999999999956,138,0.9601,5.794373040013341
22,10.0,1,0.9582,107.98367236605432
23,-81.40000000000006,60,0.9563,10.524638915747532
24,-119.90000000000009,83,0.9544,8.159502434440538
25,-16.89999999999999,22,0.9525,9.832421333550824
26,4.3,4,0.9506,28.113404233603404
27,3.3999999999999995,7,0.9487,21.805002443525236
28,-10.8,15,0.9468,8.794534623093755
29,-49.500000000000036,38,0.9449,11.239186755423109
30,-31.70000000000001,23,0.9430000000000001,15.038846774214358
31,-17.499999999999996,19,0.9411,10.722965631423955
32,-11.999999999999993,20,0.9392,19.585225046276733
33,-83.50000000000007,67,0.9373,5.3588454822071725
34,-3.799999999999997,13,0.9354,27.143866814794173
35,-17.999999999999993,21,0.9335,13.619730216500866
36,9.0,2,0.9316,47.67033632446865
37,-7.299999999999997,14,0.9297,9.868279953053982
38,-10.499999999999996,17,0.9278,13.22776784834167
39,-52.70000000000003,45,0.9259,10.577521100274438
40,-99.3000000000001,77,0.924,9.884498039753142
41,-41.70000000000002,31,0.9221,18.661609313942236
42,-24.599999999999994,23,0.9202,16.84389478102147
43,-124.10000000000008,98,0.9183,5.493184436930078
44,5.4,5,0.9164,21.309757704488337
45,-218.49999999999972,151,0.9145,9.790763649607475
46,-7.4999999999999964,14,0.9126,26.754291938866288
47,-30.900000000000006,26,0.9107000000000001,21.46800692116377
48,-73.50000000000004,59,0.9088,10.295156132917715
49,-0.5999999999999996,10,0.9069,26.000299909361654
50,-24.099999999999994,25,0.905,23.206298695472388
51,10.0,1,0.9031,25.696731815283144
52,-47.000000000000036,47,0.9012,13.369768706283361
53,8.8,2,0.8993,52.40411443159202
54,-132.50000000000014,97,0.8974,9.884368783019266
55,-33.20000000000002,26,0.8955,15.10183765622141
56,-44.70000000000004,38,0.8936,10.987916718698273
57,10.0,1,0.8917,28.834778064037646
58,7.8,3,0.8898,31.395801283933807
59,3.3999999999999995,7,0.8879,21.92512662782688
60,6.5,2,0.886,48.0196019174508
61,-33.60000000000001,31,0.8841,16.418838222948885
62,-140.5,96,0.8822,16.80169053483068
63,-78.90000000000006,64,0.8803,10.06791458070688
64,-8.899999999999995,15,0.8784,28.469062196393985
65,-20.999999999999993,24,0.8765000000000001,14.062002485122909
66,-93.20000000000009,70,0.8746,14.94695617725586
67,-6.199999999999999,11,0.8727,25.62032844872716
68,-40.90000000000001,35,0.8708,13.70344643493106
69,3.2,7,0.8689,21.20672998323017
70,3.0999999999999996,5,0.867,25.42138757630667
71,-9.599999999999998,14,0.8651,26.14913619547072
72,-16.39999999999999,24,0.8632,19.11279730774444
73,-13.499999999999993,15,0.8613,21.205566552838818
74,-53.10000000000004,46,0.8594,11.579185593537364
75,-107.0000000000001,69,0.8575,14.924507391317151
76,0.9000000000000004,7,0.8556,15.958814281440457
77,5.6,5,0.8537,19.077908697837483
78,0.8000000000000007,9,0.8518,20.35467317828179
79,-146.0999999999999,105,0.8499,17.574315415306902
80,-36.40000000000001,33,0.848,14.27887017026265
81,-5.399999999999997,10,0.8461,32.7620625998416
82,-5.199999999999996,14,0.8442000000000001,16.92863742387318
83,-168.19999999999987,126,0.8423,11.396305214754722
84,-10.999999999999993,19,0.8404,15.19640155554871
85,5.4,5,0.8385,19.973503210011835
86,-10.399999999999999,15,0.8366,19.706006200592164
87,-20.19999999999999,27,0.8347,25.83586399542176
88,5.6,5,0.8328,18.915753264025984
89,-100.50000000000009,82,0.8309,14.42513719292089
90,-33.80000000000002,31,0.829,14.844571661527889
91,-51.200000000000024,42,0.8271,13.26524222359723
92,-38.000000000000014,34,0.8252,20.85022336509907
93,-15.099999999999998,17,0.8233,15.817366670505535
94,-174.79999999999984,140,0.8214,16.450400068985367
95,-13.399999999999999,13,0.8195,15.61070002370099
96,-8.5,15,0.8176,12.54374654708483
97,-35.30000000000001,35,0.8157,15.356835025589382
98,-15.399999999999995,19,0.8138,14.221443734804202
99,-5.899999999999999,13,0.8119000000000001,24.269825630057692
100,-28.10000000000001,28,0.81,21.875205624029014
101,1.0,9,0.8081,20.77317942672622
102,-1.6999999999999993,9,0.8062,14.172756912389794
103,-22.499999999999993,23,0.8043,26.10960135968747
104,-113.50000000000011,85,0.8024,13.21577397774288
105,-38.700000000000024,36,0.8005,23.18329900231864
106,-4.0,9,0.7986,18.693591970542236
107,0.5,7,0.7967,16.978959155116765
108,-11.799999999999997,16,0.7948,25.20326887787308
109,8.0,3,0.7929,27.79645667853174
