episode,return,steps,epsilon,mean_td_error
0,-643.8000000000011,421,1.0,0.7707787977326487
1,-675.7000000000015,419,0.99962,0.8047942063324414
2,-377.79999999999876,254,0.99924,1.021016685552379
3,-561.0999999999993,389,0.99886,0.9846087347619245
4,-570.0999999999998,381,0.99848,0.6723721480230824
5,5.2,5,0.9981,22.381737895649657
6,3.1999999999999993,7,0.99772,16.227357815128517
7,-571.6,369,0.99734,1.02691653595558
8,-339.89999999999935,205,0.99696,2.2757915293147244
9,-635.500000000001,415,0.99658,1.0818037569035341
10,-525.9999999999989,350,0.9962,0.8504528969845642
11,-424.69999999999874,286,0.99582,2.29336570896055
12,-329.69999999999897,221,0.99544,1.1268971252160913
13,-179.39999999999984,116,0.9950600000000001,4.006223694718616
14,-141.7,105,0.99468,4.434205964436157
15,-176.29999999999987,131,0.9943,3.407457494084688
16,-273.5999999999993,194,0.99392,3.455093270600226
17,-618.5000000000007,411,0.99354,0.664275532327449
18,-104.9000000000001,82,0.99316,2.8352086190321124
19,-406.09999999999854,293,0.99278,1.8568660224319675
20,-424.2999999999989,269,0.9924,1.2315875286135933
21,-67.20000000000006,55,0.99202,8.88976271154936
22,-53.20000000000003,40,0.99164,8.15908381076911
23,-41.500000000000014,31,0.99126,20.548246609692814
24,-261.3999999999994,179,0.99088,1.6529936994713905
25,-354.4999999999989,246,0.9905,1.8022633634035086
26,-141.5999999999999,99,0.99012,7.5298596484426
27,-9.599999999999998,14,0.98974,16.053191066635218
28,-3.8999999999999986,11,0.98936,10.367473509140622
29,-252.9999999999995,158,0.98898,1.6867208065249697
30,-709.6000000000022,450,0.9886,3.0510061243107214
31,-693.2000000000016,453,0.98822,3.1831131935541475
32,-581.2,394,0.98784,1.525315019352313
33,-34.30000000000001,29,0.98746,7.526965673716655
34,-65.10000000000004,52,0.98708,12.084987655960019
35,-74.10000000000008,59,0.9867,10.712306813882948
36,-263.1999999999993,188,0.98632,8.675558197450904
37,-289.4999999999993,193,0.98594,5.384232787474785
38,-3.799999999999997,13,0.98556,13.899094325123096
39,10.0,1,0.9851800000000001,86.15866924889707
40,-23.699999999999996,24,0.9848,10.058766630491094
41,-77.40000000000006,56,0.98442,10.471620550769797
42,-748.5000000000035,483,0.98404,1.0818645653010233
43,-547.499999999999,371,0.98366,2.7625259704189165
44,-634.800000000001,414,0.98328,2.5238510980588615
45,-605.4000000000001,390,0.9829,3.714232231942596
46,-138.29999999999995,103,0.98252,9.562295493240635
47,-64.00000000000006,53,0.98214,9.795068356740423
48,-89.10000000000008,60,0.98176,15.089953505568568
49,-388.6999999999988,244,0.98138,5.486661913574279
50,-10.699999999999996,17,0.981,17.934069077651397
51,0.5,7,0.98062,24.457372700079418
52,-523.2999999999987,361,0.98024,5.260799557872506
53,-115.3000000000001,75,0.97986,10.699421915713723
54,-86.70000000000007,67,0.97948,7.518769535806712
55,10.0,1,0.9791,23.905007486837643
56,-41.300000000000004,32,0.97872,9.265449155153483
57,7.8,3,0.97834,45.90341952817072
58,-127.40000000000009,88,0.97796,2.3293997682611107
59,-74.80000000000004,54,0.97758,6.9189087008918495
60,2.8999999999999995,5,0.9772,26.58905161525858
61,-194.59999999999968,134,0.97682,8.334555520095778
62,2.8999999999999995,5,0.97644,24.101983696957895
63,-327.3999999999991,229,0.97606,8.462195174181005
64,-36.00000000000001,33,0.97568,19.069417916243108
65,-629.8000000000011,415,0.9753000000000001,8.694014556242772
66,-155.5999999999999,107,0.97492,9.325362359033223
67,-375.09999999999883,258,0.97454,10.216503780473204
68,-68.90000000000005,47,0.97416,11.786981719395909
69,-652.5000000000016,438,0.97378,10.040490917998536
70,-50.60000000000002,41,0.9734,15.974583187261958
71,-243.79999999999947,162,0.97302,12.646204090523426
72,-410.2999999999984,293,0.97264,6.7115509353185665
73,-56.10000000000002,43,0.97226,20.893442971197093
74,-452.1999999999983,306,0.97188,5.771094908018273
75,-130.60000000000008,90,0.9715,13.742431646433245
76,-284.1999999999992,203,0.97112,7.8394573561109
77,-399.59999999999883,262,0.97074,3.229047338995887
78,-348.4999999999991,228,0.97036,10.227919074178233
79,-20.999999999999996,20,0.96998,19.864633940265666
80,-39.00000000000002,27,0.9696,23.139403054420214
81,-156.79999999999993,112,0.96922,12.140909153662562
82,-92.20000000000009,69,0.96884,14.013838476621093
83,-296.6999999999992,206,0.96846,5.123840065397715
84,-276.3999999999993,201,0.96808,9.595206077357968
85,-352.8999999999988,246,0.9677,6.646481743972381
86,-172.39999999999992,118,0.96732,7.023666006975996
87,-798.1000000000043,544,0.96694,9.489817196203795
88,-148.6999999999999,100,0.96656,12.130872044562953
89,-18.699999999999992,24,0.96618,18.764996736897924
90,-531.7999999999989,348,0.9658,5.557240704346768
91,0.6000000000000014,5,0.96542,12.4110070231436
92,-23.200000000000003,18,0.96504,11.426418568056029
93,-112.9000000000001,80,0.96466,11.973972789053855
94,-0.5999999999999979,6,0.96428,15.398030313779664
95,-320.5999999999991,218,0.9639,4.273664750008891
96,-144.79999999999995,106,0.96352,10.777811170707585
97,-211.79999999999953,143,0.96314,13.092305614373984
98,-51.500000000000014,36,0.9627600000000001,13.666791937712201
99,-557.1999999999996,357,0.96238,8.073232802227439
100,-94.40000000000008,63,0.962,14.426317431419813
101,-28.799999999999997,30,0.96162,16.91994457288858
102,10.0,1,0.96124,9.511951754224212
103,0.5,7,0.96086,12.25072385335476
104,-826.7000000000048,509,0.96048,8.645928756346601
105,-771.3000000000038,522,0.9601,8.89818844649882
106,-20.09999999999999,25,0.95972,13.555576236600473
107,-167.3999999999999,118,0.95934,5.373151475515098
108,-48.900000000000034,42,0.95896,14.557819273024737
109,-432.2999999999985,283,0.95858,8.76156756202503
110,-405.99999999999864,271,0.9582,6.9879037696212185
111,-85.70000000000006,57,0.95782,12.109998575042493
112,-36.599999999999994,21,0.95744,14.818230036934025
113,-377.99999999999886,255,0.95706,9.488652740747794
114,-20.0,19,0.95668,14.694414790424892
115,-84.70000000000007,69,0.9563,11.205654593181979
116,-958.4000000000082,658,0.95592,8.280078712066853
117,-227.1999999999994,165,0.9555400000000001,8.34110929307559
118,-363.79999999999893,250,0.95516,11.124859832020334
119,-164.39999999999984,119,0.95478,6.332646009298211
120,-12.2,16,0.9544,18.976201335874542
121,-302.99999999999926,197,0.95402,5.2327308274488455
122,-166.09999999999985,114,0.95364,6.438082636053775
123,-43.40000000000001,31,0.95326,16.961201799717575
124,-394.69999999999885,251,0.95288,7.774885422050205
125,-19.099999999999994,20,0.9525,11.39106586593702
126,-243.09999999999934,160,0.95212,7.497320355701383
127,-0.7999999999999989,10,0.95174,25.918902127909867
128,-482.59999999999826,321,0.95136,8.46691145231176
129,4.3,4,0.95098,9.276457847359694
130,-21.499999999999993,22,0.9506,14.752095565199346
131,-174.69999999999973,130,0.95022,12.944101236412232
132,-159.59999999999985,119,0.94984,12.589879819844732
133,-92.40000000000009,76,0.94946,10.96081386188097
134,-129.8,97,0.94908,8.024984568736746
135,-0.40000000000000036,6,0.9487,23.049062311818343
136,-94.40000000000009,67,0.94832,9.493034300749631
137,-12.799999999999997,17,0.94794,11.645446360280364
138,-998.3000000000078,650,0.94756,8.2223590898965
139,0.5999999999999996,9,0.94718,25.137590633493556
140,-316.0999999999991,216,0.9468,13.59998431545033
141,-15.999999999999996,20,0.94642,14.04445007261219
142,2.8999999999999995,5,0.94604,23.6809782015037
143,-132.10000000000002,101,0.94566,12.787841470024087
144,-226.49999999999955,158,0.94528,7.64873238019174
145,-206.99999999999957,135,0.9449,5.792117386714387
146,-485.5999999999985,312,0.94452,8.08879095381513
147,-121.00000000000006,77,0.94414,9.907743998228542
148,-297.0999999999992,191,0.94376,9.948704466804985
149,-510.3999999999985,322,0.94338,9.22396727465324
150,-168.29999999999976,124,0.9430000000000001,13.727155646746507
151,-11.599999999999998,16,0.94262,10.986530686234541
152,-201.89999999999955,149,0.94224,8.796643879629224
153,-36.10000000000001,31,0.94186,13.81966629049608
154,-141.3,97,0.94148,12.56446429708309
155,5.4,5,0.9411,6.986922347478609
156,-27.599999999999994,25,0.94072,21.85900552891128
157,-176.09999999999988,124,0.94034,12.298569458582675
158,-250.4999999999995,178,0.93996,10.936856772649284
159,-200.19999999999976,141,0.93958,11.257917410450291
160,-189.99999999999966,129,0.9392,10.868174245520544
161,-127.20000000000005,95,0.93882,8.862488206225562
162,-81.80000000000005,56,0.93844,9.759787803938112
163,-216.89999999999972,143,0.93806,13.471128195682073
164,-38.900000000000006,33,0.93768,14.278495955144036
165,-489.6999999999982,328,0.9373,12.355623815664359
166,2.8999999999999995,5,0.93692,5.902939672713631
167,3.1999999999999993,7,0.93654,14.326798100293525
168,-244.8999999999995,170,0.93616,8.046319094430723
169,-152.59999999999997,109,0.9357800000000001,10.740003164917441
170,-1.4000000000000004,11,0.9354,11.603140727307215
171,-224.89999999999955,157,0.93502,12.362356319167079
172,-52.300000000000026,41,0.93464,8.211499464322422
173,-150.7,105,0.93426,7.659596382532598
174,-278.8999999999993,200,0.93388,10.27970928909566
175,-428.6999999999987,275,0.9335,10.25347372652973
176,-170.09999999999977,121,0.93312,10.52647509205133
177,-24.800000000000004,19,0.93274,14.465018285486932
178,7.6,3,0.93236,17.349009615444935
179,-181.79999999999978,121,0.93198,5.545181589441404
180,-414.8999999999988,286,0.9316,10.275482199518882
181,-304.5999999999991,200,0.9312199999999999,10.645341665286848
182,-255.5999999999994,173,0.93084,8.64018863942134
183,-238.59999999999957,163,0.93046,11.577356083484771
184,-35.80000000000002,32,0.93008,9.866434532727242
185,-16.899999999999995,18,0.9297,11.910720577997658
186,-46.700000000000024,40,0.92932,12.416359090193886
187,5.4,5,0.92894,12.028219404371342
188,-214.89999999999964,140,0.92856,11.872083669658814
189,-351.5999999999988,244,0.92818,12.624321227534303
190,-63.800000000000026,48,0.9278,11.688632623083343
191,-245.29999999999953,162,0.92742,9.540121678574687
192,-52.90000000000004,45,0.92704,10.72637687734991
193,0.9000000000000004,7,0.92666,9.637363247331995
194,-268.5999999999993,192,0.92628,11.756036059283614
195,-40.80000000000002,29,0.9259,10.255235806607407
196,-198.99999999999963,145,0.92552,10.680514806005617
197,-203.79999999999956,157,0.92514,9.498236167567264
198,-200.39999999999972,133,0.92476,10.9007023516321
199,-122.90000000000006,85,0.92438,9.608736021984281
200,-25.200000000000003,23,0.924,19.852762786642064
201,-175.09999999999985,131,0.92362,11.272795657410391
202,-45.700000000000024,35,0.9232400000000001,12.911518422451717
203,-99.6000000000001,72,0.92286,11.690347949016193
204,-244.9999999999995,181,0.92248,11.78576247288182
205,-131.7000000000001,88,0.9221,10.572928681742832
206,-528.4999999999986,350,0.92172,11.624555541130103
207,-14.999999999999996,19,0.92134,7.862217320379669
208,6.5,2,0.92096,2.6140600979408086
209,-185.5999999999998,138,0.92058,11.208438198101904
210,-14.199999999999996,18,0.9202,12.344285964798567
211,-65.00000000000009,57,0.91982,12.18400697151297
