episode,return,steps,epsilon,mean_td_error
0,-22.89999999999999,28,1.0,4.139285714285713
1,-24.799999999999997,27,0.9981,4.399178664030495
2,-228.19999999999956,161,0.9962,1.1851466576255847
3,-6.299999999999997,13,0.9943,8.745974595803524
4,-33.7,33,0.9924,3.620730468413821
5,-39.500000000000014,43,0.9905,3.7884288897496177
6,-118.20000000000013,96,0.9886,1.8035369126845044
7,-53.70000000000005,42,0.9867,3.4455040136964135
8,2.8999999999999995,5,0.9848,22.969130384588006
9,-94.00000000000009,75,0.9829,2.0221018556967527
10,-47.10000000000004,40,0.981,3.2217819750250163
11,-22.39999999999999,21,0.9791,5.818522378650833
12,-150.09999999999997,113,0.9772,1.6819873220599824
13,-29.900000000000006,34,0.9753000000000001,3.775852827281314
14,-84.70000000000007,69,0.9734,3.3863446186655133
15,6.6,4,0.9715,28.56397109583004
16,-67.70000000000003,50,0.9696,6.542506564180186
17,-0.7999999999999989,10,0.9677,11.55886996363439
18,-127.00000000000006,91,0.9658,3.4614170978046648
19,-150.09999999999997,105,0.9639,1.7888454737365216
20,6.6,4,0.962,27.408406183587495
21,-29.1,33,0.9601,9.908770026139084
22,-2.3999999999999986,12,0.9582,14.283006829185652
23,-88.70000000000007,64,0.9563,2.690285101049188
24,-222.09999999999957,159,0.9544,2.7196572463835174
25,-76.90000000000006,58,0.9525,4.353285053050034
26,-63.800000000000054,58,0.9506,3.6406786527040578
27,-79.50000000000006,48,0.9487,5.036547435833952
28,5.2,5,0.9468,23.59985589910114
29,-211.69999999999968,150,0.9449,3.4865629856574953
30,-4.0,5,0.9430000000000001,21.29037799282751
31,-115.2000000000001,86,0.9411,5.077588054654661
32,5.3,3,0.9392,36.06123040562869
33,-49.50000000000003,42,0.9373,4.054862833599335
34,-198.89999999999958,138,0.9354,3.7180507781988275
35,-48.90000000000002,34,0.9335,4.336167599413951
36,-74.30000000000008,60,0.9316,3.348846905432425
37,-30.700000000000003,26,0.9297,5.680847716646151
38,-83.00000000000007,57,0.9278,4.098805969002578
39,-149.20000000000002,106,0.9259,4.617905523982569
40,0.6000000000000014,5,0.924,21.729061290738475
41,-10.099999999999998,17,0.9221,9.84144966545916
42,-50.40000000000002,46,0.9202,4.405965106953792
43,7.8,3,0.9183,34.49340561145639
44,10.0,1,0.9164,49.1049543342456
45,-68.90000000000005,55,0.9145,6.4360436799225225
46,7.8,3,0.9126,33.81293069018144
47,-18.999999999999993,22,0.9107000000000001,8.17994225312437
48,-9.599999999999994,18,0.9088,15.467649599648967
49,-36.70000000000001,27,0.9069,7.2769401631703134
50,-18.099999999999994,19,0.905,12.829138090204443
51,-101.4000000000001,76,0.9031,10.336629775750064
52,-0.1999999999999993,10,0.9012,17.86756087556531
53,8.8,2,0.8993,46.236875982398594
54,-131.40000000000003,107,0.8974,2.693053031323862
55,-4.999999999999998,10,0.8955,12.046005662914995
56,-72.40000000000005,52,0.8936,7.7558505540781715
57,-19.999999999999993,23,0.8917,7.744267634035142
58,-7.799999999999997,17,0.8898,9.890720713373343
59,-66.90000000000005,53,0.8879,5.579722671960298
60,-26.0,24,0.886,10.929087785536495
61,-53.20000000000005,52,0.8841,7.528279664182945
62,-126.50000000000006,89,0.8822,6.2565183390040024
63,-21.899999999999995,23,0.8803,13.33682514699133
64,-105.4000000000001,89,0.8784,9.5624247434965
65,-15.499999999999993,21,0.8765000000000001,10.751229794805006
66,-15.699999999999992,21,0.8746,17.835798352669343
67,-102.30000000000007,64,0.8727,7.012234861657755
68,-121.70000000000007,88,0.8708,7.213152024375018
69,-99.70000000000009,69,0.8689,5.270909210130399
70,8.8,2,0.867,44.000422273196364
71,-19.299999999999994,24,0.8651,6.03735270683483
72,-24.4,27,0.8632,5.593222810891921
73,-32.20000000000001,29,0.8613,9.250555465138138
74,-118.20000000000007,76,0.8594,7.146822077462935
75,6.4,4,0.8575,26.50154311606222
76,-87.90000000000006,59,0.8556,9.174645881697458
77,-31.30000000000001,30,0.8537,12.18237427328283
78,9.0,2,0.8518,46.30913911003998
79,-58.800000000000026,45,0.8499,5.338849116381697
80,1.799999999999999,8,0.848,23.59090504660106
81,-7.4999999999999964,14,0.8461,8.354849226882251
82,-50.30000000000004,47,0.8442000000000001,4.382161446488966
83,-41.4,25,0.8423,8.427889988691907
84,8.8,2,0.8404,57.945869677735324
85,-4.9999999999999964,14,0.8385,11.641958666435055
86,-46.300000000000026,35,0.8366,8.971730968282973
87,-38.50000000000001,33,0.8347,5.880123452140848
88,-22.5,23,0.8328,5.604447591061052
89,-29.30000000000001,33,0.8309,5.541941566957718
90,-19.799999999999997,19,0.829,6.6713968969711095
91,1.0,9,0.8271,12.338804216500087
92,-114.20000000000014,92,0.8252,3.5576150537733313
93,-0.7999999999999989,10,0.8233,20.56819419448228
94,-98.80000000000008,76,0.8214,8.33607755500684
95,-2.4999999999999982,10,0.8195,12.052789371892805
96,-62.00000000000004,50,0.8176,8.00191544447056
97,5.8,5,0.8157,21.75699247057634
98,-70.70000000000005,61,0.8138,8.779781182599898
99,-14.599999999999994,23,0.8119000000000001,7.203103363895685
100,-18.299999999999994,20,0.81,15.027041620185187
101,-10.599999999999998,15,0.8081,15.755076735068199
102,-3.8999999999999986,11,0.8062,13.58188270587811
103,-26.800000000000004,25,0.8043,8.461059500719864
104,7.8,3,0.8024,29.574905686537235
105,-1.3000000000000007,9,0.8005,13.83703564422878
106,-6.5,9,0.7986,44.21861175575434
107,-3.6999999999999993,11,0.7967,12.216093511785408
108,-17.899999999999995,19,0.7948,8.371627082597627
109,-15.2,15,0.7929,19.94006932514008
110,-4.9999999999999964,14,0.791,12.961380508109174
111,0.8000000000000007,9,0.7891,17.760224947164307
112,-30.900000000000006,30,0.7872,16.542714223564403
113,-26.700000000000003,31,0.7853,14.854036023316723
114,-18.099999999999994,23,0.7834,13.460757863721438
115,-37.10000000000001,36,0.7815,11.716088503733275
116,-15.399999999999995,19,0.7796,15.889806681684002
117,-0.5999999999999979,10,0.7777000000000001,18.13610377796173
118,-32.90000000000001,32,0.7758,6.1137325146752675
119,4.1,4,0.7739,26.057018788846015
120,-4.199999999999996,13,0.772,21.167487559988963
121,-58.10000000000005,50,0.7701,7.06536245121164
122,-4.899999999999999,12,0.7682,9.434665226531585
123,-7.9999999999999964,17,0.7663,25.77287940237801
124,5.3999999999999995,5,0.7644,27.664441522596725
125,-13.799999999999997,18,0.7625,7.844393806744989
126,-7.099999999999998,14,0.7605999999999999,16.365618407110613
127,-22.199999999999996,25,0.7587,12.485124643510849
128,-6.399999999999999,11,0.7568,12.148644598761273
129,-4.6,10,0.7549,27.15111723873802
130,-39.800000000000004,28,0.753,11.801841659385243
131,0.6999999999999993,7,0.7511,15.91252112466943
132,6.6,4,0.7492,25.304320440148025
133,6.5,2,0.7473000000000001,14.31227873345174
134,-1.5999999999999996,7,0.7454000000000001,17.052008635048402
135,6.6,4,0.7435,24.924233967255493
136,6.6,4,0.7416,26.452944143226162
137,0.7000000000000011,7,0.7397,23.082756138000132
138,3.3,5,0.7378,21.401374259649753
139,-26.799999999999997,29,0.7359,7.759660317628396
140,-15.499999999999996,21,0.734,15.478709037755038
141,-6.399999999999999,15,0.7321,14.595971584900884
142,10.0,1,0.7302,19.328119328624187
143,-35.50000000000002,30,0.7283000000000001,7.758109545232852
144,0.40000000000000036,9,0.7264,16.331780125398524
145,-26.39999999999999,29,0.7245,10.284327852824266
146,-9.499999999999996,16,0.7226,14.59072059906859
147,-35.5,30,0.7207,7.081891753626364
148,9.0,2,0.7188000000000001,39.406479140095996
149,-28.10000000000001,28,0.7169000000000001,12.91354183367675
150,-27.199999999999996,25,0.7150000000000001,15.609418703123383
151,-7.799999999999997,12,0.7131000000000001,27.237020502255405
152,-27.900000000000006,28,0.7112,19.909494275255977
153,-10.099999999999998,16,0.7093,20.186931571626364
154,-6.399999999999999,11,0.7074,17.966672489118103
155,-10.599999999999994,19,0.7055,26.23431076282237
156,-24.599999999999994,27,0.7036,9.005774858525907
157,-6.199999999999999,11,0.7017,14.41752528960972
158,-31.20000000000001,33,0.6998,7.782132817383041
159,7.6,3,0.6979,29.000430194160156
160,6.6,4,0.696,26.24062810409878
161,-5.299999999999995,12,0.6940999999999999,23.294895528076648
162,6.4,4,0.6921999999999999,29.37458202135312
163,3.0,7,0.6903,22.349031055330407
164,-5.999999999999998,15,0.6884,25.655537859812636
165,6.8,4,0.6865,25.137606587043802
166,2.0999999999999996,6,0.6846,18.10529710285869
167,-10.699999999999996,17,0.6827,13.271813272752395
168,2.8999999999999995,5,0.6808000000000001,20.44690367078897
169,-22.89999999999999,23,0.6789000000000001,14.827941178878197
170,6.4,4,0.677,24.85380776700564
171,3.1999999999999993,7,0.6751,23.58350491497321
172,-45.700000000000024,35,0.6732,8.196394633486333
173,8.8,2,0.6713,34.740103706304986
174,10.0,1,0.6694,14.126634308338765
175,4.6,6,0.6675,18.154880026897164
176,-8.499999999999996,15,0.6656,9.804532687443352
177,3.1999999999999993,7,0.6637,17.029124989533063
178,-28.20000000000001,26,0.6618,11.816604468203321
179,0.6999999999999993,7,0.6599,22.09895158498306
180,-32.1,32,0.658,6.408571049994228
181,-2.5,10,0.6561,15.272432928599198
182,-0.1999999999999993,10,0.6542,19.507698207457924
183,7.6,3,0.6523000000000001,32.64678721175985
184,-26.5,22,0.6504000000000001,10.012602955729289
185,8.8,2,0.6485000000000001,37.32348902773859
186,-14.599999999999994,18,0.6466000000000001,24.704446338273986
187,-36.80000000000001,38,0.6447,11.976478872572825
188,6.8,4,0.6428,26.12433509600693
189,7.8,3,0.6409,31.06977174365481
190,-7.399999999999999,12,0.639,15.97258914446103
191,3.5999999999999996,7,0.6371,40.90207665022472
192,7.8,3,0.6352,30.0451772027
193,8.8,2,0.6333,42.05343473521798
194,5.4,5,0.6314,25.408465628308342
195,10.0,1,0.6295,17.853137480067517
196,-7.299999999999997,14,0.6275999999999999,17.249518472174863
197,-5.099999999999998,12,0.6256999999999999,12.011765803955546
198,-4.1999999999999975,13,0.6238,24.78351036144414
199,7.8,3,0.6219,25.959621776766202
200,5.3,3,0.62,18.845995833016694
201,8.8,2,0.6181,27.832576117242244
202,-14.199999999999996,18,0.6162,20.92595359419633
203,7.6,3,0.6143000000000001,27.41555433256606
204,-4.799999999999997,14,0.6124,12.430488727462997
