episode,return,steps,epsilon,mean_td_error
0,-643.8000000000011,421,1.0,0.8306447927047164
1,-675.7000000000015,419,0.99962,0.9254199555180571
2,-377.79999999999876,254,0.99924,1.104708425944814
3,-367.2999999999987,258,0.99886,0.9450050385976404
4,-126.50000000000006,97,0.99848,1.6001970955096454
5,-469.69999999999817,314,0.9981,0.9467135758956802
6,-3.4999999999999982,11,0.99772,10.2876004808989
7,-136.2,103,0.99734,1.6018721499410609
8,-323.7999999999991,221,0.99696,1.5297984124835577
9,7.8,3,0.99658,36.35139073578318
10,-684.5000000000014,427,0.9962,1.240137694258075
11,-194.5999999999999,129,0.99582,1.533685481377191
12,-136.50000000000003,101,0.99544,1.9693084801073246
13,-328.7999999999991,221,0.9950600000000001,1.2015126357016455
14,-186.9999999999998,119,0.99468,2.5280069667936496
15,-519.5999999999987,345,0.9943,1.6145870957925583
16,-411.5999999999987,278,0.99392,1.0917668335822017
17,-323.0999999999992,211,0.99354,1.6185378787214386
18,-604.9000000000004,392,0.99316,1.0548159102209616
19,-625.8000000000001,412,0.99278,1.2280170136278312
20,-298.49999999999903,211,0.9924,2.2482753750646878
21,-245.09999999999945,172,0.99202,1.3580635861770247
22,-717.1000000000021,454,0.99164,1.235442234941375
23,-133.00000000000006,96,0.99126,2.0686268262460676
24,-259.0999999999994,179,0.99088,1.4620865082834404
25,-894.5000000000065,592,0.9905,1.3383119466079654
26,-46.80000000000003,46,0.99012,2.806913804203579
27,-105.60000000000008,77,0.98974,3.136165860447911
28,-129.10000000000008,91,0.98936,2.143334637266315
29,-456.99999999999835,319,0.98898,1.0991897140649498
30,-496.6999999999982,329,0.9886,1.4406233288336296
31,10.0,1,0.98822,42.46502010804454
32,-15.499999999999993,21,0.98784,7.896663839305063
33,-770.9000000000037,520,0.98746,0.9009103981286055
34,-1156.8000000000113,758,0.98708,0.9619018889415174
35,-631.5000000000008,406,0.9867,1.042942456244262
36,-480.5999999999983,323,0.98632,2.1245885653365595
37,-95.00000000000006,64,0.98594,2.8610401624501756
38,-650.500000000001,415,0.98556,1.3936880201300919
39,-65.10000000000004,47,0.9851800000000001,3.346441259880743
40,-362.399999999999,233,0.9848,1.4244309200392797
41,-196.09999999999974,132,0.98442,3.586927926614267
42,4.3999999999999995,6,0.98404,22.53441785920516
43,-168.49999999999983,115,0.98366,1.6671603085397606
44,-488.0999999999983,326,0.98328,1.381944267894495
45,-49.20000000000003,36,0.9829,4.120774445959152
46,-141.8,104,0.98252,3.49834655164624
47,6.4,4,0.98214,30.415478405370983
48,-105.50000000000009,79,0.98176,3.0661439283791943
49,-438.29999999999865,276,0.98138,1.514496773875945
50,3.3,5,0.981,21.924953746631207
51,-340.1999999999991,226,0.98062,2.9802989891306835
52,-126.90000000000009,90,0.98024,2.522241090028543
53,-112.60000000000012,82,0.97986,2.8991051763490296
54,-211.79999999999959,152,0.97948,1.9380523278230244
55,-75.00000000000007,54,0.9791,3.033161392116917
56,-771.4000000000042,500,0.97872,1.0854166183955654
57,-154.79999999999998,115,0.97834,3.163543603738854
58,-184.59999999999968,132,0.97796,2.5537026829010294
59,-55.300000000000026,43,0.97758,4.357199621399077
60,-656.5000000000023,441,0.9772,1.862597703089879
61,-15.599999999999994,15,0.97682,10.58740471833857
62,-705.5000000000028,469,0.97644,1.2740626445530758
63,0.40000000000000036,9,0.97606,20.794177726337104
64,6.4,4,0.97568,27.066378841997018
65,-459.3999999999984,318,0.9753000000000001,1.2487168347798958
66,-266.89999999999924,188,0.97492,1.727885955609261
67,-1514.500000000019,1000,0.97454,0.9411483277832503
68,-259.7999999999995,169,0.97416,1.8350909360082834
69,-301.2999999999994,200,0.97378,1.6914684719134567
70,-119.80000000000013,97,0.9734,2.6363495266516233
71,-16.199999999999992,19,0.97302,13.91240443907825
72,-300.99999999999903,213,0.97264,2.2851193081355596
73,-402.3999999999988,252,0.97226,1.5292334078624223
74,-851.8000000000039,543,0.97188,1.6242650931362603
75,-5.099999999999998,12,0.9715,10.806121193093588
76,-48.500000000000014,33,0.97112,5.846231538321141
77,-405.69999999999874,264,0.97074,1.2768634286244096
78,-738.2000000000033,467,0.97036,1.8185435886743537
79,-10.699999999999996,13,0.96998,9.16108557734997
80,4.3,4,0.9696,26.455387742264765
81,-7.4999999999999964,14,0.96922,19.25770784317454
82,-439.19999999999834,311,0.96884,2.0992438009683543
83,-28.400000000000006,26,0.96846,8.223350417880148
84,-26.5,30,0.96808,10.18403678785686
85,-390.99999999999875,271,0.9677,1.532904042747049
86,-152.79999999999993,110,0.96732,3.582345652215436
87,-349.999999999999,242,0.96694,3.6332798707700924
88,-71.10000000000004,57,0.96656,4.2616911716629176
89,-647.400000000001,431,0.96618,3.4582697858234397
90,-210.09999999999957,157,0.9658,4.0814419812732154
91,-497.3999999999983,330,0.96542,1.7674508731313412
92,-22.999999999999993,21,0.96504,12.091634412167851
93,-233.49999999999952,168,0.96466,1.2893865432694744
94,-88.70000000000007,59,0.96428,4.172449938712336
95,-543.9999999999986,381,0.9639,1.7346471074259966
96,-539.699999999999,362,0.96352,1.190043035658733
97,-774.7000000000046,517,0.96314,1.8090022592377355
98,-365.1999999999989,248,0.9627600000000001,2.614380024524469
99,-361.699999999999,227,0.96238,1.426726588413614
100,-169.19999999999982,115,0.962,2.9903767962551253
101,-164.39999999999986,115,0.96162,4.471486243137759
102,-224.99999999999963,152,0.96124,3.1166747411241187
103,-105.00000000000009,72,0.96086,2.604540190036511
104,-83.60000000000007,74,0.96048,2.1980954518136784
105,-24.299999999999997,25,0.9601,5.032439688929978
106,-160.19999999999982,115,0.95972,3.441817600843541
107,-611.3000000000002,414,0.95934,1.8236624625907907
108,-179.09999999999974,126,0.95896,1.9070764770984863
109,-75.00000000000007,58,0.95858,3.2369775976902515
110,-357.7999999999988,250,0.9582,4.529422879284985
111,-248.19999999999948,158,0.95782,3.105761843296535
112,-371.29999999999893,246,0.95744,3.3325509090554717
113,-259.6999999999995,174,0.95706,2.0048194287542342
114,-18.899999999999995,16,0.95668,12.157855569677913
115,-445.6999999999984,299,0.9563,3.5157347827079515
116,-377.8999999999989,244,0.95592,2.3317651782231277
117,-146.99999999999994,91,0.9555400000000001,3.3617664715050273
118,-15.099999999999994,20,0.95516,16.394654918134762
119,-217.49999999999955,156,0.95478,2.2223651694192075
120,-189.59999999999977,132,0.9544,3.207433526161779
121,-257.6999999999995,161,0.95402,3.2008533376413304
122,-61.60000000000005,55,0.95364,2.980063634185124
123,-449.59999999999866,293,0.95326,2.1667312982371847
124,-88.40000000000009,65,0.95288,3.62183891067495
125,-569.4999999999992,389,0.9525,3.009401218929777
126,-166.09999999999982,122,0.95212,2.158457793492747
127,-110.7000000000001,83,0.95174,4.19993793479148
128,-376.1999999999991,228,0.95136,1.9659756771472638
129,-187.59999999999977,127,0.95098,2.8922831672878098
130,-28.1,24,0.9506,7.141942277223965
131,-351.9999999999989,239,0.95022,2.13168944840968
132,-263.8999999999994,174,0.94984,2.1783026986194804
133,-532.4999999999991,354,0.94946,1.674131599004944
134,-194.29999999999973,127,0.94908,3.556458710247827
135,-319.699999999999,223,0.9487,2.1191576097170155
136,7.6,3,0.94832,35.090500778470094
137,-39.00000000000001,31,0.94794,13.119107292345236
138,-102.1000000000001,76,0.94756,5.672624717421498
139,-68.70000000000003,43,0.94718,10.600730617608772
140,-186.39999999999984,122,0.9468,3.7980565213748676
141,-1.6999999999999993,5,0.94642,16.73908292469531
142,-23.5,20,0.94604,10.236458839479148
143,-67.40000000000003,52,0.94566,3.0285100580053115
144,-341.699999999999,225,0.94528,2.5668024496595825
145,8.8,2,0.9449,36.53660284726024
146,-349.7999999999991,210,0.94452,3.0596602108135573
147,-13.499999999999996,15,0.94414,14.942675640526238
148,-356.49999999999886,237,0.94376,1.8899833240475403
149,-423.69999999999857,296,0.94338,2.4931395930308455
150,-7.299999999999997,10,0.9430000000000001,17.505480735964525
151,-104.20000000000012,79,0.94262,7.021189935046861
152,-371.0999999999989,239,0.94224,2.039055865140974
153,-488.59999999999803,333,0.94186,4.006677859325707
154,8.0,3,0.94148,33.63496937130073
155,-79.50000000000007,56,0.9411,8.685504003320244
156,-98.9000000000001,73,0.94072,3.3970558736319734
157,-238.7999999999995,166,0.94034,1.865133187368517
158,-1201.7000000000128,790,0.93996,1.291458747204544
159,-396.59999999999866,266,0.93958,3.888094266987657
160,-561.3999999999995,369,0.9392,2.1643658005219217
161,-430.49999999999847,293,0.93882,1.877735613574642
162,-101.30000000000008,79,0.93844,3.975741417071829
163,-18.19999999999999,25,0.93806,9.774746178374867
164,6.6,4,0.93768,27.16129886198192
165,-92.60000000000011,77,0.9373,3.2851823208704762
166,-301.3999999999993,192,0.93692,3.1328389862753148
167,-111.50000000000009,84,0.93654,2.1199114165219255
168,-250.3999999999994,181,0.93616,2.806545992708038
169,-137.10000000000005,110,0.9357800000000001,3.2653167873932576
170,-583.8999999999994,385,0.9354,1.614588513168138
171,-129.10000000000002,82,0.93502,2.1969102028335206
172,-326.49999999999886,229,0.93464,1.7529232330203297
